date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,52.81,53.19,52.0,52.5,34.9204,3474000.0,0.0,1.0
2000-06-30,51.69,52.23,51.0,52.13,34.6743,4835700.0,0.0,1.0
2000-07-03,50.88,52.63,50.88,52.38,34.8406,1726700.0,0.0,1.0
2000-07-05,52.75,52.94,51.56,52.13,34.7275,3549700.0,0.08,1.0
2000-07-06,51.31,52.06,50.69,51.94,34.6009,4151200.0,0.0,1.0
2000-07-07,52.5,53.81,52.06,53.75,35.8067,4055900.0,0.0,1.0
2000-07-10,53.63,55.06,52.81,54.88,36.5595,4046400.0,0.0,1.0
2000-07-11,54.88,55.44,53.25,54.06,36.0132,3928900.0,0.0,1.0
2000-07-12,54.25,55.56,53.69,55.0,36.6394,3996900.0,0.0,1.0
2000-07-13,55.63,55.63,54.63,55.06,36.6794,2042400.0,0.0,1.0
2000-07-14,55.19,57.13,54.94,56.56,37.6786,3933000.0,0.0,1.0
2000-07-17,57.0,57.38,55.0,56.31,37.5121,4145400.0,0.0,1.0
2000-07-18,56.0,56.06,54.25,55.19,36.766,3535700.0,0.0,1.0
2000-07-19,55.13,55.69,54.5,55.06,36.6794,2607100.0,0.0,1.0
2000-07-20,55.13,57.75,55.13,56.88,37.8918,3858400.0,0.0,1.0
2000-07-21,56.75,59.56,56.75,59.25,39.4706,6136200.0,0.0,1.0
2000-07-24,59.25,59.75,56.19,57.06,38.0117,4547800.0,0.0,1.0
2000-07-25,57.25,57.63,55.63,55.88,37.2256,4227900.0,0.0,1.0
2000-07-26,55.19,56.88,55.13,55.63,37.0591,4209000.0,0.0,1.0
2000-07-27,56.25,58.44,56.13,58.31,38.8444,3773300.0,0.0,1.0
2000-07-28,58.75,58.75,55.06,56.0,37.3056,4403800.0,0.0,1.0
2000-07-31,55.88,57.38,55.81,56.69,37.7652,3560700.0,0.0,1.0
2000-08-01,57.0,57.5,56.5,56.94,37.9318,2388200.0,0.0,1.0
2000-08-02,56.94,57.94,56.19,57.38,38.2249,3158500.0,0.0,1.0
2000-08-03,55.88,58.56,55.88,58.0,38.6379,3947900.0,0.0,1.0
2000-08-04,58.88,60.19,58.19,59.81,39.8437,4312400.0,0.0,1.0
2000-08-07,59.25,59.81,58.19,58.31,38.8444,4084700.0,0.0,1.0
2000-08-08,58.88,58.88,57.5,58.75,39.1376,3250800.0,0.0,1.0
2000-08-09,58.13,60.13,58.13,59.63,39.7238,3654200.0,0.0,1.0
2000-08-10,59.69,60.0,58.5,58.63,39.0576,2657400.0,0.0,1.0
2000-08-11,58.75,60.44,58.44,59.75,39.8037,3614000.0,0.0,1.0
2000-08-14,60.13,60.44,58.75,60.0,39.9703,2806100.0,0.0,1.0
2000-08-15,59.94,59.94,58.69,59.19,39.4307,3155400.0,0.0,1.0
2000-08-16,58.75,59.69,57.63,57.94,38.598,3070900.0,0.0,1.0
2000-08-17,57.44,59.0,57.31,58.5,38.971,2771200.0,0.0,1.0
2000-08-18,59.0,59.19,58.25,58.5,38.971,2375800.0,0.0,1.0
2000-08-21,59.0,60.06,58.75,59.13,39.3907,2775800.0,0.0,1.0
2000-08-22,59.5,59.63,57.44,57.94,38.598,4134000.0,0.0,1.0
2000-08-23,58.31,58.31,57.0,57.31,38.1783,3717100.0,0.0,1.0
2000-08-24,58.0,58.0,55.75,56.5,37.6387,4558200.0,0.0,1.0
2000-08-25,56.63,57.19,56.56,56.56,37.6786,2471900.0,0.0,1.0
2000-08-28,57.5,59.94,57.0,59.88,39.8903,4912600.0,0.0,1.0
2000-08-29,59.13,59.69,58.31,59.25,39.4706,3513500.0,0.0,1.0
2000-08-30,58.81,59.69,58.63,58.94,39.2641,2291200.0,0.0,1.0
2000-08-31,59.0,60.38,59.0,59.02,39.3174,3959800.0,0.0,1.0
2000-09-01,59.5,59.88,58.38,58.44,38.931,2118700.0,0.0,1.0
2000-09-05,58.44,59.94,58.38,59.75,39.8037,2713400.0,0.0,1.0
2000-09-06,60.0,61.88,59.5,60.0,39.9703,4184200.0,0.0,1.0
2000-09-07,60.0,60.0,58.5,59.31,39.5106,1843000.0,0.0,1.0
2000-09-08,59.19,60.69,58.94,60.63,40.39,3522100.0,0.0,1.0
2000-09-11,60.0,61.94,60.0,61.81,41.176,3804500.0,0.0,1.0
2000-09-12,61.94,61.94,60.56,61.38,40.8896,3488400.0,0.0,1.0
2000-09-13,61.88,62.25,60.31,61.31,40.843,3613000.0,0.0,1.0
2000-09-14,61.19,61.88,60.5,60.81,40.5099,2419900.0,0.0,1.0
2000-09-15,60.56,61.19,58.75,59.31,39.5106,4973700.0,0.0,1.0
2000-09-18,58.69,59.0,58.0,58.0,38.6379,2965300.0,0.0,1.0
2000-09-19,58.0,59.88,58.0,59.81,39.8437,3512800.0,0.0,1.0
2000-09-20,57.56,58.19,56.38,58.0,38.6379,4064500.0,0.0,1.0
2000-09-21,56.81,58.44,55.88,58.25,38.8045,3817300.0,0.0,1.0
2000-09-22,58.25,59.25,57.88,58.75,39.1376,3059600.0,0.0,1.0
2000-09-25,59.0,60.38,58.38,60.0,39.9703,3328600.0,0.0,1.0
2000-09-26,60.06,60.69,58.81,59.56,39.6772,2332900.0,0.0,1.0
2000-09-27,59.0,59.31,58.38,58.75,39.1376,3108100.0,0.0,1.0
2000-09-28,58.75,62.0,58.75,60.94,40.5965,3354900.0,0.0,1.0
2000-09-29,61.31,61.94,60.69,60.75,40.4699,2852700.0,0.0,1.0
2000-10-02,61.0,63.0,59.88,63.0,41.9688,4219200.0,0.0,1.0
2000-10-03,62.44,62.69,61.38,61.5,40.9695,3933700.0,0.0,1.0
2000-10-04,61.56,61.81,60.88,60.88,40.6098,2751600.0,0.08,1.0
2000-10-05,61.69,62.5,60.75,61.0,40.6898,3767600.0,0.0,1.0
2000-10-06,60.56,60.75,57.5,57.94,38.6487,6946900.0,0.0,1.0
2000-10-09,58.0,58.0,56.44,56.63,37.7748,4123600.0,0.0,1.0
2000-10-10,56.94,56.94,55.0,55.5,37.0211,6166600.0,0.0,1.0
2000-10-11,54.88,55.94,54.06,54.38,36.274,7036200.0,0.0,1.0
2000-10-12,56.0,56.88,51.19,51.88,34.6064,9528500.0,0.0,1.0
2000-10-13,51.44,54.31,51.44,53.94,35.9805,5117900.0,0.0,1.0
2000-10-16,54.5,56.63,54.0,55.75,37.1878,5397400.0,0.0,1.0
2000-10-17,55.25,56.0,53.13,53.75,35.8538,5519700.0,0.0,1.0
2000-10-18,52.88,55.63,50.63,54.25,36.1873,8089600.0,0.0,1.0
2000-10-19,55.25,56.88,55.19,56.06,37.3946,4281600.0,0.0,1.0
2000-10-20,55.44,56.88,55.44,56.06,37.3946,2941300.0,0.0,1.0
2000-10-23,56.56,56.56,54.0,54.38,36.274,5033000.0,0.0,1.0
2000-10-24,54.81,57.38,54.69,57.13,38.1084,5099100.0,0.0,1.0
2000-10-25,57.75,58.75,57.0,57.38,38.2751,5103800.0,0.0,1.0
2000-10-26,56.44,56.56,53.06,54.44,36.314,6869800.0,0.0,1.0
2000-10-27,55.88,56.25,54.81,55.81,37.2279,3439300.0,0.0,1.0
2000-10-30,56.38,58.88,56.31,58.44,38.9822,3621300.0,0.0,1.0
2000-10-31,58.38,60.19,57.38,60.0,40.0228,4803900.0,0.0,1.0
2000-11-01,59.88,60.13,57.13,58.38,38.9422,4518900.0,0.0,1.0
