date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,35.5,35.5,34.75,35.0,10.2513,1207700.0,0.0,1.0
2000-06-30,34.75,35.31,33.81,33.88,9.9233,2336000.0,0.0,1.0
2000-07-03,34.25,36.06,34.19,36.0,10.5442,851200.0,0.0,1.0
2000-07-05,34.88,35.44,34.31,35.19,10.307,1662300.0,0.0,1.0
2000-07-06,35.63,35.63,34.81,34.81,10.1957,1216700.0,0.0,1.0
2000-07-07,34.88,34.94,33.94,33.94,9.9409,1757200.0,0.0,1.0
2000-07-10,34.19,35.38,34.19,34.25,10.0317,1542000.0,0.0,1.0
2000-07-11,34.5,36.69,34.5,36.13,10.5823,2528400.0,0.0,1.0
2000-07-12,36.94,37.0,35.75,36.56,10.7082,1618300.0,0.0,1.0
2000-07-13,36.5,36.63,35.88,35.94,10.5266,1719000.0,0.0,1.0
2000-07-14,35.88,36.06,35.13,35.75,10.471,1499600.0,0.0,1.0
2000-07-17,35.5,36.19,35.0,35.72,10.4622,1338600.0,0.0,1.0
2000-07-18,37.13,38.25,36.88,37.75,11.1564,4223100.0,0.34,1.0
2000-07-19,38.56,38.56,37.69,37.94,11.2125,3173100.0,0.0,1.0
2000-07-20,38.19,38.44,36.5,37.06,10.9525,2520800.0,0.0,1.0
2000-07-21,37.0,37.19,36.38,36.5,10.787,1888800.0,0.0,1.0
2000-07-24,36.38,36.5,36.13,36.25,10.7131,830100.0,0.0,1.0
2000-07-25,36.25,36.63,35.88,35.88,10.6037,1181500.0,0.0,1.0
2000-07-26,35.56,35.75,34.75,34.75,10.2698,1706600.0,0.0,1.0
2000-07-27,34.94,35.38,34.63,34.88,10.3082,1321100.0,0.0,1.0
2000-07-28,34.38,35.06,33.94,35.06,10.3614,1668300.0,0.0,1.0
2000-07-31,34.56,35.19,34.06,34.06,10.0659,1565900.0,0.0,1.0
2000-08-01,34.31,34.44,34.13,34.31,10.1397,2003800.0,0.0,1.0
2000-08-02,34.5,35.19,34.38,35.0,10.3437,1861000.0,0.0,1.0
2000-08-03,34.25,35.75,34.25,35.06,10.3614,1687600.0,0.0,1.0
2000-08-04,35.0,35.06,34.38,34.84,10.2964,1009100.0,0.0,1.0
2000-08-07,35.0,36.94,34.56,36.69,10.8431,2017800.0,0.0,1.0
2000-08-08,36.94,38.81,36.81,38.38,11.3426,3528200.0,0.0,1.0
2000-08-09,38.31,38.38,37.56,37.56,11.1002,1453400.0,0.0,1.0
2000-08-10,38.13,38.13,37.38,37.5,11.0825,982000.0,0.0,1.0
2000-08-11,37.25,39.0,37.25,38.63,11.4164,1406900.0,0.0,1.0
2000-08-14,38.94,39.06,38.31,39.06,11.5435,2048300.0,0.0,1.0
2000-08-15,39.31,39.5,38.25,38.66,11.4253,1267700.0,0.0,1.0
2000-08-16,38.81,39.31,38.44,39.19,11.5819,1436600.0,0.0,1.0
2000-08-17,38.69,38.81,38.19,38.25,11.3041,880300.0,0.0,1.0
2000-08-18,38.38,38.56,37.69,38.19,11.2864,985400.0,0.0,1.0
2000-08-21,38.25,38.31,37.38,37.69,11.1386,763800.0,0.0,1.0
2000-08-22,37.88,38.0,37.38,37.81,11.1741,953800.0,0.0,1.0
2000-08-23,37.88,37.88,37.06,37.13,10.9731,981200.0,0.0,1.0
2000-08-24,37.06,37.69,37.0,37.69,11.1386,1175900.0,0.0,1.0
2000-08-25,37.56,37.81,37.25,37.63,11.1209,700100.0,0.0,1.0
2000-08-28,37.69,37.75,36.63,37.19,10.9909,1334500.0,0.0,1.0
2000-08-29,38.13,39.13,37.75,38.06,11.248,2057500.0,0.0,1.0
2000-08-30,37.81,38.44,36.69,37.56,11.1002,1994100.0,0.0,1.0
2000-08-31,37.0,37.88,36.5,36.77,10.8668,2417300.0,0.0,1.0
2000-09-01,36.81,37.5,36.25,37.31,11.0263,1281900.0,0.0,1.0
2000-09-05,37.38,38.81,37.06,38.06,11.248,1437800.0,0.0,1.0
2000-09-06,38.06,39.25,38.06,38.69,11.4342,1450300.0,0.0,1.0
2000-09-07,39.0,39.06,38.06,38.06,11.248,2388800.0,0.0,1.0
2000-09-08,38.06,38.25,37.5,37.81,11.1741,1545800.0,0.0,1.0
2000-09-11,37.81,39.31,37.75,38.31,11.3219,1260900.0,0.0,1.0
2000-09-12,38.13,38.81,37.75,38.0,11.2303,1595300.0,0.0,1.0
2000-09-13,38.44,39.25,38.25,38.69,11.4342,1066000.0,0.0,1.0
2000-09-14,39.19,39.63,38.81,39.25,11.5997,2094100.0,0.0,1.0
2000-09-15,37.75,38.44,37.19,37.44,11.0648,3003900.0,0.0,1.0
2000-09-18,37.25,37.31,35.44,36.06,10.6569,2789500.0,0.0,1.0
2000-09-19,35.38,36.19,34.63,35.5,10.4914,2600600.0,0.0,1.0
2000-09-20,35.38,35.69,34.94,35.19,10.3998,1757500.0,0.0,1.0
2000-09-21,35.44,35.69,34.75,34.81,10.2875,1206200.0,0.0,1.0
2000-09-22,34.75,35.69,34.56,35.13,10.3821,1302700.0,0.0,1.0
2000-09-25,35.38,36.0,35.06,35.5,10.4914,1028200.0,0.0,1.0
2000-09-26,35.0,35.38,34.5,35.0,10.3437,1402400.0,0.0,1.0
2000-09-27,34.56,34.75,32.5,33.5,9.9004,3729300.0,0.0,1.0
2000-09-28,32.63,34.75,32.63,34.0,10.0481,2433000.0,0.0,1.0
2000-09-29,34.25,34.75,29.0,31.0,9.1615,1789200.0,0.0,1.0
2000-10-02,31.0,34.25,31.0,34.25,10.122,3314300.0,0.0,1.0
2000-10-03,34.19,36.0,34.19,35.06,10.3614,2208100.0,0.0,1.0
2000-10-04,35.13,35.94,34.81,35.13,10.3821,1767200.0,0.0,1.0
2000-10-05,35.13,35.63,34.88,35.0,10.3437,1387100.0,0.0,1.0
2000-10-06,35.06,35.69,34.5,34.5,10.1959,1274700.0,0.0,1.0
2000-10-09,34.5,35.0,34.38,34.56,10.2136,659600.0,0.0,1.0
2000-10-10,34.13,34.44,33.31,33.38,9.8649,1354800.0,0.0,1.0
2000-10-11,33.25,34.0,32.56,33.25,9.8265,1870500.0,0.0,1.0
2000-10-12,33.19,33.25,31.19,31.88,9.4216,2400200.0,0.0,1.0
2000-10-13,31.06,31.81,30.88,31.69,9.3654,1775500.0,0.0,1.0
2000-10-16,31.56,32.13,31.31,31.75,9.3832,1711000.0,0.0,1.0
2000-10-17,31.94,32.06,30.38,30.5,9.0138,1634800.0,0.0,1.0
2000-10-18,30.13,30.13,29.56,29.81,8.9103,2782900.0,0.34,1.0
2000-10-19,30.19,30.81,30.06,30.5,9.1166,1573500.0,0.0,1.0
2000-10-20,30.38,31.19,30.38,30.69,9.1734,1185100.0,0.0,1.0
2000-10-23,30.88,31.88,30.69,31.44,9.3975,1362800.0,0.0,1.0
2000-10-24,31.69,32.25,31.56,31.88,9.5291,1721900.0,0.0,1.0
2000-10-25,31.13,32.0,31.13,31.31,9.3587,1206600.0,0.0,1.0
2000-10-26,31.13,32.31,31.06,31.81,9.5081,1328300.0,0.0,1.0
2000-10-27,32.0,32.88,32.0,32.88,9.828,1600300.0,0.0,1.0
2000-10-30,32.75,35.75,32.5,34.94,10.4437,2868900.0,0.0,1.0
2000-10-31,34.94,35.81,33.88,35.06,10.4796,3322600.0,0.0,1.0
2000-11-01,35.13,35.75,34.56,34.75,10.3869,1671700.0,0.0,1.0
2000-11-02,35.31,35.5,34.75,34.81,10.4048,1181100.0,0.0,1.0
2000-11-03,34.88,35.0,34.56,34.81,10.4048,1037000.0,0.0,1.0
2000-11-06,34.81,36.63,34.81,36.19,10.8173,1614400.0,0.0,1.0
2000-11-07,35.63,36.25,35.56,36.13,10.7994,1268600.0,0.0,1.0
2000-11-08,36.0,36.94,35.31,36.44,10.8921,1273000.0,0.0,1.0
2000-11-09,36.63,37.0,35.69,36.56,10.9279,1424000.0,0.0,1.0
2000-11-10,36.31,36.38,35.75,35.75,10.6858,1378200.0,0.0,1.0
2000-11-13,35.19,36.31,35.19,36.19,10.8173,1532700.0,0.0,1.0
2000-11-14,35.94,36.31,35.69,36.06,10.7785,1135700.0,0.0,1.0
2000-11-15,36.31,36.94,36.06,36.69,10.9668,1417900.0,0.0,1.0
2000-11-16,36.69,36.69,35.81,36.31,10.8532,917800.0,0.0,1.0
2000-11-17,36.56,37.5,36.44,36.94,11.0415,1298800.0,0.0,1.0
2000-11-20,36.69,37.31,36.5,37.19,11.1162,1564200.0,0.0,1.0
2000-11-21,37.25,38.5,37.19,38.25,11.4331,1832800.0,0.0,1.0
2000-11-22,38.0,38.19,37.56,37.81,11.3016,1065900.0,0.0,1.0
2000-11-24,37.81,39.0,37.75,38.88,11.6214,742800.0,0.0,1.0
2000-11-27,39.13,39.81,38.44,39.69,11.8635,1471100.0,0.0,1.0
2000-11-28,38.94,39.25,38.56,39.0,11.6572,910500.0,0.0,1.0
2000-11-29,39.0,40.56,39.0,40.13,11.995,1426200.0,0.0,1.0
2000-11-30,39.5,41.06,39.25,39.31,11.7499,1992200.0,0.0,1.0
2000-12-01,39.5,41.25,39.5,40.69,12.1624,1501800.0,0.0,1.0
2000-12-04,40.81,43.94,40.75,43.31,12.9455,3011600.0,0.0,1.0
2000-12-05,42.88,44.25,41.94,43.38,12.9664,2946500.0,0.0,1.0
2000-12-06,42.44,42.69,41.38,41.56,12.4224,1543400.0,0.0,1.0
2000-12-07,42.5,42.5,41.31,41.56,12.4224,1131400.0,0.0,1.0
2000-12-08,41.81,42.13,41.0,41.63,12.4434,1396100.0,0.0,1.0
2000-12-11,41.88,42.56,40.94,42.38,12.6675,1532600.0,0.0,1.0
2000-12-12,41.88,43.63,41.88,42.38,12.6675,2045400.0,0.0,1.0
2000-12-13,43.0,43.19,41.44,41.69,12.4613,1373500.0,0.0,1.0
2000-12-14,40.13,40.94,40.13,40.69,12.1624,1068800.0,0.0,1.0
2000-12-15,40.94,41.44,40.75,40.81,12.1983,2288400.0,0.0,1.0
2000-12-18,40.56,42.63,40.13,42.31,12.6466,1836600.0,0.0,1.0
2000-12-19,42.38,43.38,41.44,42.88,12.817,2697600.0,0.0,1.0
2000-12-20,42.25,43.31,41.25,43.06,12.8708,2904800.0,0.0,1.0
2000-12-21,42.56,44.88,42.25,44.75,13.3759,2982500.0,0.0,1.0
2000-12-22,44.25,46.75,44.19,46.63,13.9379,2871800.0,0.0,1.0
2000-12-26,46.62,47.75,46.44,47.75,14.2727,1857700.0,0.0,1.0
2000-12-27,47.19,47.56,46.38,47.5,14.1979,1868600.0,0.0,1.0
2000-12-28,47.13,47.69,46.19,47.63,14.2368,1279300.0,0.0,1.0
2000-12-29,47.06,47.94,46.81,47.31,14.1411,1525900.0,0.0,1.0
2001-01-02,46.25,47.25,45.63,46.31,13.8422,1642500.0,0.0,1.0
2001-01-03,44.75,46.69,43.56,46.5,13.899,3782000.0,0.0,1.0
2001-01-04,46.5,49.63,46.5,48.69,14.5536,4574700.0,0.0,1.0
2001-01-05,48.5,48.5,45.31,45.88,13.7137,3528900.0,0.0,1.0
2001-01-08,45.38,46.0,45.13,45.75,13.6748,1876000.0,0.0,1.0
2001-01-09,45.75,45.75,44.88,45.69,13.6569,1918300.0,0.0,1.0
2001-01-10,45.5,45.63,44.06,45.06,13.4686,1827500.0,0.0,1.0
2001-01-11,45.38,45.44,44.13,45.44,13.5822,1685500.0,0.0,1.0
2001-01-12,45.25,45.25,42.69,43.69,13.0591,1747100.0,0.0,1.0
2001-01-16,43.75,44.69,43.06,44.69,13.358,2119700.0,0.0,1.0
2001-01-17,44.69,45.63,44.31,45.0,13.4507,2230100.0,0.0,1.0
2001-01-18,41.88,42.06,40.0,41.75,12.5809,4583200.0,0.34,1.0
2001-01-19,41.0,41.06,39.81,40.63,12.2434,2751300.0,0.0,1.0
2001-01-22,40.63,41.44,39.81,40.88,12.3187,2329900.0,0.0,1.0
2001-01-23,40.88,42.0,40.75,41.63,12.5447,2896200.0,0.0,1.0
2001-01-24,41.13,42.88,41.0,42.19,12.7135,1835100.0,0.0,1.0
2001-01-25,42.88,44.06,42.44,43.31,13.0509,1758800.0,0.0,1.0
2001-01-26,43.13,43.75,42.56,43.25,13.0329,1547200.0,0.0,1.0
2001-01-29,43.0,43.8,42.81,43.1,12.9877,1219800.0,0.0,1.0
2001-01-30,43.22,44.5,42.25,44.4,13.3794,2337600.0,0.0,1.0
2001-01-31,44.4,45.0,44.0,44.22,13.3252,1944500.0,0.0,1.0
2001-02-01,44.47,44.6,43.7,44.33,13.3583,1368800.0,0.0,1.0
2001-02-02,44.25,44.92,43.9,44.27,13.3402,1193700.0,0.0,1.0
2001-02-05,44.0,44.38,43.73,43.77,13.1896,911500.0,0.0,1.0
2001-02-06,43.87,44.06,43.31,43.52,13.1142,1149100.0,0.0,1.0
2001-02-07,43.55,43.89,43.38,43.61,13.1414,886900.0,0.0,1.0
2001-02-08,43.65,43.75,42.81,43.18,13.0118,977000.0,0.0,1.0
2001-02-09,43.08,43.25,42.49,43.0,12.9575,1560900.0,0.0,1.0
2001-02-12,43.25,43.85,43.13,43.13,12.9967,1590300.0,0.0,1.0
2001-02-13,43.15,44.15,43.15,43.26,13.0359,1449200.0,0.0,1.0
2001-02-14,43.95,44.5,42.82,42.92,12.9334,1347400.0,0.0,1.0
2001-02-15,43.52,45.0,43.41,44.12,13.295,1743500.0,0.0,1.0
2001-02-16,43.92,44.68,43.5,43.67,13.1594,1663100.0,0.0,1.0
2001-02-20,43.4,43.4,41.8,41.8,12.5959,2118400.0,0.0,1.0
2001-02-21,42.05,42.28,40.9,40.96,12.3428,1557500.0,0.0,1.0
2001-02-22,41.4,41.45,40.2,40.69,12.2614,1623700.0,0.0,1.0
2001-02-23,40.69,40.77,39.75,40.09,12.0806,1638800.0,0.0,1.0
2001-02-26,40.69,41.88,40.56,41.63,12.5447,1083800.0,0.0,1.0
2001-02-27,41.55,42.65,41.55,42.49,12.8039,1856800.0,0.0,1.0
2001-02-28,42.3,43.18,41.55,41.6,12.5357,1512600.0,0.0,1.0
2001-03-01,41.6,42.75,41.52,42.0,12.6562,1668500.0,0.0,1.0
2001-03-02,42.24,43.46,42.14,42.68,12.8611,1295800.0,0.0,1.0
2001-03-05,43.65,44.7,43.3,44.33,13.3583,1821500.0,0.0,1.0
2001-03-06,45.08,45.2,44.14,44.51,13.4126,1853000.0,0.0,1.0
2001-03-07,45.9,46.81,45.1,46.8,14.1026,3269000.0,0.0,1.0
2001-03-08,47.0,48.0,46.95,47.79,14.4009,3769700.0,0.0,1.0
2001-03-09,47.76,47.77,46.3,46.84,14.1147,2546400.0,0.0,1.0
2001-03-12,45.5,46.8,44.78,44.96,13.5482,2354100.0,0.0,1.0
