date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,38.63,40.13,38.06,39.5,30.7197,4803200.0,0.0,1.0
2000-06-30,38.88,39.44,37.75,38.81,30.1831,6612500.0,0.0,1.0
2000-07-03,38.13,38.69,38.0,38.56,29.9887,2324200.0,0.0,1.0
2000-07-05,38.75,38.88,37.88,38.06,29.5998,4212600.0,0.0,1.0
2000-07-06,38.44,39.19,37.44,37.5,29.1643,3874200.0,0.0,1.0
2000-07-07,36.75,38.13,36.5,38.0,29.5531,9326800.0,0.0,1.0
2000-07-10,37.5,38.44,37.44,37.81,29.4054,4126400.0,0.0,1.0
2000-07-11,37.5,37.75,36.0,36.0,27.9977,3836100.0,0.0,1.0
2000-07-12,37.81,38.13,36.06,36.06,28.0444,4154500.0,0.0,1.0
2000-07-13,37.5,37.69,36.25,37.13,28.8765,5092800.0,0.0,1.0
2000-07-14,36.38,37.5,36.25,37.44,29.1176,4111700.0,0.0,1.0
2000-07-17,37.44,37.44,36.13,36.56,28.4332,4455300.0,0.0,1.0
2000-07-18,36.13,36.19,35.38,35.75,27.8033,4698800.0,0.0,1.0
2000-07-19,36.88,37.56,36.44,37.0,28.7754,5999500.0,0.0,1.0
2000-07-20,37.81,39.31,37.5,38.63,30.0431,5474500.0,0.0,1.0
2000-07-21,38.69,38.69,37.19,37.44,29.1176,3784500.0,0.0,1.0
2000-07-24,37.06,37.25,36.56,36.63,28.4877,2981500.0,0.0,1.0
2000-07-25,36.63,37.63,36.31,37.5,29.1643,3742500.0,0.0,1.0
2000-07-26,37.38,38.25,37.06,38.06,29.5998,4710400.0,0.0,1.0
2000-07-27,38.19,38.5,37.56,38.0,29.5531,2734800.0,0.0,1.0
2000-07-28,37.63,38.19,37.19,37.88,29.4598,2514000.0,0.0,1.0
2000-07-31,38.0,38.75,38.0,38.56,29.9887,4193500.0,0.0,1.0
2000-08-01,39.44,40.31,39.0,39.5,30.7197,8354900.0,0.0,1.0
2000-08-02,40.13,40.19,39.56,40.13,31.2097,4613400.0,0.0,1.0
2000-08-03,39.75,43.0,39.44,42.5,33.0529,4453000.0,0.0,1.0
2000-08-04,40.94,42.81,40.94,42.44,33.0062,14963400.0,0.0,1.0
2000-08-07,42.0,42.0,40.56,41.06,31.9329,6139500.0,0.0,1.0
2000-08-08,41.88,42.13,41.38,41.38,32.1818,5026700.0,0.0,1.0
2000-08-09,41.5,41.75,40.31,40.69,31.6452,3654900.0,0.0,1.0
