date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,90.13,93.13,88.31,92.63,73.6015,1385400.0,0.0,1.0
2000-06-30,93.0,95.94,92.56,94.77,75.3019,2540600.0,0.0,1.0
2000-07-03,94.38,94.94,93.44,94.94,75.437,453100.0,0.0,1.0
2000-07-05,94.38,97.0,93.88,95.94,76.2316,1077000.0,0.0,1.0
2000-07-06,90.0,94.0,88.38,93.19,74.0465,3343100.0,0.0,1.0
2000-07-07,93.19,95.25,90.94,94.94,75.437,1265600.0,0.0,1.0
2000-07-10,94.88,98.88,93.81,97.69,77.6221,1498700.0,0.0,1.0
2000-07-11,97.56,99.19,97.06,98.5,78.2657,1249100.0,0.0,1.0
2000-07-12,100.1,104.3,100.1,101.9,80.9672,2751000.0,0.0,1.0
2000-07-13,100.5,104.3,99.5,104.3,82.8742,2207300.0,0.0,1.0
2000-07-14,104.3,105.3,102.9,104.2,82.7948,1143000.0,0.0,1.0
2000-07-17,104.1,104.1,100.0,100.0,79.4576,1225000.0,0.0,1.0
2000-07-18,102.0,104.3,101.1,103.9,82.5564,2449700.0,0.0,1.0
2000-07-19,103.2,103.6,100.3,100.8,80.0932,874200.0,0.0,1.0
2000-07-20,101.0,104.9,101.0,103.7,82.4928,1027700.0,0.12,1.0
2000-07-21,103.6,105.7,102.8,104.3,82.9701,1155300.0,0.0,1.0
2000-07-24,104.8,106.9,102.8,105.4,83.8452,1457700.0,0.0,1.0
2000-07-25,105.8,106.8,103.7,106.0,84.3225,1092500.0,0.0,1.0
2000-07-26,105.6,105.9,102.8,105.9,84.2429,1247400.0,0.0,1.0
2000-07-27,105.8,106.4,99.88,100.0,79.5495,1299100.0,0.0,1.0
2000-07-28,100.1,101.1,95.94,98.5,78.3563,1370800.0,0.0,1.0
2000-07-31,96.0,98.94,94.5,98.69,78.5074,1734100.0,0.0,1.0
2000-08-01,99.0,102.3,97.0,100.6,80.0268,1990600.0,0.0,1.0
2000-08-02,99.25,102.9,99.25,102.1,81.22,13171500.0,0.0,1.0
2000-08-03,101.6,105.6,100.5,105.6,84.0043,2700200.0,0.0,1.0
2000-08-04,109.0,112.9,108.0,111.3,88.5386,3709300.0,0.0,1.0
2000-08-07,111.5,115.0,109.8,114.1,90.766,2457700.0,0.0,1.0
2000-08-08,114.1,115.3,112.8,113.0,89.8909,1984600.0,0.0,1.0
2000-08-09,113.0,116.8,111.9,114.9,91.4024,1488800.0,0.0,1.0
2000-08-10,115.4,116.8,111.4,112.0,89.0954,1188900.0,0.0,1.0
2000-08-11,111.8,119.9,111.8,119.9,95.3799,1489600.0,0.0,1.0
2000-08-14,118.0,121.8,116.6,120.8,96.0958,2121700.0,0.0,1.0
2000-08-15,120.8,120.8,117.8,118.2,94.0275,1548900.0,0.0,1.0
2000-08-16,117.0,118.4,114.4,115.3,91.7206,2521000.0,0.0,1.0
2000-08-17,113.1,118.9,113.1,118.6,94.3457,1780400.0,0.0,1.0
2000-08-18,118.9,119.0,116.0,117.0,93.0729,853900.0,0.0,1.0
2000-08-21,116.9,118.8,116.3,117.8,93.7093,1082000.0,0.0,1.0
2000-08-22,117.9,121.5,117.8,119.9,95.3799,2178800.0,0.0,1.0
2000-08-23,119.8,119.8,118.1,119.0,94.6639,1650600.0,0.0,1.0
2000-08-24,119.1,120.9,117.9,118.3,94.1071,1049600.0,0.0,1.0
2000-08-25,118.5,120.2,117.1,119.4,94.9821,984200.0,0.0,1.0
2000-08-28,118.3,124.5,118.3,122.4,97.3686,1422700.0,0.0,1.0
2000-08-29,121.5,127.4,121.4,127.4,101.3461,2495500.0,0.0,1.0
