date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,48.13,48.25,47.13,47.88,31.915,5339200.0,0.0,1.0
2000-06-30,48.06,50.04,47.63,49.94,33.2882,5055500.0,0.0,1.0
2000-07-03,49.69,49.88,48.63,49.69,33.1215,1885300.0,0.0,1.0
2000-07-05,49.94,50.88,49.63,50.25,33.4948,4063400.0,0.0,1.0
2000-07-06,50.38,52.13,50.0,51.25,34.1614,4646900.0,0.0,1.0
2000-07-07,53.0,55.88,52.38,55.5,36.9943,10254800.0,0.0,1.0
2000-07-10,55.31,58.13,54.75,57.5,38.3274,9340900.0,0.0,1.0
2000-07-11,57.38,58.56,57.06,57.63,38.414,7711000.0,0.0,1.0
2000-07-12,57.69,58.06,56.38,57.38,38.2474,5062400.0,0.0,1.0
2000-07-13,57.63,57.69,55.75,56.19,37.4542,3751500.0,0.0,1.0
2000-07-14,56.69,56.69,55.38,56.44,37.6208,3456600.0,0.0,1.0
2000-07-17,56.88,57.0,55.63,56.88,37.9141,3686600.0,0.0,1.0
2000-07-18,56.88,58.19,56.75,57.38,38.2474,4019800.0,0.0,1.0
2000-07-19,57.56,57.63,56.81,57.13,38.0807,2794900.0,0.0,1.0
2000-07-20,57.13,58.5,57.0,58.06,38.7007,4664500.0,0.0,1.0
2000-07-21,58.38,58.75,57.13,57.13,38.0807,3611700.0,0.0,1.0
2000-07-24,56.5,56.69,54.81,56.0,37.3275,3839900.0,0.0,1.0
2000-07-25,55.75,55.81,54.13,55.0,36.661,4115200.0,0.0,1.0
2000-07-26,54.5,55.88,53.56,53.56,35.7011,5031400.0,0.0,1.0
2000-07-27,54.31,54.81,53.75,54.75,36.4943,3319300.0,0.0,1.0
2000-07-28,54.81,54.94,52.25,52.69,35.1212,3639900.0,0.0,1.0
2000-07-31,52.88,52.94,51.38,51.75,34.4946,3888800.0,0.0,1.0
2000-08-01,51.94,52.5,51.0,52.0,34.6613,3623600.0,0.0,1.0
2000-08-02,52.38,53.5,51.88,53.13,35.4145,3331100.0,0.0,1.0
2000-08-03,53.19,53.88,51.44,51.75,34.4946,3913800.0,0.0,1.0
2000-08-04,51.81,54.0,51.63,54.0,35.9944,4235200.0,0.0,1.0
2000-08-07,52.63,55.5,52.63,55.0,36.661,4122900.0,0.0,1.0
2000-08-08,55.0,58.44,54.94,57.0,37.9941,6870100.0,0.0,1.0
2000-08-09,57.31,58.0,55.75,58.0,38.6607,4782800.0,0.0,1.0
2000-08-10,57.38,57.44,55.13,55.13,36.7476,4227000.0,0.0,1.0
2000-08-11,55.0,56.5,55.0,55.94,37.2875,2719500.0,0.0,1.0
2000-08-14,56.81,60.0,56.81,59.0,39.3272,5011300.0,0.0,1.0
2000-08-15,56.0,56.06,53.0,53.63,35.7478,16307100.0,0.0,1.0
2000-08-16,52.19,52.25,49.75,51.0,33.9947,20874900.0,0.0,1.0
2000-08-17,51.13,51.5,50.44,51.31,34.2014,6989900.0,0.0,1.0
2000-08-18,51.13,52.13,50.75,51.38,34.248,6392800.0,0.0,1.0
2000-08-21,51.13,51.44,49.94,50.88,33.9147,5822700.0,0.0,1.0
2000-08-22,50.94,52.0,50.56,51.19,34.1214,4724000.0,0.0,1.0
2000-08-23,51.22,51.38,50.5,51.38,34.248,5202900.0,0.0,1.0
2000-08-24,50.63,50.94,49.88,50.44,33.6214,5200800.0,0.0,1.0
2000-08-25,50.44,50.69,50.13,50.5,33.6614,3784300.0,0.0,1.0
2000-08-28,50.63,50.81,50.0,50.0,33.3282,4950400.0,0.0,1.0
2000-08-29,49.94,50.31,49.06,49.69,33.1482,5433100.0,0.04,1.0
2000-08-30,49.25,49.31,48.0,48.38,32.2743,8329200.0,0.0,1.0
2000-08-31,48.19,49.38,48.0,48.06,32.0608,8541200.0,0.0,1.0
2000-09-01,49.0,49.0,48.06,48.56,32.3944,5517300.0,0.0,1.0
2000-09-05,48.94,51.0,48.63,50.13,33.4417,5492500.0,0.0,1.0
2000-09-06,50.63,51.13,50.5,50.63,33.7753,5266700.0,0.0,1.0
2000-09-07,50.63,51.0,50.06,50.5,33.6885,5109900.0,0.0,1.0
2000-09-08,50.88,53.44,50.75,52.94,35.3163,7810500.0,0.0,1.0
2000-09-11,53.0,54.88,52.94,54.25,36.1902,5222000.0,0.0,1.0
2000-09-12,54.69,55.94,54.25,55.88,37.2775,6328100.0,0.0,1.0
2000-09-13,55.25,56.13,53.88,54.75,36.5237,7056100.0,0.0,1.0
2000-09-14,55.88,56.19,54.75,55.5,37.024,5346800.0,0.0,1.0
2000-09-15,55.94,55.94,54.25,54.25,36.1902,6577700.0,0.0,1.0
2000-09-18,54.63,55.81,53.69,55.06,36.7305,4399500.0,0.0,1.0
2000-09-19,55.0,55.13,52.75,53.0,35.3563,4102400.0,0.0,1.0
2000-09-20,53.5,53.81,52.56,53.0,35.3563,3739300.0,0.0,1.0
2000-09-21,53.13,56.0,53.0,55.0,36.6905,5001200.0,0.0,1.0
2000-09-22,54.75,55.94,54.25,55.94,37.3176,5557600.0,0.0,1.0
2000-09-25,55.94,55.94,53.69,54.63,36.4437,4601800.0,0.0,1.0
2000-09-26,54.44,54.5,52.19,53.38,35.6098,5580200.0,0.0,1.0
2000-09-27,54.94,54.94,53.63,54.75,36.5237,5173100.0,0.0,1.0
2000-09-28,54.25,55.0,53.81,55.0,36.6905,3416400.0,0.0,1.0
2000-09-29,54.13,54.75,52.88,52.94,35.3163,4396400.0,0.0,1.0
2000-10-02,53.94,53.94,52.56,52.56,35.0628,3095900.0,0.0,1.0
2000-10-03,52.94,54.75,52.75,53.81,35.8966,4093700.0,0.0,1.0
2000-10-04,53.81,56.81,53.81,55.56,37.0641,5747000.0,0.0,1.0
2000-10-05,54.0,55.75,53.13,53.75,35.8566,7223900.0,0.0,1.0
2000-10-06,51.25,51.69,50.13,51.06,34.0621,9449800.0,0.0,1.0
2000-10-09,51.06,51.81,50.63,50.88,33.942,2754300.0,0.0,1.0
2000-10-10,51.13,51.5,50.25,50.69,33.8153,3018200.0,0.0,1.0
2000-10-11,50.19,51.25,48.94,48.94,32.6479,5142600.0,0.0,1.0
2000-10-12,37.25,38.0,34.69,34.88,23.2684,66652300.0,0.0,1.0
2000-10-13,35.44,36.44,34.88,36.31,24.2224,43718200.0,0.0,1.0
2000-10-16,36.94,37.69,36.88,37.69,25.143,16537300.0,0.0,1.0
2000-10-17,37.5,37.63,35.06,35.13,23.4352,13126400.0,0.0,1.0
2000-10-18,35.25,36.56,34.75,36.5,24.3491,13906400.0,0.0,1.0
2000-10-19,37.63,38.75,37.06,38.63,25.7701,12302400.0,0.0,1.0
2000-10-20,38.63,40.63,38.25,39.44,26.3104,9776600.0,0.0,1.0
2000-10-23,40.63,41.63,40.06,40.56,27.0576,7514900.0,0.0,1.0
2000-10-24,41.31,41.31,38.75,39.25,26.1837,11845200.0,0.0,1.0
2000-10-25,38.75,39.19,38.31,38.38,25.6033,6196400.0,0.0,1.0
2000-10-26,38.5,39.25,38.44,38.94,25.9769,6469300.0,0.0,1.0
2000-10-27,38.75,39.81,38.25,39.38,26.2704,5017600.0,0.0,1.0
2000-10-30,39.75,42.06,39.75,40.94,27.3111,8475400.0,0.0,1.0
2000-10-31,42.5,43.63,42.0,43.0,28.6853,7567900.0,0.0,1.0
2000-11-01,43.0,44.31,42.56,44.06,29.3924,6781100.0,0.0,1.0
2000-11-02,43.75,43.81,42.13,42.75,28.5185,8273900.0,0.0,1.0
2000-11-03,42.5,42.63,40.81,41.25,27.5179,5857800.0,0.0,1.0
2000-11-06,41.69,42.0,40.69,41.31,27.5579,6531600.0,0.0,1.0
2000-11-07,42.0,42.13,40.94,41.38,27.6046,3723100.0,0.0,1.0
2000-11-08,41.94,42.56,41.25,41.25,27.5179,5220600.0,0.0,1.0
2000-11-09,40.0,40.13,38.63,38.81,25.8901,7868600.0,0.0,1.0
2000-11-10,37.0,37.5,36.19,36.25,24.1824,12460000.0,0.0,1.0
2000-11-13,35.5,38.19,35.44,37.38,24.9362,16025400.0,0.0,1.0
2000-11-14,40.0,40.75,39.06,39.19,26.1436,11823600.0,0.0,1.0
2000-11-15,40.0,40.38,38.31,39.63,26.4372,10061600.0,0.0,1.0
2000-11-16,39.69,39.94,39.19,39.19,26.1436,5515400.0,0.0,1.0
2000-11-17,39.38,39.75,38.31,38.81,25.8901,7022900.0,0.0,1.0
2000-11-20,38.81,39.25,38.31,38.88,25.9368,5796900.0,0.0,1.0
2000-11-21,39.0,39.75,37.38,38.25,25.5166,7188100.0,0.0,1.0
2000-11-22,38.25,38.31,36.69,36.75,24.5159,5832700.0,0.0,1.0
2000-11-24,38.5,38.5,37.38,37.5,25.0162,3615300.0,0.0,1.0
2000-11-27,39.44,39.44,38.25,38.75,25.8501,7418800.0,0.0,1.0
2000-11-28,39.0,40.5,38.75,39.56,26.4171,7382700.0,0.04,1.0
2000-11-29,40.13,40.38,39.63,40.0,26.711,7667000.0,0.0,1.0
2000-11-30,39.75,40.0,38.75,39.19,26.1701,7619600.0,0.0,1.0
2000-12-01,39.25,40.06,38.94,38.94,26.0031,5532200.0,0.0,1.0
2000-12-04,39.0,40.94,38.75,40.75,27.2118,8811100.0,0.0,1.0
2000-12-05,40.63,44.0,39.88,44.0,29.3821,12795600.0,0.0,1.0
2000-12-06,45.75,45.81,44.25,45.06,30.0899,18096600.0,0.0,1.0
2000-12-07,45.06,46.06,44.56,44.94,30.0098,10976300.0,0.0,1.0
2000-12-08,45.94,47.44,45.25,47.25,31.5523,10211000.0,0.0,1.0
2000-12-11,45.94,47.06,44.88,45.13,30.1366,9399800.0,0.0,1.0
2000-12-12,44.5,45.5,44.38,45.0,30.0498,6589300.0,0.0,1.0
2000-12-13,45.13,45.38,44.13,45.19,30.1767,6351200.0,0.0,1.0
2000-12-14,44.63,44.94,43.75,43.88,29.3019,5402100.0,0.0,1.0
2000-12-15,42.25,42.75,41.38,41.94,28.0064,11467700.0,0.0,1.0
2000-12-18,43.31,44.63,43.25,44.13,29.4689,7372200.0,0.0,1.0
2000-12-19,44.5,44.69,42.44,42.63,28.4672,7366700.0,0.0,1.0
2000-12-20,41.25,42.0,40.19,41.13,27.4656,7784300.0,0.0,1.0
2000-12-21,41.06,44.13,41.0,42.88,28.6342,10168700.0,0.0,1.0
2000-12-22,42.88,44.25,40.0,41.63,27.7994,10621200.0,0.0,1.0
2000-12-26,41.25,41.94,40.0,40.69,27.1717,6407000.0,0.0,1.0
2000-12-27,40.75,43.19,40.63,42.75,28.5473,7302000.0,0.0,1.0
2000-12-28,43.0,44.44,42.81,43.63,29.135,4983300.0,0.0,1.0
2000-12-29,43.69,46.94,43.63,45.69,30.5106,7949100.0,0.0,1.0
2001-01-02,45.69,46.31,44.63,45.56,30.4238,6497200.0,0.0,1.0
2001-01-03,45.56,51.5,45.06,51.44,34.3503,17594900.0,0.0,1.0
2001-01-04,49.81,52.5,49.63,51.69,34.5172,15560100.0,0.0,1.0
2001-01-05,50.0,50.56,49.31,49.75,33.2218,8803200.0,0.0,1.0
2001-01-08,49.5,49.5,47.0,47.69,31.8461,7037800.0,0.0,1.0
2001-01-09,47.56,47.75,44.94,45.88,30.6375,8026000.0,0.0,1.0
2001-01-10,45.81,47.56,45.0,47.44,31.6792,7515900.0,0.0,1.0
2001-01-11,47.81,49.5,47.5,49.06,32.761,6131600.0,0.0,1.0
2001-01-12,49.06,50.25,49.06,49.13,32.8077,8391900.0,0.0,1.0
2001-01-16,48.75,49.13,47.63,48.88,32.6408,5983700.0,0.0,1.0
2001-01-17,47.88,48.63,46.06,46.38,30.9714,8951500.0,0.0,1.0
2001-01-18,46.5,47.13,44.13,44.25,29.549,12073100.0,0.0,1.0
2001-01-19,41.75,43.0,41.0,41.0,27.3787,34361100.0,0.0,1.0
2001-01-22,42.0,43.94,40.94,43.75,29.2151,15010000.0,0.0,1.0
2001-01-23,43.63,44.88,42.75,44.75,29.8829,8310800.0,0.0,1.0
2001-01-24,44.81,45.38,44.38,45.06,30.0899,7287500.0,0.0,1.0
2001-01-25,45.38,46.06,44.19,46.0,30.7176,9890400.0,0.0,1.0
2001-01-26,45.75,45.75,44.13,44.75,29.8829,7185400.0,0.0,1.0
2001-01-29,45.3,45.97,44.5,45.5,30.3837,5499900.0,0.0,1.0
2001-01-30,45.75,46.39,45.43,46.0,30.7176,9632700.0,0.0,1.0
2001-01-31,46.65,49.0,46.26,48.2,32.1867,14702100.0,0.0,1.0
2001-02-01,47.52,48.9,47.06,48.65,32.4872,8844000.0,0.0,1.0
2001-02-02,48.65,48.65,46.57,46.89,31.3119,5833100.0,0.0,1.0
2001-02-05,46.87,46.91,46.1,46.61,31.125,4199700.0,0.0,1.0
2001-02-06,47.11,47.4,45.56,45.65,30.4839,4063200.0,0.0,1.0
2001-02-07,45.9,46.75,45.07,45.78,30.5707,5983400.0,0.0,1.0
2001-02-08,46.0,46.25,43.58,43.99,29.3754,7761100.0,0.0,1.0
2001-02-09,44.5,45.75,44.05,44.43,29.6692,5922700.0,0.0,1.0
2001-02-12,44.57,45.89,44.44,45.73,30.5373,5510200.0,0.0,1.0
2001-02-13,45.99,46.64,44.85,46.31,30.9246,6083500.0,0.0,1.0
2001-02-14,46.75,46.87,45.14,45.72,30.5306,6110300.0,0.0,1.0
2001-02-15,45.4,45.4,44.0,44.61,29.7894,6318000.0,0.0,1.0
2001-02-16,45.0,45.0,42.5,43.0,28.7143,7435300.0,0.0,1.0
2001-02-20,44.48,45.6,43.8,44.09,29.4422,8286100.0,0.0,1.0
2001-02-21,43.15,43.49,40.8,40.95,27.3454,8240700.0,0.0,1.0
2001-02-22,41.5,41.5,39.9,40.0,26.711,12723600.0,0.0,1.0
2001-02-23,39.95,41.08,39.62,40.01,26.7176,10725900.0,0.0,1.0
2001-02-26,41.0,43.87,41.0,43.75,29.2151,10543400.0,0.0,1.0
2001-02-27,44.5,44.96,43.55,44.6,29.7827,8935800.0,0.0,1.0
2001-02-28,44.6,44.93,42.2,42.5,28.3804,7979800.0,0.0,1.0
2001-03-01,42.4,42.49,40.75,41.5,27.7126,7726600.0,0.0,1.0
2001-03-02,40.55,42.4,40.32,41.55,27.746,6377600.0,0.0,1.0
2001-03-05,41.8,41.95,41.05,41.43,27.6659,4188300.0,0.0,1.0
2001-03-06,42.0,42.35,41.13,41.36,27.6459,6202900.0,0.04,1.0
2001-03-07,41.45,43.9,41.41,43.7,29.21,8762300.0,0.0,1.0
2001-03-08,43.9,45.5,43.8,44.72,29.8917,8456500.0,0.0,1.0
2001-03-09,44.98,45.08,43.6,44.52,29.7581,7067500.0,0.0,1.0
2001-03-12,43.55,43.98,41.6,42.06,28.1137,8396100.0,0.0,1.0
2001-03-13,42.06,42.8,41.26,42.7,28.5415,10060000.0,0.0,1.0
2001-03-14,41.3,42.8,40.5,41.62,27.8196,7025300.0,0.0,1.0
2001-03-15,43.25,43.75,42.58,43.2,28.8757,7711500.0,0.0,1.0
2001-03-16,42.55,43.8,41.9,42.26,28.2474,9820300.0,0.0,1.0
2001-03-19,42.01,43.1,41.0,42.5,28.4078,8090000.0,0.0,1.0
2001-03-20,43.0,44.14,41.95,41.95,28.0402,8313400.0,0.0,1.0
2001-03-21,41.95,43.0,41.27,41.5,27.7394,7536100.0,0.0,1.0
2001-03-22,41.3,41.36,38.11,40.76,27.2448,14021200.0,0.0,1.0
2001-03-23,40.6,40.6,38.31,39.67,26.5162,10532600.0,0.0,1.0
2001-03-26,41.6,42.01,41.0,41.35,27.6392,8100700.0,0.0,1.0
2001-03-27,41.95,43.71,41.6,43.46,29.0495,8471200.0,0.0,1.0
2001-03-28,43.39,43.45,41.72,43.23,28.8958,8035200.0,0.0,1.0
2001-03-29,43.4,44.12,42.25,42.66,28.5148,7181800.0,0.0,1.0
2001-03-30,43.5,43.75,42.67,43.1,28.8089,7060200.0,0.0,1.0
2001-04-02,43.1,43.52,42.1,42.55,28.4413,7320100.0,0.0,1.0
2001-04-03,43.15,43.3,41.3,42.6,28.4747,7647300.0,0.0,1.0
2001-04-04,42.0,43.0,41.8,42.3,28.2742,7249300.0,0.0,1.0
2001-04-05,43.1,44.0,42.83,43.96,29.3837,6122500.0,0.0,1.0
2001-04-06,43.15,44.09,42.3,43.78,29.2634,6806900.0,0.0,1.0
2001-04-09,43.3,43.35,41.76,42.19,28.2006,6231900.0,0.0,1.0
2001-04-10,43.09,43.39,42.5,43.01,28.7487,5711500.0,0.0,1.0
2001-04-11,42.05,42.5,40.08,41.5,27.7394,11755200.0,0.0,1.0
2001-04-12,41.15,41.65,40.05,41.65,27.8397,6806100.0,0.0,1.0
2001-04-16,40.8,41.9,40.5,41.5,27.7394,5037600.0,0.0,1.0
2001-04-17,41.5,42.3,40.74,41.91,28.0135,5187700.0,0.0,1.0
2001-04-18,42.75,46.02,42.52,45.61,30.4866,14545300.0,0.0,1.0
2001-04-19,45.0,46.09,44.33,46.08,30.8008,7419700.0,0.0,1.0
2001-04-20,45.84,46.25,45.29,46.21,30.8877,5638400.0,0.0,1.0
2001-04-23,46.21,47.74,45.81,46.19,30.8743,6682900.0,0.0,1.0
2001-04-24,45.5,45.94,44.9,45.02,30.0923,6692400.0,0.0,1.0
2001-04-25,45.55,46.24,45.31,46.02,30.7607,4606800.0,0.0,1.0
2001-04-26,46.5,47.4,46.15,47.3,31.6163,4794700.0,0.0,1.0
2001-04-27,47.98,48.4,47.51,48.1,32.151,7059000.0,0.0,1.0
2001-04-30,48.1,48.5,46.96,47.1,31.4826,6381300.0,0.0,1.0
2001-05-01,47.01,49.75,46.75,49.24,32.913,7525100.0,0.0,1.0
2001-05-02,48.7,49.75,48.5,48.79,32.6122,7186700.0,0.0,1.0
2001-05-03,48.54,48.72,47.9,48.51,32.4251,5144400.0,0.0,1.0
2001-05-04,47.75,49.74,47.61,49.59,33.1469,5701500.0,0.0,1.0
2001-05-07,49.59,50.2,48.8,49.09,32.8127,4870800.0,0.0,1.0
