date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,111.75,114.37,110.06,114.0,74.7475,7688500.0,0.0,1.0
2000-06-30,112.69,113.19,108.62,109.56,71.8363,8612600.0,0.0,1.0
2000-07-03,108.75,109.87,108.31,109.5,71.797,2304400.0,0.0,1.0
2000-07-05,105.62,105.62,101.12,105.0,68.8464,14339600.0,0.0,1.0
2000-07-06,105.0,105.12,100.0,101.25,66.3876,12932700.0,0.0,1.0
2000-07-07,102.69,105.06,101.62,105.06,68.8858,9031700.0,0.0,1.0
2000-07-10,104.69,104.94,102.87,103.31,67.7383,4212200.0,0.0,1.0
2000-07-11,103.25,104.0,101.0,102.0,66.8794,5619800.0,0.0,1.0
2000-07-12,103.19,105.87,102.62,104.62,68.5973,5550500.0,0.0,1.0
2000-07-13,105.44,105.94,102.0,104.0,68.1907,5669700.0,0.0,1.0
2000-07-14,103.75,104.87,103.12,103.94,68.1514,4020000.0,0.0,1.0
2000-07-17,104.44,107.87,104.19,105.5,69.1743,6632700.0,0.0,1.0
2000-07-18,104.12,104.81,102.62,103.31,67.7383,6452700.0,0.0,1.0
2000-07-19,102.37,109.5,101.0,108.75,71.3052,7781400.0,0.0,1.0
2000-07-20,112.0,117.81,111.75,117.25,76.8785,23048400.0,0.0,1.0
2000-07-21,117.0,117.0,113.75,114.75,75.2393,8966400.0,0.0,1.0
2000-07-24,114.12,115.62,111.62,112.5,73.764,6814400.0,0.0,1.0
2000-07-25,113.25,113.37,110.25,112.0,73.4362,5566900.0,0.0,1.0
2000-07-26,111.0,112.37,108.87,109.87,72.0396,6670400.0,0.0,1.0
2000-07-27,109.87,111.5,109.31,110.31,72.3281,4047400.0,0.0,1.0
2000-07-28,111.12,112.5,108.87,111.81,73.3116,5355600.0,0.0,1.0
2000-07-31,110.5,113.69,110.06,112.25,73.6001,5113500.0,0.0,1.0
2000-08-01,112.0,112.44,110.25,110.5,72.4527,2996500.0,0.0,1.0
2000-08-02,111.0,114.87,110.75,114.25,74.9115,5877900.0,0.0,1.0
2000-08-03,113.0,116.5,112.31,116.0,76.0589,5567400.0,0.0,1.0
2000-08-04,116.0,116.5,114.31,115.87,75.9737,4460500.0,0.0,1.0
2000-08-07,116.62,119.0,115.81,116.31,76.2622,5910700.0,0.0,1.0
2000-08-08,115.69,119.62,115.56,118.87,78.0259,5736700.0,0.13,1.0
2000-08-09,119.0,120.81,118.75,118.75,77.9472,6585400.0,0.0,1.0
2000-08-10,118.75,120.25,117.87,119.75,78.6036,5484100.0,0.0,1.0
2000-08-11,119.75,121.81,119.19,120.62,79.1746,6142400.0,0.0,1.0
2000-08-14,120.0,123.69,119.31,123.25,80.901,4949400.0,0.0,1.0
2000-08-15,122.06,122.62,120.75,122.0,80.0805,4378100.0,0.0,1.0
2000-08-16,121.06,122.94,119.5,122.37,80.3233,5946000.0,0.0,1.0
2000-08-17,119.75,122.81,119.5,122.5,80.4087,4338400.0,0.0,1.0
2000-08-18,122.37,123.37,120.12,120.44,79.0565,4127500.0,0.0,1.0
2000-08-21,121.06,122.19,120.06,121.44,79.7129,3234200.0,0.0,1.0
2000-08-22,121.19,122.19,121.0,121.37,79.6669,2769400.0,0.0,1.0
2000-08-23,120.31,123.75,119.87,123.25,80.901,4251200.0,0.0,1.0
2000-08-24,123.0,125.44,122.69,124.81,81.9249,5988300.0,0.0,1.0
2000-08-25,124.31,129.88,124.25,129.0,84.6752,8279000.0,0.0,1.0
2000-08-28,129.88,133.19,129.75,131.5,86.3162,8536600.0,0.0,1.0
2000-08-29,131.5,134.25,131.0,132.88,87.2221,6040000.0,0.0,1.0
2000-08-30,130.75,131.5,129.56,130.31,85.5351,4928800.0,0.0,1.0
2000-08-31,131.88,134.19,131.63,132.02,86.6576,5469500.0,0.0,1.0
2000-09-01,133.06,134.94,132.63,133.63,87.7144,5776300.0,0.0,1.0
2000-09-05,132.81,133.31,130.81,131.19,86.1127,4112100.0,0.0,1.0
2000-09-06,130.88,134.88,130.38,131.44,86.2768,6473000.0,0.0,1.0
2000-09-07,131.88,134.5,131.88,133.38,87.5503,4622800.0,0.0,1.0
2000-09-08,132.5,132.94,129.38,129.5,85.0034,4993700.0,0.0,1.0
2000-09-11,127.87,128.25,123.62,124.5,81.7215,7617700.0,0.0,1.0
2000-09-12,124.81,126.87,124.06,125.0,82.0497,5001700.0,0.0,1.0
2000-09-13,123.12,128.81,122.75,127.69,83.8154,5473600.0,0.0,1.0
2000-09-14,128.0,129.19,126.31,126.87,83.2771,4425500.0,0.0,1.0
2000-09-15,126.81,127.25,124.75,125.0,82.0497,5481700.0,0.0,1.0
2000-09-18,125.25,126.0,123.06,123.25,80.901,3932800.0,0.0,1.0
2000-09-19,122.75,126.25,122.56,124.94,82.0103,3341000.0,0.0,1.0
2000-09-20,124.69,126.56,123.5,124.75,81.8856,4623400.0,0.0,1.0
2000-09-21,124.19,126.69,120.0,121.5,79.7523,4302200.0,0.0,1.0
2000-09-22,123.0,124.31,121.31,123.87,81.3079,5930100.0,0.0,1.0
2000-09-25,124.5,126.62,121.0,123.0,80.7369,4291000.0,0.0,1.0
2000-09-26,120.0,121.87,118.37,119.12,78.19,6217200.0,0.0,1.0
2000-09-27,120.06,120.31,115.5,118.0,77.4549,5948900.0,0.0,1.0
2000-09-28,117.37,118.87,115.0,115.25,75.6498,5309100.0,0.0,1.0
2000-09-29,115.5,116.94,110.25,112.62,73.9235,9594600.0,0.0,1.0
2000-10-02,112.62,119.62,112.62,117.81,77.3302,8872200.0,0.0,1.0
2000-10-03,118.87,119.37,110.0,110.56,72.5713,11744200.0,0.0,1.0
2000-10-04,110.37,114.87,108.56,114.37,75.0721,11668900.0,0.0,1.0
2000-10-05,113.81,114.56,111.56,113.19,74.2976,5547000.0,0.0,1.0
2000-10-06,114.0,116.12,112.75,116.0,76.1421,6108400.0,0.0,1.0
2000-10-09,115.94,119.37,114.31,117.94,77.4155,4898000.0,0.0,1.0
2000-10-10,116.62,117.12,112.44,114.87,75.4003,5614200.0,0.0,1.0
2000-10-11,111.87,112.94,107.5,112.0,73.5165,8775800.0,0.0,1.0
2000-10-12,114.25,114.37,103.12,103.12,67.6877,9704900.0,0.0,1.0
2000-10-13,104.19,110.44,104.19,109.06,71.5867,9092600.0,0.0,1.0
2000-10-16,111.5,113.12,108.56,111.12,72.9389,7710400.0,0.0,1.0
2000-10-17,111.94,113.87,108.56,113.0,74.1729,8882500.0,0.0,1.0
2000-10-18,96.75,99.12,90.25,95.44,62.6465,29777800.0,0.0,1.0
2000-10-19,98.0,98.5,92.69,96.44,63.3029,17966900.0,0.0,1.0
2000-10-20,95.12,96.25,94.19,94.75,62.1936,9369200.0,0.0,1.0
2000-10-23,94.75,95.0,91.06,92.87,60.9596,9338600.0,0.0,1.0
2000-10-24,93.0,94.37,90.19,91.44,60.021,8826200.0,0.0,1.0
2000-10-25,90.5,90.94,86.94,87.56,57.4741,14058500.0,0.0,1.0
2000-10-26,88.0,92.87,87.62,92.75,60.8808,10135700.0,0.0,1.0
2000-10-27,93.0,93.69,91.0,93.69,61.4979,6431400.0,0.0,1.0
2000-10-30,93.5,93.75,90.31,93.31,61.2484,8084000.0,0.0,1.0
2000-10-31,93.75,99.12,93.75,98.5,64.6551,10902600.0,0.0,1.0
2000-11-01,98.44,99.87,97.25,98.56,64.6945,7466200.0,0.0,1.0
2000-11-02,99.0,102.31,98.5,101.94,66.9131,7445100.0,0.0,1.0
2000-11-03,102.5,102.62,99.37,100.12,65.7185,5848500.0,0.0,1.0
2000-11-06,99.87,102.37,99.44,100.31,65.8432,4448500.0,0.0,1.0
2000-11-07,101.12,103.5,100.69,102.31,67.156,5420600.0,0.0,1.0
2000-11-08,103.62,103.75,99.25,100.0,65.7251,6990800.0,0.13,1.0
2000-11-09,96.75,100.0,95.69,99.44,65.357,9047900.0,0.0,1.0
2000-11-10,98.0,98.37,93.0,93.0,61.1243,6807900.0,0.0,1.0
2000-11-13,91.81,99.44,91.62,97.44,64.0425,8684900.0,0.0,1.0
2000-11-14,99.25,99.87,98.5,99.5,65.3964,5150900.0,0.0,1.0
2000-11-15,99.5,100.06,97.62,99.37,65.311,4160300.0,0.0,1.0
2000-11-16,99.25,99.69,98.25,98.25,64.5749,3739700.0,0.0,1.0
2000-11-17,98.31,102.5,98.25,101.94,67.0001,7717400.0,0.0,1.0
2000-11-20,101.5,103.25,100.87,103.25,67.8611,7426600.0,0.0,1.0
2000-11-21,103.25,104.37,98.5,98.5,64.7392,7180700.0,0.0,1.0
2000-11-22,98.5,100.81,98.31,98.5,64.7392,5537100.0,0.0,1.0
2000-11-24,99.37,101.75,99.25,99.94,65.6856,2497500.0,0.0,1.0
2000-11-27,100.44,102.0,98.44,98.44,64.6997,3866200.0,0.0,1.0
2000-11-28,98.75,100.75,97.37,97.87,64.3251,4799100.0,0.0,1.0
2000-11-29,97.75,99.94,96.69,99.81,65.6002,5524600.0,0.0,1.0
2000-11-30,98.0,98.0,92.25,93.5,61.4529,10651400.0,0.0,1.0
2000-12-01,94.44,99.31,94.37,95.62,62.8463,7525100.0,0.0,1.0
2000-12-04,96.0,99.19,95.75,98.37,64.6537,5566800.0,0.0,1.0
2000-12-05,100.44,104.75,99.62,103.37,67.94,7804200.0,0.0,1.0
2000-12-06,101.75,101.81,94.81,96.75,63.589,10096900.0,0.0,1.0
2000-12-07,95.06,95.94,93.12,93.12,61.2032,7922000.0,0.0,1.0
2000-12-08,98.0,99.0,95.75,97.0,63.7533,6140600.0,0.0,1.0
2000-12-11,96.5,98.25,93.75,95.0,62.4388,6185600.0,0.0,1.0
2000-12-12,95.25,96.12,92.5,93.87,61.6961,7913300.0,0.0,1.0
2000-12-13,94.87,96.62,90.69,91.25,59.9741,6992600.0,0.0,1.0
2000-12-14,92.0,93.69,91.81,92.44,60.7562,6131400.0,0.0,1.0
2000-12-15,90.0,90.69,87.31,87.81,57.7132,14254500.0,0.0,1.0
2000-12-18,88.37,90.5,88.37,90.5,59.4812,7693800.0,0.0,1.0
2000-12-19,90.19,94.44,89.81,90.12,59.2314,7705300.0,0.0,1.0
2000-12-20,85.87,88.0,84.81,86.0,56.5235,12579400.0,0.0,1.0
2000-12-21,85.5,87.94,80.06,81.56,53.6054,12725500.0,0.0,1.0
2000-12-22,84.5,89.37,84.5,89.0,58.4953,9514000.0,0.0,1.0
2000-12-26,89.0,89.56,84.25,84.81,55.7414,6052300.0,0.0,1.0
2000-12-27,84.75,88.12,83.56,84.69,55.6625,8245100.0,0.0,1.0
2000-12-28,83.5,88.19,82.12,85.25,56.0306,9798600.0,0.0,1.0
2000-12-29,86.94,86.94,84.25,85.0,55.8663,6943700.0,0.0,1.0
2001-01-02,84.5,87.5,84.12,84.81,55.7414,8007200.0,0.0,1.0
2001-01-03,83.75,95.0,83.75,94.62,62.189,12769900.0,0.0,1.0
2001-01-04,94.75,99.75,92.69,93.19,61.2492,15420500.0,0.0,1.0
2001-01-05,93.94,94.69,91.0,94.0,61.7815,8043200.0,0.0,1.0
2001-01-08,93.5,93.94,91.56,93.56,61.4924,6064800.0,0.0,1.0
2001-01-09,94.44,95.75,91.44,92.56,60.8351,7547100.0,0.0,1.0
2001-01-10,92.5,94.94,91.69,93.44,61.4135,7656100.0,0.0,1.0
2001-01-11,92.94,94.25,91.25,93.69,61.5778,9635000.0,0.0,1.0
2001-01-12,93.69,96.44,92.37,93.81,61.6567,6448000.0,0.0,1.0
2001-01-16,93.75,94.0,91.81,92.75,60.96,5671900.0,0.0,1.0
2001-01-17,95.37,97.75,94.31,96.69,63.5496,9727000.0,0.0,1.0
2001-01-18,104.37,110.0,103.5,108.31,71.1868,25244900.0,0.0,1.0
2001-01-19,107.5,113.94,107.25,111.25,73.1191,14762200.0,0.0,1.0
2001-01-22,109.5,109.94,108.19,108.56,71.3511,9618500.0,0.0,1.0
2001-01-23,109.56,109.94,107.62,109.06,71.6797,9826900.0,0.0,1.0
2001-01-24,109.06,111.44,108.94,110.44,72.5867,6760900.0,0.0,1.0
2001-01-25,110.12,111.12,109.44,110.75,72.7905,4982100.0,0.0,1.0
2001-01-26,109.62,115.25,109.19,114.19,75.0514,9095200.0,0.0,1.0
2001-01-29,112.5,115.5,112.47,114.98,75.5707,5125000.0,0.0,1.0
2001-01-30,115.0,116.75,113.4,116.61,76.642,8242000.0,0.0,1.0
2001-01-31,115.75,116.75,112.0,112.0,73.6121,8314200.0,0.0,1.0
2001-02-01,112.4,114.34,111.2,114.05,74.9594,5580800.0,0.0,1.0
2001-02-02,112.75,113.99,109.6,110.27,72.475,5428400.0,0.0,1.0
2001-02-05,109.4,112.6,109.3,112.22,73.7567,5113700.0,0.0,1.0
2001-02-06,112.23,115.69,111.2,114.19,75.0514,7526400.0,0.0,1.0
2001-02-07,113.4,117.6,112.67,116.91,76.9246,9006900.0,0.13,1.0
2001-02-08,116.91,118.2,114.03,114.1,75.0757,8380800.0,0.0,1.0
2001-02-09,114.03,114.99,111.0,112.0,73.6939,6318800.0,0.0,1.0
2001-02-12,110.55,115.72,110.3,114.9,75.6021,6729300.0,0.0,1.0
2001-02-13,114.15,117.38,113.07,113.75,74.8454,7193200.0,0.0,1.0
2001-02-14,113.75,116.17,112.5,115.1,75.7337,7032900.0,0.0,1.0
2001-02-15,116.8,118.64,116.38,116.78,76.8391,8098700.0,0.0,1.0
2001-02-16,114.55,115.75,113.94,115.0,75.6679,7073000.0,0.0,1.0
2001-02-20,114.55,115.6,110.78,111.5,73.3649,6748300.0,0.0,1.0
2001-02-21,109.55,111.5,107.29,107.51,70.7396,9156900.0,0.0,1.0
2001-02-22,106.5,110.9,103.38,108.9,71.6542,11709000.0,0.0,1.0
2001-02-23,107.5,107.5,100.25,104.0,68.4301,15276600.0,0.0,1.0
2001-02-26,105.8,105.8,101.83,105.3,69.2854,8344100.0,0.0,1.0
2001-02-27,104.9,106.87,102.56,102.59,67.5023,9787900.0,0.0,1.0
2001-02-28,102.95,103.54,99.1,99.9,65.7323,11933200.0,0.0,1.0
2001-03-01,99.3,106.4,97.5,106.05,69.7789,15102000.0,0.0,1.0
2001-03-02,104.0,107.65,100.94,102.3,67.3115,14745500.0,0.0,1.0
2001-03-05,102.81,105.6,102.64,104.91,69.0288,6743900.0,0.0,1.0
2001-03-06,106.25,108.4,105.25,106.0,69.746,8120000.0,0.0,1.0
2001-03-07,107.45,108.25,105.66,107.55,70.7659,7788900.0,0.0,1.0
2001-03-08,107.17,107.34,105.37,106.47,70.0553,6793600.0,0.0,1.0
2001-03-09,105.0,105.01,97.9,99.29,65.331,16688100.0,0.0,1.0
2001-03-12,97.9,98.4,95.02,95.49,62.8306,14494800.0,0.0,1.0
2001-03-13,95.1,98.44,94.2,98.39,64.7388,12127900.0,0.0,1.0
2001-03-14,95.4,98.9,93.34,94.96,62.4819,14246600.0,0.0,1.0
2001-03-15,96.0,97.87,95.17,95.56,62.8767,8420000.0,0.0,1.0
2001-03-16,93.9,93.9,88.2,90.1,59.2841,20029400.0,0.0,1.0
2001-03-19,91.0,92.8,89.2,92.6,60.9291,10235500.0,0.0,1.0
2001-03-20,91.6,92.03,88.1,88.3,58.0998,10101100.0,0.0,1.0
2001-03-21,88.45,91.6,87.75,89.08,58.613,11013000.0,0.0,1.0
2001-03-22,89.12,91.0,87.65,89.1,58.6261,13328200.0,0.0,1.0
2001-03-23,93.5,94.99,90.29,93.51,61.5278,12233600.0,0.0,1.0
2001-03-26,95.25,95.66,93.75,95.4,62.7714,8581200.0,0.0,1.0
2001-03-27,94.0,100.0,93.97,99.5,65.4691,11851200.0,0.0,1.0
2001-03-28,97.9,98.45,94.25,94.41,62.12,11890500.0,0.0,1.0
2001-03-29,94.46,97.07,94.26,95.04,62.5345,10553700.0,0.0,1.0
2001-03-30,96.5,97.56,95.14,96.18,63.2846,9461300.0,0.0,1.0
2001-04-02,97.45,98.1,93.58,94.66,62.2845,8787000.0,0.0,1.0
2001-04-03,94.6,94.65,90.1,90.39,59.4749,13330000.0,0.0,1.0
2001-04-04,90.45,94.05,90.05,92.0,60.5343,13515600.0,0.0,1.0
2001-04-05,95.8,100.0,95.53,98.21,64.6203,12506100.0,0.0,1.0
2001-04-06,98.0,100.0,96.4,97.95,64.4493,13424200.0,0.0,1.0
2001-04-09,98.5,98.74,93.8,96.0,63.1662,9486600.0,0.0,1.0
2001-04-10,97.0,99.9,96.56,99.05,65.1731,10499400.0,0.0,1.0
2001-04-11,101.5,101.94,95.8,97.43,64.1071,11498400.0,0.0,1.0
2001-04-12,96.4,97.5,95.15,96.2,63.2978,9390100.0,0.0,1.0
2001-04-16,96.2,99.89,95.2,96.75,63.6597,9188500.0,0.0,1.0
2001-04-17,97.0,99.88,97.0,99.7,65.6007,9957300.0,0.0,1.0
2001-04-18,103.0,110.0,102.3,106.5,70.075,19814300.0,0.0,1.0
2001-04-19,112.0,115.9,110.45,114.47,75.3191,25822400.0,0.0,1.0
2001-04-20,114.35,116.4,113.75,114.83,75.556,12759100.0,0.0,1.0
2001-04-23,114.01,114.05,111.68,112.0,73.6939,8537500.0,0.0,1.0
2001-04-24,113.4,114.75,112.3,112.67,74.1348,8742000.0,0.0,1.0
2001-04-25,112.0,114.85,111.99,114.85,75.5692,6858500.0,0.0,1.0
2001-04-26,114.95,116.7,113.68,113.74,74.8388,7346100.0,0.0,1.0
2001-04-27,116.8,116.9,114.55,116.2,76.4574,7390600.0,0.0,1.0
2001-04-30,116.4,118.05,114.72,115.14,75.76,7357200.0,0.0,1.0
2001-05-01,115.85,118.65,114.9,118.51,77.9774,7790800.0,0.0,1.0
2001-05-02,118.3,118.95,113.74,115.4,75.931,9706200.0,0.0,1.0
2001-05-03,114.6,115.1,112.35,113.7,74.8125,6578000.0,0.0,1.0
2001-05-04,112.0,115.86,111.2,115.86,76.2337,8681400.0,0.0,1.0
2001-05-07,116.2,117.25,115.0,115.9,76.26,6088600.0,0.0,1.0
2001-05-08,117.25,117.75,115.5,117.7,77.5365,7605800.0,0.14,1.0
2001-05-09,116.2,118.18,115.3,116.98,77.0622,7680200.0,0.0,1.0
2001-05-10,118.5,118.9,115.2,115.2,75.8896,7993900.0,0.0,1.0
2001-05-11,113.75,114.15,110.96,111.81,73.6564,8390200.0,0.0,1.0
2001-05-14,111.2,113.18,111.0,112.56,74.1505,5254800.0,0.0,1.0
2001-05-15,113.5,114.15,112.5,113.58,74.8224,5873400.0,0.0,1.0
2001-05-16,112.5,115.8,112.2,115.8,76.2849,7796700.0,0.0,1.0
2001-05-17,115.8,117.09,115.05,115.07,75.804,6887700.0,0.0,1.0
2001-05-18,115.07,117.68,114.9,117.44,77.3652,6714900.0,0.0,1.0
2001-05-21,117.95,119.9,117.55,119.04,78.4193,8409400.0,0.0,1.0
2001-05-22,119.7,119.7,117.25,118.01,77.7407,6005300.0,0.0,1.0
2001-05-23,117.8,118.95,117.1,117.4,77.3389,6402600.0,0.0,1.0
2001-05-24,117.5,119.6,117.5,119.6,78.7882,7726400.0,0.0,1.0
2001-05-25,119.52,119.9,117.76,117.8,77.6024,5629100.0,0.0,1.0
2001-05-29,117.35,117.59,115.08,115.27,75.9357,5818000.0,0.0,1.0
2001-05-30,114.0,114.1,112.0,112.65,74.2098,9598700.0,0.0,1.0
2001-05-31,112.65,113.86,111.64,111.8,73.6498,6724100.0,0.0,1.0
2001-06-01,112.5,113.6,111.9,112.89,74.3679,5138900.0,0.0,1.0
2001-06-04,113.25,114.75,112.85,113.64,74.8619,3812200.0,0.0,1.0
2001-06-05,113.64,117.6,113.56,116.97,77.0556,6154400.0,0.0,1.0
2001-06-06,117.6,119.0,116.5,117.5,77.4048,9624200.0,0.0,1.0
2001-06-07,117.0,118.25,117.0,117.25,77.2401,6423700.0,0.0,1.0
2001-06-08,117.5,117.5,115.6,116.1,76.4825,3099100.0,0.0,1.0
2001-06-11,116.3,118.14,116.1,117.36,77.3125,6542700.0,0.0,1.0
2001-06-12,116.75,117.8,115.55,117.25,77.2401,7301500.0,0.0,1.0
2001-06-13,117.25,118.47,116.53,116.54,76.7724,5703200.0,0.0,1.0
2001-06-14,115.6,116.08,113.99,115.75,76.2519,7502500.0,0.0,1.0
2001-06-15,115.1,115.45,113.38,113.6,74.8356,12470100.0,0.0,1.0
