date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,131.1,134.4,130.9,131.8,42.0124,23568100.0,0.0,1.0
2000-06-30,130.9,134.1,129.6,133.7,42.618,20715600.0,0.0,1.0
2000-07-03,134.1,136.9,133.7,136.9,43.6381,7541900.0,0.0,1.0
2000-07-05,133.1,134.5,131.4,131.6,41.9486,21002600.0,0.0,1.0
2000-07-06,131.5,136.8,131.4,136.6,43.5424,22453100.0,0.0,1.0
2000-07-07,137.8,139.9,136.1,139.3,44.4031,18643400.0,0.0,1.0
2000-07-10,137.8,140.0,137.0,137.8,43.9249,15674700.0,0.0,1.0
2000-07-11,138.3,141.3,137.1,138.8,44.2437,21391000.0,0.0,1.0
2000-07-12,140.3,142.3,138.8,141.2,45.0087,14912100.0,0.0,1.0
2000-07-13,140.4,145.0,140.3,143.2,45.6462,22588000.0,0.0,1.0
2000-07-14,144.0,147.1,143.1,146.7,46.7619,18735900.0,0.0,1.0
2000-07-17,146.6,147.5,144.4,146.3,46.6344,23290000.0,0.0,1.0
2000-07-18,144.8,144.8,141.4,143.0,45.5825,25341800.0,0.0,1.0
2000-07-19,144.9,146.1,138.0,138.1,44.0206,36094200.0,0.0,1.0
2000-07-20,138.9,143.3,137.9,142.7,45.4869,30244200.0,0.0,1.0
2000-07-21,142.1,142.3,138.1,138.2,44.0524,16043300.0,0.0,1.0
2000-07-24,138.2,142.0,137.6,138.0,43.9887,19917700.0,0.0,1.0
2000-07-25,138.7,141.9,137.7,140.9,44.9131,14811600.0,0.0,1.0
2000-07-26,139.0,140.1,136.6,139.0,44.3075,23319900.0,0.0,1.0
2000-07-27,138.5,140.4,136.0,137.0,43.6699,19611900.0,0.0,1.0
2000-07-28,138.0,139.4,128.8,129.1,41.1517,27716900.0,0.0,1.0
2000-07-31,65.44,67.56,64.5,66.75,42.5543,15235350.0,0.0,2.0
2000-08-01,67.06,67.38,64.25,64.63,41.2027,25001100.0,0.0,1.0
2000-08-02,65.25,66.13,63.19,63.31,40.3612,33226800.0,0.0,1.0
2000-08-03,61.81,65.38,60.56,65.06,41.4896,34941100.0,0.02,1.0
2000-08-04,66.22,66.25,61.44,62.56,39.8953,34939700.0,0.0,1.0
2000-08-07,62.63,64.38,61.13,62.94,40.1377,30634400.0,0.0,1.0
2000-08-08,62.75,63.38,61.5,61.63,39.3023,24900100.0,0.0,1.0
2000-08-09,62.88,64.88,62.84,63.56,40.5331,30071900.0,0.0,1.0
2000-08-10,63.19,64.81,62.0,62.0,39.5382,16678400.0,0.0,1.0
2000-08-11,61.88,64.13,60.81,63.81,40.6925,22509600.0,0.0,1.0
2000-08-14,64.44,67.0,63.63,66.94,42.6885,25665000.0,0.0,1.0
2000-08-15,66.81,68.75,66.0,67.88,43.288,34464300.0,0.0,1.0
2000-08-16,68.63,69.5,68.0,68.69,43.8045,24609500.0,0.0,1.0
2000-08-17,68.5,71.5,68.44,70.06,44.6782,40495900.0,0.0,1.0
2000-08-18,71.0,72.94,70.25,70.56,44.9971,35795600.0,0.0,1.0
2000-08-21,72.67,74.06,70.56,72.06,45.9536,46024300.0,0.0,1.0
2000-08-22,72.47,73.56,72.13,72.13,45.9983,31693500.0,0.0,1.0
2000-08-23,71.44,74.88,70.69,74.63,47.5925,36177000.0,0.0,1.0
2000-08-24,74.56,74.63,73.0,74.25,47.3502,23352900.0,0.0,1.0
2000-08-25,73.88,74.44,72.63,72.94,46.5148,20844200.0,0.0,1.0
2000-08-28,73.25,75.81,73.0,73.88,47.1143,42760500.0,0.0,1.0
2000-08-29,73.31,74.94,73.13,74.06,47.229,23023100.0,0.0,1.0
2000-08-30,73.75,74.38,72.75,73.5,46.8719,21770400.0,0.0,1.0
2000-08-31,73.88,75.63,73.63,74.88,47.752,28530700.0,0.0,1.0
2000-09-01,75.63,75.69,73.44,73.94,47.1525,18322000.0,0.0,1.0
2000-09-05,71.06,71.38,68.25,69.25,44.1616,58396000.0,0.0,1.0
2000-09-06,68.06,68.5,65.0,65.7,41.8978,62344900.0,0.0,1.0
2000-09-07,66.61,68.69,66.25,67.44,43.0074,34716000.0,0.0,1.0
2000-09-08,67.19,67.44,64.94,65.38,41.6937,29681800.0,0.0,1.0
2000-09-11,65.56,66.88,63.94,64.69,41.2537,30507800.0,0.0,1.0
2000-09-12,65.06,66.94,64.56,64.94,41.4131,28997300.0,0.0,1.0
2000-09-13,61.69,63.31,60.5,61.25,39.0599,70068400.0,0.0,1.0
2000-09-14,62.5,62.88,59.25,59.63,38.0268,50489200.0,0.0,1.0
2000-09-15,59.69,59.88,56.63,57.52,36.6813,75675900.0,0.0,1.0
2000-09-18,58.38,59.25,55.5,55.81,35.5908,50767100.0,0.0,1.0
2000-09-19,57.19,60.5,56.81,60.38,38.5051,58855100.0,0.0,1.0
2000-09-20,61.25,63.5,60.44,63.06,40.2142,70335900.0,0.0,1.0
2000-09-21,62.06,62.94,60.38,61.48,39.2066,57112300.0,0.0,1.0
2000-09-22,46.75,49.5,46.5,47.94,30.572,308734400.0,0.0,1.0
2000-09-25,50.06,50.2,44.75,45.38,28.9394,130214700.0,0.0,1.0
2000-09-26,46.44,46.5,42.81,43.31,27.6194,112681600.0,0.0,1.0
2000-09-27,44.63,45.69,43.44,43.88,27.9829,80365100.0,0.0,1.0
2000-09-28,44.13,44.56,43.48,44.44,28.34,66739000.0,0.0,1.0
2000-09-29,43.81,43.88,41.38,41.56,26.5034,72985600.0,0.0,1.0
2000-10-02,42.94,42.94,39.88,40.13,25.5914,66785700.0,0.0,1.0
2000-10-03,41.77,42.5,40.13,40.31,25.7062,81206500.0,0.0,1.0
2000-10-04,41.0,42.75,40.75,42.0,26.784,63726000.0,0.0,1.0
2000-10-05,42.13,42.38,40.5,41.0,26.1462,52072400.0,0.0,1.0
2000-10-06,41.38,42.25,39.25,39.94,25.4703,69734600.0,0.0,1.0
