date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,98.0,99.38,97.31,98.56,29.5394,4303700.0,0.0,1.0
2000-06-30,98.0,102.0,96.44,101.9,30.5404,8043300.0,0.0,1.0
2000-07-03,101.3,101.3,99.94,101.1,30.3006,2385100.0,0.0,1.0
2000-07-05,100.8,101.4,99.88,101.0,30.2707,3652200.0,0.0,1.0
2000-07-06,100.0,100.4,99.19,99.69,29.878,2894900.0,0.0,1.0
2000-07-07,99.5,100.9,99.31,99.75,29.896,3249100.0,0.0,1.0
2000-07-10,100.8,100.9,99.81,100.2,30.0309,2173000.0,0.0,1.0
2000-07-11,99.38,100.4,99.0,100.2,30.0309,3390900.0,0.0,1.0
2000-07-12,99.25,99.56,98.0,98.06,29.3895,2835900.0,0.0,1.0
2000-07-13,97.5,97.56,95.0,95.25,28.5473,3825300.0,0.0,1.0
2000-07-14,92.75,92.81,91.06,91.81,27.5163,6288800.0,0.0,1.0
2000-07-17,93.0,95.75,92.5,94.34,28.2746,4401600.0,0.0,1.0
2000-07-18,94.44,95.44,94.38,95.0,28.4724,4142400.0,0.0,1.0
2000-07-19,94.88,95.69,92.75,93.19,27.9299,2682300.0,0.0,1.0
2000-07-20,93.25,93.25,91.63,91.88,27.5373,2969600.0,0.0,1.0
2000-07-21,91.88,93.44,91.0,92.25,27.6482,3808900.0,0.0,1.0
2000-07-24,92.31,95.38,92.31,94.45,28.3076,2838000.0,0.0,1.0
2000-07-25,94.56,94.75,92.75,93.5,28.0228,2936600.0,0.0,1.0
2000-07-26,93.5,93.5,90.25,90.25,27.0488,3675500.0,0.0,1.0
2000-07-27,90.75,92.94,90.63,91.86,27.5313,3289400.0,0.0,1.0
2000-07-28,92.88,93.69,92.19,93.66,28.0708,2418600.0,0.0,1.0
2000-07-31,93.69,93.94,92.5,93.06,27.891,3165800.0,0.0,1.0
2000-08-01,92.5,95.0,92.38,94.81,28.4155,2519900.0,0.0,1.0
