date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,47.44,48.88,46.62,47.62,25.5929,4679500.0,0.0,1.0
2000-06-30,47.69,48.25,45.62,46.06,24.7545,6995300.0,0.0,1.0
2000-07-03,45.88,48.0,45.88,47.56,25.7327,2746100.0,0.32,1.0
2000-07-05,48.44,49.69,47.38,47.75,25.8355,5083900.0,0.0,1.0
2000-07-06,47.81,48.19,46.62,48.0,25.9707,3497600.0,0.0,1.0
2000-07-07,48.25,50.69,48.25,50.06,27.0853,6245000.0,0.0,1.0
2000-07-10,50.19,51.0,49.69,49.75,26.9176,3393600.0,0.0,1.0
2000-07-11,50.38,51.94,49.81,50.69,27.4262,4641900.0,0.0,1.0
2000-07-12,51.69,52.19,50.5,50.56,27.3558,4531400.0,0.0,1.0
2000-07-13,51.38,51.81,50.62,50.75,27.4586,4588500.0,0.0,1.0
2000-07-14,51.44,52.75,51.0,52.5,28.4055,4532300.0,0.0,1.0
2000-07-17,53.75,53.75,51.81,52.03,28.1512,5069900.0,0.0,1.0
2000-07-18,51.25,51.5,50.12,50.94,27.5614,3273200.0,0.0,1.0
2000-07-19,51.0,51.5,50.12,50.69,27.4262,4287100.0,0.0,1.0
2000-07-20,50.75,53.25,50.5,51.31,27.7616,6117400.0,0.0,1.0
2000-07-21,53.0,53.75,51.62,52.73,28.5299,5470100.0,0.0,1.0
2000-07-24,52.44,52.62,50.75,51.56,27.8969,3232600.0,0.0,1.0
2000-07-25,51.62,51.75,50.88,51.25,27.7292,2697100.0,0.0,1.0
2000-07-26,51.0,51.0,48.62,49.38,26.7174,4654000.0,0.0,1.0
2000-07-27,49.38,50.38,48.38,49.88,26.9879,3556100.0,0.0,1.0
2000-07-28,50.06,50.12,48.06,48.38,26.1763,2880800.0,0.0,1.0
2000-07-31,49.0,49.81,48.25,49.81,26.9501,3650700.0,0.0,1.0
2000-08-01,49.88,53.38,49.62,51.62,27.9294,10556800.0,0.0,1.0
2000-08-02,51.94,52.38,50.69,51.44,27.832,6692900.0,0.0,1.0
2000-08-03,51.0,51.94,50.0,50.25,27.1881,5914200.0,0.0,1.0
2000-08-04,51.88,52.75,50.62,52.44,28.373,8546500.0,0.0,1.0
2000-08-07,53.06,54.12,52.56,53.56,28.979,6924000.0,0.0,1.0
2000-08-08,53.81,53.88,52.62,53.5,28.9466,3458500.0,0.0,1.0
2000-08-09,53.44,53.62,52.12,52.31,28.3027,6305600.0,0.0,1.0
2000-08-10,52.31,53.19,51.75,51.88,28.07,4979200.0,0.0,1.0
2000-08-11,51.56,52.44,51.31,52.0,28.135,4492200.0,0.0,1.0
2000-08-14,52.75,53.0,51.56,52.75,28.5408,4970100.0,0.0,1.0
2000-08-15,53.0,53.38,51.62,51.81,28.0322,7236200.0,0.0,1.0
2000-08-16,51.25,51.81,50.06,50.38,27.2585,5305600.0,0.0,1.0
2000-08-17,50.06,51.12,50.06,50.69,27.4262,4514400.0,0.0,1.0
2000-08-18,50.81,51.25,50.25,50.75,27.4586,3694100.0,0.0,1.0
2000-08-21,51.0,51.62,50.62,50.94,27.5614,3502300.0,0.0,1.0
2000-08-22,51.44,53.5,51.0,52.75,28.5408,7456800.0,0.0,1.0
2000-08-23,52.94,54.38,52.75,54.31,29.3848,6868200.0,0.0,1.0
2000-08-24,53.38,54.88,53.0,53.25,28.8113,4508200.0,0.0,1.0
2000-08-25,53.12,53.69,51.88,52.06,28.1674,4746600.0,0.0,1.0
2000-08-28,52.0,53.31,52.0,52.69,28.5083,5261600.0,0.0,1.0
2000-08-29,53.06,53.19,51.62,51.88,28.07,7020300.0,0.0,1.0
2000-08-30,52.5,53.88,52.31,53.25,28.8113,8367100.0,0.0,1.0
2000-08-31,53.69,56.56,53.5,55.88,30.2343,8450600.0,0.0,1.0
2000-09-01,56.69,56.81,55.12,56.31,30.4669,5478500.0,0.0,1.0
2000-09-05,56.44,57.56,56.19,57.12,30.9052,4851200.0,0.0,1.0
2000-09-06,57.25,58.25,55.75,56.0,30.2992,6821900.0,0.0,1.0
2000-09-07,56.56,57.31,55.94,57.25,30.9755,3495800.0,0.0,1.0
2000-09-08,56.88,58.31,56.75,57.81,31.2785,4496500.0,0.0,1.0
2000-09-11,57.5,58.38,56.5,57.5,31.1108,5219500.0,0.0,1.0
2000-09-12,57.75,57.94,52.0,52.81,28.5732,7314600.0,0.0,1.0
2000-09-13,50.38,51.19,49.62,50.69,27.4262,42585300.0,0.0,1.0
2000-09-14,52.0,52.0,49.94,50.0,27.0529,20361300.0,0.0,1.0
2000-09-15,50.31,50.31,48.44,49.12,26.5767,14822300.0,0.0,1.0
2000-09-18,49.12,49.12,46.56,46.56,25.1916,15120400.0,0.0,1.0
2000-09-19,46.69,47.75,46.44,46.88,25.3648,15642000.0,0.0,1.0
2000-09-20,46.81,47.06,45.62,46.5,25.1592,12493000.0,0.0,1.0
2000-09-21,46.5,46.56,44.62,44.62,24.683,12166800.0,1.0,1.0
2000-09-22,44.75,47.56,44.56,47.25,26.1379,17425600.0,0.0,1.0
2000-09-25,47.5,48.69,47.0,47.0,25.9996,11709900.0,0.0,1.0
2000-09-26,47.38,47.94,45.75,46.06,25.4796,8176500.0,0.0,1.0
2000-09-27,46.44,46.94,45.25,45.5,25.1698,7879200.0,0.0,1.0
2000-09-28,45.31,47.06,45.12,46.88,25.9332,9307900.0,0.0,1.0
2000-09-29,46.38,47.62,46.19,46.19,25.5515,8576500.0,0.0,1.0
2000-10-02,46.62,47.5,46.31,47.5,26.2762,7138200.0,0.0,1.0
2000-10-03,47.62,48.12,46.56,46.75,25.8613,9742300.0,0.0,1.0
2000-10-04,46.38,46.69,45.44,45.56,25.38,6363900.0,0.32,1.0
2000-10-05,45.62,46.44,44.25,44.44,24.7561,9189200.0,0.0,1.0
2000-10-06,44.5,45.0,41.75,42.88,23.8871,13400700.0,0.0,1.0
2000-10-09,43.12,43.25,41.94,42.06,23.4303,6499500.0,0.0,1.0
2000-10-10,42.06,42.5,40.25,40.81,22.734,11926200.0,0.0,1.0
2000-10-11,40.12,40.94,38.88,40.69,22.6671,16885900.0,0.0,1.0
2000-10-12,40.12,40.25,37.44,37.81,21.0628,14847200.0,0.0,1.0
2000-10-13,37.88,40.12,37.75,39.69,22.11,14143700.0,0.0,1.0
2000-10-16,40.19,40.69,38.75,39.56,22.0376,8405600.0,0.0,1.0
2000-10-17,40.0,40.5,37.75,37.94,21.1352,8318700.0,0.0,1.0
2000-10-18,33.5,38.12,32.38,36.88,20.5447,29641500.0,0.0,1.0
2000-10-19,38.12,40.12,38.12,38.94,21.6922,14981100.0,0.0,1.0
2000-10-20,38.69,39.38,38.12,38.38,21.3803,7559300.0,0.0,1.0
2000-10-23,38.19,38.75,37.94,38.38,21.3803,5240100.0,0.0,1.0
2000-10-24,38.19,40.31,38.12,40.06,22.3162,10595900.0,0.0,1.0
2000-10-25,40.06,41.44,39.75,40.0,22.2827,9256100.0,0.0,1.0
2000-10-26,40.69,40.94,38.88,40.0,22.2827,10398700.0,0.0,1.0
2000-10-27,40.5,42.94,40.31,42.69,23.7812,9867500.0,0.0,1.0
2000-10-30,42.81,43.94,42.81,43.75,24.3717,7884900.0,0.0,1.0
2000-10-31,44.81,45.94,44.12,45.5,25.3466,13186900.0,0.0,1.0
2000-11-01,45.5,45.81,44.5,45.69,25.4525,8789400.0,0.0,1.0
2000-11-02,45.69,46.5,45.38,45.5,25.3466,6435700.0,0.0,1.0
2000-11-03,45.56,45.56,44.12,44.44,24.7561,5879800.0,0.0,1.0
2000-11-06,44.88,45.69,44.56,45.5,25.3466,4568100.0,0.0,1.0
2000-11-07,45.12,45.38,44.62,44.94,25.0347,4101800.0,0.0,1.0
2000-11-08,44.94,44.94,43.25,43.56,24.2659,5754400.0,0.0,1.0
2000-11-09,43.06,44.31,42.56,44.12,24.5779,6306500.0,0.0,1.0
2000-11-10,43.62,44.56,42.81,42.81,23.8481,4465600.0,0.0,1.0
2000-11-13,41.88,42.62,40.75,42.12,23.4637,6041800.0,0.0,1.0
2000-11-14,42.81,43.19,41.75,42.56,23.7088,6506300.0,0.0,1.0
2000-11-15,42.06,42.81,40.62,40.75,22.7005,8300500.0,0.0,1.0
2000-11-16,40.88,41.75,40.56,40.88,22.773,6940400.0,0.0,1.0
2000-11-17,40.94,41.0,39.12,39.62,22.071,8358900.0,0.0,1.0
2000-11-20,39.75,39.94,38.12,38.56,21.4806,7421300.0,0.0,1.0
2000-11-21,38.56,39.31,37.75,38.69,21.553,6202100.0,0.0,1.0
2000-11-22,38.31,38.38,37.0,37.44,20.8566,6600100.0,0.0,1.0
2000-11-24,37.94,39.19,37.81,39.12,21.7925,3835500.0,0.0,1.0
2000-11-27,39.44,40.19,39.19,39.38,21.9374,10451600.0,0.0,1.0
2000-11-28,39.44,40.12,37.44,38.0,21.1686,13168300.0,0.0,1.0
2000-11-29,37.38,38.56,37.19,37.94,21.1352,9867200.0,0.0,1.0
2000-11-30,37.19,38.25,35.44,36.88,20.5447,15472400.0,0.0,1.0
2000-12-01,37.12,38.69,37.06,37.31,20.7842,9448300.0,0.0,1.0
2000-12-04,37.38,38.38,36.88,37.94,21.1352,6819200.0,0.0,1.0
2000-12-05,38.62,41.44,38.06,41.31,23.0125,13818600.0,0.0,1.0
2000-12-06,41.25,43.25,39.06,40.06,22.3162,19776900.0,0.0,1.0
2000-12-07,39.44,40.44,38.31,39.19,21.8315,9650300.0,0.0,1.0
2000-12-08,40.31,40.88,39.62,40.0,22.2827,8411700.0,0.0,1.0
2000-12-11,40.25,42.62,40.06,42.5,23.6754,9131000.0,0.0,1.0
2000-12-12,42.5,43.69,41.94,43.0,23.9539,7843400.0,0.0,1.0
2000-12-13,43.94,44.69,43.62,44.5,24.7895,10288900.0,0.0,1.0
2000-12-14,42.31,43.94,41.38,42.88,23.8871,16122600.0,0.0,1.0
2000-12-15,42.0,43.94,41.88,43.94,24.4776,11412000.0,0.0,1.0
2000-12-18,44.0,45.38,43.81,45.38,25.2798,13271000.0,0.0,1.0
2000-12-19,44.75,45.94,43.94,44.81,24.9622,13078000.0,0.0,1.0
2000-12-20,44.81,44.81,43.25,43.5,24.2325,6853300.0,0.0,1.0
2000-12-21,43.44,45.75,43.44,45.19,25.1739,8796400.0,0.0,1.0
2000-12-22,45.44,46.38,45.0,45.62,25.4135,7098600.0,0.0,1.0
2000-12-26,45.62,46.25,45.19,45.75,25.4859,4832200.0,0.0,1.0
2000-12-27,45.06,46.5,44.81,46.38,25.8368,7452200.0,0.0,1.0
2000-12-28,46.19,47.44,45.94,46.94,26.1488,6397400.0,0.0,1.0
2000-12-29,46.94,47.56,44.31,45.44,25.3132,9657000.0,0.0,1.0
2001-01-02,43.37,43.37,41.92,42.58,23.72,7803200.0,0.0,1.0
2001-01-03,49.6,49.6,42.1,49.35,28.0484,21303200.0,1.0,1.0
2001-01-04,52.64,52.64,49.54,50.69,28.81,26409800.0,0.0,1.0
2001-01-05,50.21,50.21,47.1,47.71,27.1163,16215700.0,0.0,1.0
2001-01-08,48.87,48.87,47.1,48.01,27.2868,9938300.0,0.0,1.0
2001-01-09,48.74,48.74,46.67,47.47,26.9799,7285100.0,0.0,1.0
2001-01-10,50.39,50.39,47.71,49.66,28.2246,10857000.0,0.0,1.0
2001-01-11,52.89,52.89,49.84,52.77,29.9922,16077700.0,0.0,1.0
2001-01-12,52.71,52.71,51.06,51.97,29.5375,8946800.0,0.0,1.0
2001-01-16,53.31,53.31,51.18,51.85,29.4693,10508500.0,0.0,1.0
2001-01-17,52.71,52.71,50.82,51.67,29.367,10317300.0,0.0,1.0
2001-01-18,50.57,50.57,49.29,50.15,28.5031,13565600.0,0.0,1.0
2001-01-19,50.39,50.39,48.56,49.29,28.0143,10789100.0,0.0,1.0
2001-01-22,50.88,50.88,48.81,49.6,28.1905,10581500.0,0.0,1.0
2001-01-23,50.76,50.76,48.87,50.39,28.6395,8794600.0,0.0,1.0
2001-01-24,52.16,52.16,50.94,51.91,29.5034,9316500.0,0.0,1.0
2001-01-25,52.52,52.52,50.45,51.73,29.4011,8347100.0,0.0,1.0
2001-01-26,53.13,53.13,51.43,52.83,30.0263,7967800.0,0.0,1.0
2001-01-29,54.59,54.59,52.82,53.74,30.5435,9494400.0,0.0,1.0
2001-01-30,54.77,54.77,53.26,54.57,31.0152,9452800.0,0.0,1.0
2001-01-31,55.89,55.89,53.13,53.61,30.4696,13130800.0,0.0,1.0
2001-02-01,54.45,54.45,52.17,54.45,30.947,9174100.0,0.0,1.0
2001-02-02,53.94,53.94,52.93,53.27,30.2763,7075200.0,0.0,1.0
2001-02-05,53.57,53.57,52.35,53.23,30.2536,5273700.0,0.0,1.0
2001-02-06,53.09,53.09,50.69,50.97,28.9691,7560200.0,0.0,1.0
2001-02-07,52.16,52.16,50.58,51.02,28.9975,7988800.0,0.0,1.0
2001-02-08,51.72,51.72,50.24,50.38,28.6338,5730800.0,0.0,1.0
2001-02-09,51.28,51.28,49.77,50.65,28.7873,5490500.0,0.0,1.0
2001-02-12,51.77,51.77,50.38,51.23,29.1169,5246300.0,0.0,1.0
2001-02-13,52.35,52.35,49.82,49.86,28.3383,7334700.0,0.0,1.0
2001-02-14,50.58,50.58,49.62,49.91,28.3667,6835100.0,0.0,1.0
2001-02-15,51.43,51.43,49.62,49.83,28.3212,7408400.0,0.0,1.0
2001-02-16,50.69,50.69,48.99,50.68,28.8043,7364800.0,0.0,1.0
2001-02-20,51.28,51.28,48.38,48.7,27.679,9073500.0,0.0,1.0
2001-02-21,48.84,48.84,45.83,46.16,26.2353,9835100.0,0.0,1.0
2001-02-22,47.09,47.09,44.25,47.09,26.7639,12409800.0,0.0,1.0
2001-02-23,47.04,47.04,45.04,45.87,26.0705,9708100.0,0.0,1.0
2001-02-26,48.06,48.06,45.64,47.33,26.9003,8783500.0,0.0,1.0
2001-02-27,48.53,48.53,45.67,46.41,26.3774,11744300.0,0.0,1.0
2001-02-28,46.8,46.8,44.16,45.49,25.8545,10510600.0,0.0,1.0
2001-03-01,45.09,45.09,43.66,44.95,25.5476,10551800.0,0.0,1.0
2001-03-02,46.41,46.41,44.06,44.65,25.3771,7559700.0,0.0,1.0
2001-03-05,45.77,45.77,44.16,45.59,25.9114,5988200.0,0.0,1.0
2001-03-06,47.72,47.72,46.31,46.76,26.5763,6844500.0,0.0,1.0
2001-03-07,49.18,49.18,46.81,48.99,27.8438,7296600.0,0.0,1.0
2001-03-08,49.91,49.91,48.55,48.98,27.8381,7064400.0,0.0,1.0
2001-03-09,48.55,48.55,46.6,47.72,27.122,6377600.0,0.0,1.0
2001-03-12,46.65,46.65,44.35,44.35,25.2066,8549500.0,0.0,1.0
2001-03-13,46.6,46.6,44.46,46.21,26.2638,7065900.0,0.0,1.0
2001-03-14,44.82,44.82,42.3,42.65,24.2404,16205000.0,0.0,1.0
2001-03-15,44.8,44.8,43.63,44.12,25.0759,8561300.0,0.0,1.0
2001-03-16,44.75,44.75,43.01,43.46,24.7008,10739300.0,0.0,1.0
2001-03-19,44.26,44.26,41.58,44.02,25.0191,9742500.0,0.0,1.0
2001-03-20,44.32,44.32,41.43,41.52,23.5982,10213200.0,0.0,1.0
2001-03-21,42.05,42.05,39.04,39.19,22.2739,12026300.0,0.0,1.0
2001-03-22,39.05,39.05,36.64,37.93,21.5578,15668200.0,0.0,1.0
2001-03-23,40.85,40.85,38.81,40.66,23.1094,10763200.0,0.0,1.0
2001-03-26,41.91,41.91,40.6,41.05,23.331,8319900.0,0.0,1.0
2001-03-27,42.31,42.31,40.07,42.27,24.0244,12254000.0,0.0,1.0
2001-03-28,42.26,42.26,40.9,41.48,23.5754,7315300.0,0.0,1.0
2001-03-29,42.16,42.16,40.97,41.92,23.8255,6688200.0,0.0,1.0
2001-03-30,43.87,43.87,41.82,43.77,24.877,8463000.0,0.0,1.0
2001-04-02,44.26,44.26,42.55,43.48,24.7121,8743100.0,0.0,1.0
2001-04-03,43.09,43.09,40.46,40.56,23.0525,9050300.0,0.0,1.0
2001-04-04,41.04,41.04,38.54,39.8,22.8138,11634000.0,0.34,1.0
2001-04-05,42.24,42.24,40.56,41.77,23.9431,8644900.0,0.0,1.0
2001-04-06,41.77,41.77,38.83,39.7,22.7565,9789600.0,0.0,1.0
2001-04-09,40.87,40.87,39.22,39.73,22.7737,7386400.0,0.0,1.0
2001-04-10,42.57,42.57,40.53,42.56,24.3959,7962300.0,0.0,1.0
2001-04-11,45.02,45.02,43.3,43.98,25.2099,9898000.0,0.0,1.0
2001-04-12,44.97,44.97,43.25,44.6,25.5652,6740700.0,0.0,1.0
2001-04-16,45.59,45.59,44.25,44.72,25.634,6377000.0,0.0,1.0
2001-04-17,45.2,45.2,44.01,44.6,25.5652,5115500.0,0.0,1.0
2001-04-18,49.26,49.26,45.71,48.26,27.6632,15206700.0,0.0,1.0
2001-04-19,48.65,48.65,47.38,47.97,27.497,11593500.0,0.0,1.0
2001-04-20,47.96,47.96,46.49,46.98,26.9295,8496300.0,0.0,1.0
2001-04-23,47.38,47.38,45.94,46.49,26.6486,5135800.0,0.0,1.0
2001-04-24,47.57,47.57,46.54,46.59,26.7059,6179000.0,0.0,1.0
2001-04-25,46.79,46.79,45.23,46.67,26.7518,8079600.0,0.0,1.0
2001-04-26,48.07,48.07,46.44,47.67,27.325,7012500.0,0.0,1.0
2001-04-27,49.22,49.22,48.21,49.0,28.0874,6371800.0,0.0,1.0
2001-04-30,49.54,49.54,46.94,47.16,27.0327,7737700.0,0.0,1.0
2001-05-01,47.9,47.9,46.74,47.9,27.4568,8051200.0,0.0,1.0
2001-05-02,49.02,49.02,47.48,48.72,27.9269,6753000.0,0.0,1.0
2001-05-03,48.3,48.3,47.49,48.16,27.6059,7494000.0,0.0,1.0
2001-05-04,49.74,49.74,47.37,49.74,28.5116,8223200.0,0.0,1.0
2001-05-07,49.09,49.09,47.78,48.36,27.7205,10128700.0,0.0,1.0
2001-05-08,48.14,48.14,46.69,46.94,26.9066,8695500.0,0.0,1.0
2001-05-09,46.8,46.8,46.2,46.44,26.62,6490800.0,0.0,1.0
2001-05-10,48.09,48.09,46.45,46.7,26.769,5905800.0,0.0,1.0
2001-05-11,46.98,46.98,45.56,45.65,26.1671,5675600.0,0.0,1.0
2001-05-14,46.96,46.96,45.56,46.83,26.8435,5469800.0,0.0,1.0
2001-05-15,47.11,47.11,46.22,46.47,26.6372,5821200.0,0.0,1.0
2001-05-16,47.82,47.82,45.8,47.49,27.2218,9348000.0,0.0,1.0
2001-05-17,47.92,47.92,47.04,47.37,27.153,7818200.0,0.0,1.0
2001-05-18,47.97,47.97,47.07,47.34,27.1358,5556700.0,0.0,1.0
2001-05-21,48.66,48.66,46.89,48.59,27.8524,6909900.0,0.0,1.0
2001-05-22,49.74,49.74,48.86,49.17,28.1848,8750800.0,0.0,1.0
2001-05-23,48.96,48.96,47.56,48.09,27.5658,6283400.0,0.0,1.0
2001-05-24,48.95,49.9,48.95,49.34,28.2823,5418700.0,0.0,1.0
2001-05-25,48.83,48.83,47.77,47.87,27.4396,3857900.0,0.0,1.0
2001-05-29,48.61,48.61,47.28,48.49,27.795,5391800.0,0.0,1.0
2001-05-30,49.05,49.05,47.56,47.79,27.3938,5402700.0,0.0,1.0
2001-05-31,48.34,48.34,47.03,48.31,27.6919,5875300.0,0.0,1.0
2001-06-01,48.41,48.41,47.57,48.06,27.5486,6006400.0,0.0,1.0
2001-06-04,48.66,48.66,47.56,48.66,27.8925,4271200.0,0.0,1.0
2001-06-05,49.06,49.06,47.67,47.67,27.325,6758900.0,0.0,1.0
2001-06-06,46.79,46.79,45.47,46.04,26.3907,12689200.0,0.0,1.0
2001-06-07,45.3,45.3,43.75,44.85,25.7085,11970800.0,0.0,1.0
2001-06-08,44.38,44.38,43.05,43.45,24.9061,7355600.0,0.0,1.0
2001-06-11,44.0,44.0,43.26,43.43,24.8946,6247800.0,0.0,1.0
2001-06-12,42.91,42.91,41.77,42.75,24.5048,8116400.0,0.0,1.0
2001-06-13,43.85,43.85,42.51,43.15,24.7341,7347500.0,0.0,1.0
2001-06-14,43.58,43.58,42.57,42.85,24.5621,6765500.0,0.0,1.0
2001-06-15,44.27,44.27,42.61,44.13,25.2958,16099300.0,0.0,1.0
2001-06-18,44.13,44.13,43.1,43.55,24.9634,7108600.0,0.0,1.0
2001-06-19,44.63,44.63,43.4,43.76,25.0837,5717600.0,0.0,1.0
2001-06-20,45.21,45.21,43.74,44.82,25.6914,7645800.0,0.0,1.0
2001-06-21,46.42,46.42,44.45,46.32,26.5512,7181900.0,0.0,1.0
2001-06-22,45.81,45.81,44.97,45.12,25.8633,7293900.0,0.0,1.0
2001-06-25,45.56,45.56,44.28,45.04,25.8175,4647300.0,0.0,1.0
2001-06-26,44.3,44.3,43.25,43.92,25.1755,6830700.0,0.0,1.0
2001-06-27,44.08,44.08,43.25,43.27,24.8029,6571400.0,0.0,1.0
2001-06-28,44.56,44.56,43.55,44.23,25.3532,4913000.0,0.0,1.0
2001-06-29,44.22,44.22,43.25,43.71,25.0551,6180700.0,0.0,1.0
2001-07-02,45.12,45.12,43.34,45.02,25.806,5128300.0,0.0,1.0
2001-07-03,45.56,45.56,44.9,45.21,26.1098,3057900.0,0.34,1.0
2001-07-05,45.55,45.55,44.51,45.09,26.0405,4379000.0,0.0,1.0
2001-07-06,44.84,44.84,43.47,44.08,25.4572,5037300.0,0.0,1.0
2001-07-09,43.97,43.97,42.94,43.56,25.1569,4892200.0,0.0,1.0
2001-07-10,43.13,43.13,41.54,41.6,24.0249,8433400.0,0.0,1.0
2001-07-11,41.78,41.78,40.31,41.64,24.048,8240300.0,0.0,1.0
2001-07-12,42.9,42.9,41.75,42.13,24.331,7200400.0,0.0,1.0
2001-07-13,42.48,42.48,41.8,42.14,24.3368,5728800.0,0.0,1.0
2001-07-16,42.57,42.57,40.5,40.8,23.5629,7292100.0,0.0,1.0
2001-07-17,42.3,42.3,40.21,41.89,24.1924,6459800.0,0.0,1.0
2001-07-18,43.16,43.16,40.35,43.16,24.9259,10179800.0,0.0,1.0
2001-07-19,43.82,43.82,42.53,43.28,24.9952,8137100.0,0.0,1.0
2001-07-20,43.42,43.42,42.53,42.98,24.8219,4094700.0,0.0,1.0
