date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,59.88,60.19,58.75,59.06,17.1049,6371600.0,0.0,1.0
2000-06-30,58.13,58.81,56.25,57.44,16.6357,9561400.0,0.0,1.0
2000-07-03,58.13,58.5,57.81,58.19,16.8529,3853600.0,0.0,1.0
2000-07-05,59.13,59.19,58.25,58.75,17.0151,3480200.0,0.0,1.0
2000-07-06,58.31,58.94,57.81,58.94,17.0701,2520600.0,0.0,1.0
2000-07-07,58.69,59.25,58.38,58.75,17.0151,2521600.0,0.0,1.0
2000-07-10,58.63,58.69,57.25,57.56,16.6704,3223600.0,0.0,1.0
2000-07-11,56.88,57.5,55.81,56.19,16.2737,4067100.0,0.0,1.0
2000-07-12,55.31,56.5,55.25,56.13,16.2563,3576900.0,0.0,1.0
2000-07-13,56.5,58.13,56.44,57.94,16.7805,4225300.0,0.0,1.0
2000-07-14,57.88,58.44,57.0,57.63,16.6907,2324000.0,0.0,1.0
2000-07-17,57.56,57.63,56.56,57.34,16.6067,3501500.0,0.0,1.0
2000-07-18,57.31,58.75,56.63,58.19,16.8529,3797600.0,0.0,1.0
2000-07-19,58.94,60.63,58.75,60.5,17.5219,8217700.0,0.0,1.0
2000-07-20,60.5,60.69,59.88,60.5,17.5219,4612800.0,0.0,1.0
2000-07-21,60.56,61.25,60.36,60.86,17.6262,4070600.0,0.0,1.0
2000-07-24,60.0,60.0,59.06,59.25,17.1599,3404100.0,0.0,1.0
2000-07-25,59.19,59.31,58.81,59.25,17.1599,2332200.0,0.0,1.0
2000-07-26,59.38,60.0,58.63,58.81,17.0325,5081200.0,0.0,1.0
2000-07-27,59.81,61.19,59.69,60.44,17.5045,4558600.0,0.0,1.0
2000-07-28,60.31,63.0,60.06,62.69,18.1562,6809500.0,0.0,1.0
2000-07-31,62.06,62.38,61.25,61.31,17.7565,4008500.0,0.0,1.0
2000-08-01,61.81,64.0,61.31,63.0,18.246,4660700.0,0.0,1.0
2000-08-02,63.0,63.06,62.25,62.94,18.2286,3331200.0,0.0,1.0
2000-08-03,62.06,63.75,62.06,63.0,18.246,3326700.0,0.0,1.0
2000-08-04,62.63,62.63,61.13,62.13,17.994,3003300.0,0.0,1.0
2000-08-07,61.56,61.75,61.13,61.38,17.7768,2131800.0,0.0,1.0
2000-08-08,62.38,62.38,60.5,60.94,17.6494,3067900.0,0.0,1.0
2000-08-09,60.31,60.44,59.69,59.81,17.3221,3555800.0,0.0,1.0
2000-08-10,60.38,61.75,60.06,61.0,17.6667,3107400.0,0.0,1.0
2000-08-11,61.06,62.75,61.0,62.25,18.0288,3082700.0,0.0,1.0
