date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,31.94,31.94,31.06,31.25,18.5378,5545100.0,0.0,1.0
2000-06-30,31.5,33.04,31.44,32.94,19.5403,6147600.0,0.0,1.0
2000-07-03,33.19,33.38,32.25,32.5,19.2793,1681200.0,0.0,1.0
2000-07-05,32.5,32.56,31.63,31.81,18.87,5067000.0,0.0,1.0
2000-07-06,32.06,32.56,32.06,32.19,19.0954,4010300.0,0.0,1.0
2000-07-07,32.25,33.5,32.0,32.5,19.2793,3766600.0,0.0,1.0
2000-07-10,33.38,33.44,32.19,32.25,19.131,3013900.0,0.0,1.0
2000-07-11,32.88,33.06,32.25,32.56,19.3149,3094500.0,0.0,1.0
2000-07-12,32.63,32.63,32.0,32.0,18.9827,2893000.0,0.0,1.0
2000-07-13,32.44,32.44,31.0,31.5,18.6861,6731700.0,0.0,1.0
2000-07-14,31.31,31.56,31.13,31.38,18.6149,3143900.0,0.0,1.0
2000-07-17,31.5,31.56,31.13,31.31,18.5734,2669400.0,0.0,1.0
2000-07-18,31.31,31.63,31.0,31.31,18.5734,2651700.0,0.0,1.0
2000-07-19,31.31,31.44,31.0,31.38,18.6149,3170500.0,0.0,1.0
2000-07-20,31.5,32.0,31.31,31.69,18.7988,3266300.0,0.0,1.0
2000-07-21,31.88,31.88,30.56,30.88,18.3183,4031800.0,0.0,1.0
2000-07-24,30.88,31.19,30.13,30.25,17.9446,4192300.0,0.0,1.0
2000-07-25,31.0,31.38,30.06,31.31,18.5734,6895700.0,0.0,1.0
2000-07-26,32.0,33.25,31.69,31.69,18.7988,11296100.0,0.0,1.0
2000-07-27,33.0,33.75,32.06,32.19,19.0954,6561400.0,0.0,1.0
2000-07-28,32.31,32.81,32.0,32.0,18.9827,3092900.0,0.0,1.0
2000-07-31,32.44,32.63,31.44,31.69,18.7988,4871300.0,0.0,1.0
2000-08-01,31.88,32.63,31.81,32.63,19.3564,3134200.0,0.0,1.0
2000-08-02,32.56,33.56,32.56,33.44,19.8369,4643100.0,0.0,1.0
2000-08-03,33.63,33.94,33.19,33.25,19.7242,3805700.0,0.0,1.0
2000-08-04,33.13,33.69,33.0,33.38,19.8013,2536600.0,0.0,1.0
2000-08-07,33.56,34.25,33.5,33.69,19.9852,3078100.0,0.0,1.0
2000-08-08,34.0,34.13,33.06,33.5,19.8725,2625500.0,0.0,1.0
2000-08-09,32.81,33.19,32.25,32.69,19.392,3548300.0,0.0,1.0
2000-08-10,32.94,33.06,32.63,32.81,19.4632,2316000.0,0.0,1.0
2000-08-11,32.94,33.63,32.88,33.44,19.8369,2224100.0,0.0,1.0
2000-08-14,33.44,33.44,33.0,33.31,19.7598,2457400.0,0.0,1.0
2000-08-15,33.44,33.63,32.25,32.44,19.2437,2872800.0,0.0,1.0
2000-08-16,32.44,32.56,32.31,32.38,19.2081,2087600.0,0.0,1.0
2000-08-17,32.13,32.38,31.0,31.25,18.5378,4735200.0,0.0,1.0
2000-08-18,31.13,31.94,31.0,31.56,18.7217,3335400.0,0.0,1.0
2000-08-21,31.81,31.94,31.25,31.56,18.7217,2985800.0,0.0,1.0
2000-08-22,31.69,31.88,31.19,31.31,18.5734,3485600.0,0.0,1.0
2000-08-23,31.31,31.75,30.94,31.19,18.5022,3414800.0,0.0,1.0
2000-08-24,31.19,31.31,30.0,30.38,18.0217,6604900.0,0.0,1.0
2000-08-25,30.5,30.56,29.88,30.38,18.0217,4992100.0,0.0,1.0
2000-08-28,30.0,30.44,30.0,30.38,18.0217,4056200.0,0.0,1.0
2000-08-29,30.69,31.0,30.19,30.44,18.0573,4823800.0,0.0,1.0
2000-08-30,30.44,30.44,29.94,30.38,18.0217,4095000.0,0.0,1.0
2000-08-31,30.13,30.38,29.63,29.89,17.731,6792600.0,0.0,1.0
2000-09-01,29.69,30.06,29.31,29.56,17.5353,4717000.0,0.0,1.0
2000-09-05,29.56,29.81,29.38,29.69,17.6124,5208100.0,0.0,1.0
2000-09-06,29.56,30.31,29.56,30.13,17.8734,4009200.0,0.0,1.0
2000-09-07,30.25,30.38,29.06,29.5,17.4997,6629500.0,0.0,1.0
2000-09-08,29.31,29.56,28.25,28.75,17.0548,6268100.0,0.0,1.0
2000-09-11,28.75,28.81,28.06,28.38,16.8353,4514600.0,0.0,1.0
2000-09-12,28.19,29.56,27.81,29.0,17.2031,11730400.0,0.0,1.0
2000-09-13,29.44,29.5,27.0,27.19,16.4074,7816400.0,0.4688,1.0
2000-09-14,27.75,27.75,26.38,27.25,16.4436,17827100.0,0.0,1.0
2000-09-15,28.81,28.81,27.06,28.0,16.8962,10175900.0,0.0,1.0
2000-09-18,27.94,28.56,27.44,28.5,17.1979,5527900.0,0.0,1.0
2000-09-19,28.5,28.63,27.56,27.88,16.8238,5110200.0,0.0,1.0
2000-09-20,27.88,27.94,27.0,27.69,16.7091,4793200.0,0.0,1.0
2000-09-21,27.81,28.25,27.0,27.0,16.2928,4128100.0,0.0,1.0
2000-09-22,28.69,29.28,28.19,28.69,17.3126,6886900.0,0.0,1.0
2000-09-25,29.25,29.44,28.94,29.44,17.7652,4416800.0,0.0,1.0
2000-09-26,29.5,30.13,29.44,29.88,18.0307,5603100.0,0.0,1.0
2000-09-27,29.63,29.94,29.5,29.88,18.0307,3542400.0,0.0,1.0
