date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,84.5,86.81,84.19,85.56,26.0014,1276400.0,0.0,1.0
2000-06-30,85.31,86.0,82.48,83.0,25.2234,1801800.0,0.0,1.0
2000-07-03,83.0,84.38,83.0,84.06,25.5455,814700.0,0.0,1.0
2000-07-05,85.94,89.38,84.88,88.5,26.8948,1692700.0,0.0,1.0
2000-07-06,87.44,88.13,86.5,86.56,26.3053,1277900.0,0.0,1.0
2000-07-07,86.63,87.75,86.0,86.13,26.1746,1324600.0,0.0,1.0
2000-07-10,85.25,87.63,85.13,87.19,26.4967,1306900.0,0.0,1.0
2000-07-11,87.19,89.94,86.75,88.94,27.0285,1596800.0,0.0,1.0
2000-07-12,90.25,90.56,89.06,90.06,27.3689,1561500.0,0.0,1.0
2000-07-13,90.88,90.88,89.5,89.56,27.217,831200.0,0.0,1.0
2000-07-14,89.31,89.31,86.63,87.88,26.7064,1129500.0,0.0,1.0
2000-07-17,87.0,87.5,86.19,87.25,26.515,935700.0,0.0,1.0
2000-07-18,87.13,88.56,87.06,88.0,26.7429,751000.0,0.0,1.0
2000-07-19,89.0,89.06,86.25,86.5,26.287,1549400.0,0.0,1.0
2000-07-20,86.75,86.88,86.0,86.5,26.287,1113300.0,0.0,1.0
2000-07-21,86.31,86.38,85.31,86.38,26.2506,712900.0,0.0,1.0
2000-07-24,86.0,90.38,86.0,89.06,27.065,1294900.0,0.0,1.0
2000-07-25,88.5,89.69,88.19,88.31,26.8371,1006900.0,0.0,1.0
2000-07-26,88.94,91.44,88.56,88.56,26.9131,1980200.0,0.0,1.0
2000-07-27,89.75,90.38,88.56,89.0,27.0468,1034700.0,0.0,1.0
2000-07-28,89.25,91.63,88.88,91.0,27.6546,1197500.0,0.0,1.0
2000-07-31,90.94,91.31,90.06,90.06,27.3689,1120200.0,0.0,1.0
2000-08-01,90.5,91.19,89.25,89.38,27.1623,1355700.0,0.0,1.0
2000-08-02,89.56,90.63,88.88,90.25,27.4266,1001700.0,0.0,1.0
2000-08-03,90.69,90.94,89.94,89.94,27.3324,1046700.0,0.0,1.0
2000-08-04,89.94,90.69,89.63,90.0,27.3507,1016400.0,0.0,1.0
2000-08-07,90.0,90.94,90.0,90.88,27.6181,796700.0,0.0,1.0
2000-08-08,90.94,92.19,90.19,91.38,27.77,1431200.0,0.0,1.0
2000-08-09,92.25,93.44,91.63,92.5,28.1104,1570300.0,0.0,1.0
2000-08-10,92.94,95.5,92.94,94.88,28.8337,1931000.0,0.0,1.0
2000-08-11,94.94,97.44,94.94,96.75,29.402,1831900.0,0.0,1.0
2000-08-14,96.25,96.25,93.81,95.69,29.0798,1146100.0,0.0,1.0
2000-08-15,95.81,95.88,94.25,94.88,28.8337,815400.0,0.0,1.0
2000-08-16,95.0,95.0,94.06,94.19,28.624,935500.0,0.0,1.0
2000-08-17,94.81,95.63,94.31,95.25,28.9461,864100.0,0.0,1.0
2000-08-18,95.5,95.5,94.75,95.13,28.9097,756500.0,0.0,1.0
2000-08-21,95.38,95.81,94.56,94.94,28.8519,528600.0,0.0,1.0
2000-08-22,94.88,97.0,94.75,96.31,29.2683,749400.0,0.0,1.0
2000-08-23,96.19,96.81,95.31,95.94,29.3321,873600.0,0.58,1.0
2000-08-24,95.69,95.88,94.5,94.81,28.9866,828300.0,0.0,1.0
2000-08-25,95.06,95.75,95.06,95.75,29.274,786400.0,0.0,1.0
2000-08-28,96.0,97.44,95.13,95.13,29.0844,804000.0,0.0,1.0
2000-08-29,95.38,95.63,94.63,94.63,28.9316,950300.0,0.0,1.0
2000-08-30,94.63,95.13,93.25,93.38,28.5494,892200.0,0.0,1.0
2000-08-31,93.19,95.56,93.0,93.02,28.4393,1046600.0,0.0,1.0
