date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,74.81,75.25,74.0,74.11,34.8452,5105100.0,0.0,1.0
2000-06-30,74.13,76.73,73.25,76.63,36.0301,7208800.0,0.0,1.0
2000-07-03,76.06,76.69,75.38,76.47,35.9549,2938400.0,0.0,1.0
2000-07-05,76.88,77.38,76.31,77.19,36.2934,4719900.0,0.0,1.0
2000-07-06,76.5,76.63,74.94,75.38,35.4424,4545700.0,0.0,1.0
2000-07-07,75.38,75.5,73.94,74.38,34.9722,3898600.0,0.0,1.0
2000-07-10,74.25,74.88,73.88,74.88,35.2073,3827600.0,0.0,1.0
2000-07-11,74.88,75.88,73.5,74.69,35.1179,4470900.0,0.0,1.0
2000-07-12,74.25,74.38,72.31,73.39,34.5067,3692500.0,0.0,1.0
2000-07-13,73.31,73.31,69.0,69.13,32.5037,8088900.0,0.0,1.0
2000-07-14,69.06,69.5,66.5,67.25,31.6198,8261700.0,0.0,1.0
2000-07-17,67.0,68.5,66.75,67.38,31.6809,10377900.0,0.0,1.0
2000-07-18,67.25,67.63,66.06,66.38,31.2107,6626900.0,0.0,1.0
2000-07-19,66.19,66.75,65.03,65.25,30.6794,6582000.0,0.0,1.0
2000-07-20,65.06,65.13,63.88,64.06,30.1199,5513400.0,0.0,1.0
2000-07-21,64.19,64.69,63.0,63.75,29.9741,7748900.0,0.0,1.0
2000-07-24,66.75,70.13,66.5,69.56,32.7059,13724200.0,0.0,1.0
2000-07-25,69.44,71.88,68.88,70.91,33.3407,10830900.0,0.0,1.0
2000-07-26,71.38,71.69,69.75,70.0,32.9128,5834000.0,0.0,1.0
2000-07-27,70.75,72.75,70.0,72.34,34.013,4029000.0,0.0,1.0
2000-07-28,73.0,73.13,72.44,72.78,34.2199,4158900.0,0.0,1.0
2000-07-31,72.06,72.31,70.31,71.66,33.6933,3736900.0,0.0,1.0
2000-08-01,71.13,74.25,71.13,74.09,34.8358,4608200.0,0.0,1.0
2000-08-02,74.25,75.25,73.63,75.0,35.2637,4514400.0,0.0,1.0
2000-08-03,75.13,75.44,74.5,75.22,35.3671,4325300.0,0.0,1.0
2000-08-04,74.13,74.38,73.06,73.81,34.7042,3145200.0,0.0,1.0
2000-08-07,73.75,73.75,72.75,73.03,34.3374,3865100.0,0.0,1.0
2000-08-08,72.69,73.44,71.69,72.36,34.0224,4049400.0,0.0,1.0
2000-08-09,71.38,73.38,70.0,70.56,33.1761,6206800.0,0.0,1.0
2000-08-10,70.94,72.06,70.44,71.47,33.604,4293200.0,0.0,1.0
2000-08-11,71.31,73.13,71.31,72.41,34.0459,2850500.0,0.0,1.0
2000-08-14,72.38,73.13,72.25,72.84,34.2481,2343800.0,0.0,1.0
2000-08-15,73.25,73.63,72.5,73.25,34.4409,2990400.0,0.0,1.0
2000-08-16,73.31,74.06,73.25,73.75,34.676,2228400.0,0.0,1.0
2000-08-17,73.5,74.38,73.13,73.94,34.7653,2645700.0,0.0,1.0
2000-08-18,73.19,73.31,71.5,72.0,33.8532,4057600.0,0.0,1.0
2000-08-21,71.38,72.88,71.38,71.88,33.7967,2341000.0,0.0,1.0
2000-08-22,72.0,73.0,71.75,72.5,34.0882,2758100.0,0.0,1.0
2000-08-23,72.5,73.31,71.81,72.25,33.9707,3119100.0,0.0,1.0
