date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,39.0,42.25,37.81,39.5,3.8228,1010400.0,0.0,1.0
2000-06-30,39.63,39.91,38.44,39.81,3.8528,1315800.0,0.0,1.0
2000-07-03,41.0,41.13,39.81,41.0,3.968,925700.0,0.0,1.0
2000-07-05,40.44,40.94,39.94,40.25,3.8954,451300.0,0.0,1.0
2000-07-06,40.5,41.13,39.75,40.5,3.9196,397200.0,0.0,1.0
2000-07-07,40.94,42.5,40.5,42.06,4.0706,673200.0,0.0,1.0
2000-07-10,42.31,42.44,41.38,41.69,4.0348,510500.0,0.0,1.0
2000-07-11,42.0,43.63,41.38,43.06,4.1674,728800.0,0.0,1.0
2000-07-12,43.06,43.25,42.25,42.44,4.1074,591600.0,0.0,1.0
2000-07-13,42.69,44.63,42.56,43.94,4.2525,1012200.0,0.0,1.0
2000-07-14,44.19,44.38,42.81,43.88,4.2467,1094100.0,0.0,1.0
2000-07-17,44.13,45.44,43.5,45.22,4.3764,977900.0,0.0,1.0
2000-07-18,45.13,45.38,43.19,44.94,4.3493,663800.0,0.0,1.0
2000-07-19,44.69,44.94,43.81,44.06,4.2641,469800.0,0.0,1.0
2000-07-20,44.19,44.94,44.06,44.63,4.3193,458700.0,0.0,1.0
2000-07-21,44.69,44.88,44.25,44.69,4.3251,686100.0,0.0,1.0
2000-07-24,44.94,46.56,44.75,45.94,4.4461,1065900.0,0.0,1.0
2000-07-25,46.5,46.88,45.13,46.38,4.4887,654300.0,0.0,1.0
2000-07-26,46.25,47.75,45.81,47.06,4.5545,1402900.0,0.0,1.0
2000-07-27,47.13,47.31,45.0,46.0,4.4519,835700.0,0.0,1.0
2000-07-28,45.94,46.0,43.31,44.13,4.2709,546900.0,0.0,1.0
2000-07-31,43.94,44.44,42.88,43.75,4.2341,629100.0,0.0,1.0
2000-08-01,43.75,45.38,43.75,44.5,4.3067,429600.0,0.0,1.0
2000-08-02,44.56,45.88,44.13,45.63,4.4161,503000.0,0.0,1.0
2000-08-03,44.5,46.5,44.5,46.0,4.4519,976100.0,0.0,1.0
2000-08-04,45.25,46.06,44.38,46.0,4.4519,1007500.0,0.0,1.0
2000-08-07,46.19,46.25,45.44,45.75,4.4277,1016100.0,0.0,1.0
2000-08-08,46.0,48.0,46.0,48.0,4.6455,1032600.0,0.0,1.0
2000-08-09,48.5,48.5,47.31,48.0,4.6455,753500.0,0.0,1.0
2000-08-10,48.0,48.38,46.69,46.69,4.5187,951400.0,0.0,1.0
2000-08-11,46.81,48.0,46.56,46.88,4.5371,669400.0,0.0,1.0
2000-08-14,46.63,47.88,46.56,47.56,4.6029,802600.0,0.0,1.0
2000-08-15,47.31,47.38,45.88,46.81,4.5303,554900.0,0.0,1.0
2000-08-16,46.81,47.81,46.81,47.06,4.5545,765100.0,0.0,1.0
2000-08-17,47.0,47.94,46.88,47.5,4.5971,693000.0,0.0,1.0
2000-08-18,47.75,47.75,46.88,47.69,4.6155,458100.0,0.0,1.0
2000-08-21,47.69,47.69,45.5,46.88,4.5371,715000.0,0.0,1.0
2000-08-22,44.88,44.88,41.44,42.13,4.0774,2599500.0,0.0,1.0
2000-08-23,41.13,41.38,40.19,40.25,3.8954,2460800.0,0.0,1.0
2000-08-24,40.25,43.0,40.25,41.25,3.9922,1519600.0,0.0,1.0
2000-08-25,41.5,42.81,41.5,42.5,4.1132,812600.0,0.0,1.0
2000-08-28,42.0,42.19,40.5,40.75,3.9438,1271500.0,0.0,1.0
2000-08-29,41.0,42.75,40.81,42.0,4.0648,1316500.0,0.0,1.0
2000-08-30,42.0,42.06,40.75,41.44,4.0106,675000.0,0.0,1.0
2000-08-31,40.94,40.94,39.56,39.58,3.8306,1493100.0,0.0,1.0
2000-09-01,40.38,41.38,40.31,40.88,3.9564,922300.0,0.0,1.0
2000-09-05,40.88,41.94,40.88,41.69,4.0348,592400.0,0.0,1.0
2000-09-06,41.63,41.63,39.5,40.0,3.8712,931200.0,0.0,1.0
2000-09-07,39.88,39.88,37.47,38.63,3.7386,2611300.0,0.0,1.0
