date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,46.69,46.69,45.63,46.23,23.248,16606300.0,0.0,1.0
2000-06-30,45.75,48.1,45.75,48.0,24.1381,16150300.0,0.0,1.0
2000-07-03,47.81,47.81,47.06,47.69,23.9822,5780900.0,0.0,1.0
2000-07-05,48.0,48.0,47.0,47.44,23.8564,11266300.0,0.0,1.0
2000-07-06,47.63,47.63,46.19,46.56,23.4139,9852300.0,0.0,1.0
2000-07-07,46.69,47.0,45.81,45.81,23.0368,12721500.0,0.0,1.0
2000-07-10,46.5,47.94,45.94,47.81,24.0425,10745500.0,0.0,1.0
2000-07-11,47.63,49.0,47.38,49.0,24.6409,13656200.0,0.0,1.0
2000-07-12,49.25,49.25,47.97,47.97,24.123,9915800.0,0.0,1.0
2000-07-13,47.88,47.88,45.81,46.13,23.1977,14427100.0,0.0,1.0
2000-07-14,45.5,46.0,44.25,45.06,22.6596,11938300.0,0.0,1.0
2000-07-17,45.13,47.31,44.75,46.11,23.1876,10666600.0,0.0,1.0
2000-07-18,46.63,47.0,44.19,44.88,22.5691,13512500.0,0.0,1.0
2000-07-19,44.94,46.5,43.75,46.44,23.3536,11466100.0,0.0,1.0
2000-07-20,46.5,46.56,44.31,45.0,22.6294,14178900.0,0.0,1.0
2000-07-21,45.0,46.25,44.63,45.88,23.072,8951400.0,0.0,1.0
2000-07-24,45.44,48.19,45.44,47.56,23.9168,14813200.0,0.0,1.0
2000-07-25,43.5,45.0,43.0,44.0,22.1265,30772300.0,0.0,1.0
2000-07-26,44.69,45.0,42.75,43.5,21.8751,25555100.0,0.0,1.0
2000-07-27,43.06,44.88,43.0,44.61,22.4333,11483500.0,0.0,1.0
2000-07-28,44.13,44.5,43.5,43.88,22.0662,7875000.0,0.0,1.0
2000-07-31,43.69,44.06,42.88,43.38,21.8148,9475400.0,0.0,1.0
2000-08-01,43.63,45.94,43.38,45.75,23.0066,13638500.0,0.0,1.0
2000-08-02,45.5,46.5,45.44,46.13,23.1977,12231200.0,0.0,1.0
2000-08-03,46.63,46.69,44.75,44.75,22.5037,8097300.0,0.0,1.0
2000-08-04,45.5,46.0,44.13,45.5,22.8809,8094100.0,0.0,1.0
2000-08-07,46.0,46.0,44.31,44.92,22.5892,7498300.0,0.0,1.0
2000-08-08,44.94,45.88,44.25,44.92,22.5892,8872900.0,0.0,1.0
2000-08-09,44.75,45.56,42.0,42.75,21.498,15688500.0,0.0,1.0
2000-08-10,43.0,43.63,42.0,42.0,21.1208,13180800.0,0.0,1.0
2000-08-11,42.88,43.25,42.5,42.88,21.5633,7656700.0,0.0,1.0
2000-08-14,43.13,43.31,42.72,42.72,21.4829,7294500.0,0.0,1.0
2000-08-15,43.0,43.31,42.44,42.59,21.4175,7792500.0,0.0,1.0
2000-08-16,42.94,43.75,42.75,43.63,21.9857,7821000.0,0.09,1.0
2000-08-17,43.94,44.63,43.13,44.0,22.1722,11434200.0,0.0,1.0
2000-08-18,43.5,43.69,42.31,42.75,21.5423,10898900.0,0.0,1.0
2000-08-21,42.94,43.69,42.0,43.0,21.6683,6393100.0,0.0,1.0
2000-08-22,43.63,43.63,42.31,42.5,21.4163,9062200.0,0.0,1.0
2000-08-23,42.38,43.38,42.38,43.03,21.6834,6576500.0,0.0,1.0
2000-08-24,43.38,43.44,43.0,43.09,21.7136,6095600.0,0.0,1.0
2000-08-25,43.56,43.94,43.06,43.81,22.0764,5660100.0,0.0,1.0
2000-08-28,43.94,43.94,42.75,42.84,21.5877,7402100.0,0.0,1.0
2000-08-29,42.13,43.31,42.0,42.56,21.4466,9721700.0,0.0,1.0
2000-08-30,42.5,42.81,41.75,42.0,21.1644,9389100.0,0.0,1.0
2000-08-31,42.75,43.44,42.56,43.14,21.7388,11088600.0,0.0,1.0
2000-09-01,43.75,43.88,42.88,43.16,21.7489,7489200.0,0.0,1.0
2000-09-05,42.56,42.75,40.44,40.81,20.5647,19353600.0,0.0,1.0
2000-09-06,40.56,40.63,39.38,39.88,20.0961,19182200.0,0.0,1.0
2000-09-07,39.88,40.56,39.88,40.31,20.3128,13108200.0,0.0,1.0
2000-09-08,40.25,40.63,39.88,40.5,20.4085,10759700.0,0.0,1.0
2000-09-11,40.0,41.0,39.69,41.0,20.6605,10413000.0,0.0,1.0
2000-09-12,40.25,41.06,40.0,40.25,20.2825,10328300.0,0.0,1.0
2000-09-13,41.25,41.56,40.75,41.06,20.6907,9669100.0,0.0,1.0
2000-09-14,41.44,41.44,40.81,41.38,20.8519,8840900.0,0.0,1.0
2000-09-15,41.0,41.69,41.0,41.25,20.7864,13148600.0,0.0,1.0
2000-09-18,41.19,42.0,41.06,41.94,21.1341,7199400.0,0.0,1.0
2000-09-19,41.94,42.13,40.81,41.02,20.6705,8499900.0,0.0,1.0
2000-09-20,40.94,41.0,40.25,40.93,20.6252,6536400.0,0.0,1.0
2000-09-21,40.88,43.81,40.69,42.5,21.4163,13000900.0,0.0,1.0
2000-09-22,43.5,44.44,42.63,44.31,22.3284,18000000.0,0.0,1.0
2000-09-25,44.06,44.25,43.5,44.13,22.2377,8898800.0,0.0,1.0
2000-09-26,43.38,44.13,43.25,43.5,21.9202,9729600.0,0.0,1.0
2000-09-27,43.19,43.38,42.06,43.25,21.7943,9103000.0,0.0,1.0
2000-09-28,43.13,44.88,43.13,43.69,22.016,14355200.0,0.0,1.0
2000-09-29,44.5,45.38,43.13,44.92,22.6358,15212900.0,0.0,1.0
2000-10-02,44.38,44.5,43.5,44.25,22.2982,9709100.0,0.0,1.0
2000-10-03,43.69,44.81,43.56,44.25,22.2982,8419900.0,0.0,1.0
2000-10-04,43.38,44.31,42.25,42.75,21.5423,12739100.0,0.0,1.0
2000-10-05,43.0,45.0,42.94,44.75,22.5501,10752700.0,0.0,1.0
2000-10-06,44.63,44.94,43.13,44.63,22.4897,8261800.0,0.0,1.0
2000-10-09,44.06,44.63,43.13,43.13,21.7338,5819000.0,0.0,1.0
2000-10-10,43.5,45.0,43.31,44.5,22.4241,11810100.0,0.0,1.0
2000-10-11,45.19,45.25,43.75,44.13,22.2377,13825000.0,0.0,1.0
2000-10-12,43.25,45.38,42.81,44.63,22.4897,15417300.0,0.0,1.0
2000-10-13,43.88,44.25,42.13,42.63,21.4818,12761000.0,0.0,1.0
2000-10-16,42.94,43.75,42.81,43.69,22.016,9073700.0,0.0,1.0
2000-10-17,43.13,45.06,42.88,44.94,22.6459,13150300.0,0.0,1.0
2000-10-18,43.88,44.88,43.0,43.75,22.0462,12203700.0,0.0,1.0
2000-10-19,41.0,43.25,41.0,43.0,21.6683,10981500.0,0.0,1.0
2000-10-20,42.63,43.44,42.5,43.38,21.8598,7890700.0,0.0,1.0
2000-10-23,43.88,45.75,43.44,45.38,22.8676,14904600.0,0.0,1.0
2000-10-24,42.0,44.44,41.75,43.0,21.6683,23027600.0,0.0,1.0
