date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,56.06,56.13,54.19,54.5,8.9783,1736200.0,0.0,1.0
2000-06-30,54.94,58.98,54.0,58.88,9.6999,2536100.0,0.0,1.0
2000-07-03,57.5,57.56,55.38,56.69,9.3391,848300.0,0.0,1.0
2000-07-05,58.5,59.19,57.63,58.75,9.6785,1413700.0,0.0,1.0
2000-07-06,58.75,59.13,57.63,57.69,9.5039,1246800.0,0.0,1.0
2000-07-07,57.94,58.94,57.75,58.75,9.6785,1429100.0,0.0,1.0
2000-07-10,58.81,59.56,58.25,59.31,9.7707,1478900.0,0.0,1.0
2000-07-11,59.38,60.06,58.56,60.0,9.8844,1700900.0,0.0,1.0
2000-07-12,59.19,60.38,58.25,60.25,9.9256,1943000.0,0.0,1.0
2000-07-13,60.25,60.88,59.88,60.5,9.9668,1587600.0,0.0,1.0
2000-07-14,61.0,61.75,60.38,61.13,10.0706,847900.0,0.0,1.0
2000-07-17,60.88,60.94,60.25,60.53,9.9717,732400.0,0.0,1.0
2000-07-18,60.25,60.25,58.38,59.0,9.7197,1001100.0,0.0,1.0
2000-07-19,60.0,60.44,57.25,57.5,9.4726,2065600.0,0.0,1.0
2000-07-20,57.5,58.0,56.88,57.38,9.4528,2099100.0,0.0,1.0
2000-07-21,57.38,59.0,57.38,58.75,9.6785,1763600.0,0.0,1.0
2000-07-24,58.63,59.5,58.38,59.06,9.7295,842000.0,0.0,1.0
2000-07-25,59.0,60.0,58.13,58.25,9.5961,1168000.0,0.0,1.0
2000-07-26,58.5,58.5,56.94,57.38,9.4528,1498700.0,0.0,1.0
2000-07-27,57.5,58.13,56.31,57.5,9.4726,1553900.0,0.0,1.0
2000-07-28,57.5,57.75,56.31,57.44,9.4627,995700.0,0.0,1.0
2000-07-31,58.0,59.75,57.94,58.38,9.6175,794700.0,0.0,1.0
2000-08-01,59.13,59.5,58.63,59.25,9.7608,1532400.0,0.0,1.0
2000-08-02,59.13,59.38,58.06,58.19,9.5862,878100.0,0.0,1.0
2000-08-03,58.19,58.38,56.81,57.13,9.4116,1249800.0,0.0,1.0
2000-08-04,57.56,59.06,57.0,59.0,9.7197,1716400.0,0.0,1.0
2000-08-07,59.5,61.0,58.63,61.0,10.0491,1469900.0,0.0,1.0
