date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,35.63,36.5,35.31,36.38,21.7815,749300.0,0.0,1.0
2000-06-30,36.13,36.13,33.75,34.13,20.4344,969700.0,0.0,1.0
2000-07-03,34.0,35.0,34.0,34.63,20.7337,376800.0,0.0,1.0
2000-07-05,34.38,36.0,34.38,35.75,21.4043,837800.0,0.0,1.0
2000-07-06,36.0,36.13,34.88,35.56,21.2906,435600.0,0.0,1.0
2000-07-07,35.38,36.56,35.25,36.5,21.8534,380900.0,0.0,1.0
2000-07-10,36.5,37.06,36.5,36.63,21.9312,380600.0,0.0,1.0
2000-07-11,37.0,37.25,36.69,37.19,22.2665,492600.0,0.0,1.0
2000-07-12,37.5,39.06,37.44,38.75,23.2005,891600.0,0.0,1.0
2000-07-13,38.63,38.88,37.06,37.31,22.3383,611000.0,0.0,1.0
2000-07-14,37.5,38.06,36.88,37.44,22.4162,961900.0,0.0,1.0
2000-07-17,37.44,37.56,36.56,37.44,22.4162,738800.0,0.0,1.0
2000-07-18,37.63,37.94,37.31,37.94,22.7155,608900.0,0.0,1.0
2000-07-19,38.13,38.25,37.31,37.38,22.3802,510700.0,0.0,1.0
2000-07-20,37.44,37.81,37.38,37.75,22.6018,1209000.0,0.0,1.0
2000-07-21,37.75,37.81,37.06,37.44,22.4162,386200.0,0.0,1.0
2000-07-24,37.19,37.56,36.94,37.5,22.4521,324300.0,0.0,1.0
2000-07-25,37.5,40.5,37.5,40.13,24.0267,1617000.0,0.0,1.0
2000-07-26,40.0,43.5,39.88,42.52,25.4577,3500300.0,0.0,1.0
2000-07-27,42.5,44.88,42.5,44.63,26.721,2379100.0,0.0,1.0
2000-07-28,44.63,45.75,44.38,44.75,26.7928,1823900.0,0.0,1.0
2000-07-31,44.75,45.31,44.19,44.44,26.6072,1577600.0,0.0,1.0
2000-08-01,44.13,44.5,43.75,44.25,26.4935,847800.0,0.0,1.0
2000-08-02,43.88,44.19,43.63,44.06,26.3797,1154700.0,0.0,1.0
2000-08-03,44.0,45.31,43.63,45.06,26.9784,1259100.0,0.0,1.0
2000-08-04,45.0,47.69,44.88,47.25,28.2896,1594900.0,0.0,1.0
2000-08-07,46.75,49.56,46.75,48.25,28.8883,1592200.0,0.0,1.0
2000-08-08,48.25,48.5,47.31,48.38,28.9662,1416200.0,0.0,1.0
2000-08-09,48.0,48.13,46.13,47.5,28.4393,1199100.0,0.0,1.0
2000-08-10,46.75,48.0,46.75,47.31,28.3255,1155000.0,0.0,1.0
2000-08-11,47.56,47.81,47.0,47.75,28.589,581700.0,0.0,1.0
2000-08-14,47.5,47.94,47.06,47.69,28.5531,1072700.0,0.0,1.0
2000-08-15,47.44,47.75,46.5,47.0,28.1399,785900.0,0.0,1.0
2000-08-16,46.88,46.94,46.31,46.38,27.7687,617100.0,0.0,1.0
2000-08-17,45.5,47.19,45.5,46.94,28.104,686000.0,0.0,1.0
2000-08-18,46.5,47.38,46.38,47.13,28.2178,567900.0,0.0,1.0
2000-08-21,47.75,48.06,47.63,47.88,28.6668,904800.0,0.0,1.0
2000-08-22,47.63,48.19,47.31,47.81,28.6249,637100.0,0.0,1.0
2000-08-23,47.63,48.31,46.13,46.69,27.9543,820400.0,0.0,1.0
2000-08-24,46.63,47.06,46.56,46.81,28.0262,492000.0,0.0,1.0
2000-08-25,46.31,46.88,45.56,45.81,27.4275,526600.0,0.0,1.0
2000-08-28,45.56,46.81,45.56,46.38,27.7687,438400.0,0.0,1.0
2000-08-29,46.75,46.75,45.69,46.25,27.6909,632000.0,0.0,1.0
2000-08-30,46.31,47.56,46.25,47.25,28.2896,742900.0,0.0,1.0
2000-08-31,47.0,48.13,47.0,47.52,28.4513,736500.0,0.0,1.0
2000-09-01,47.31,48.0,46.5,46.81,28.0262,559600.0,0.0,1.0
2000-09-05,46.38,47.5,46.25,47.13,28.2178,490200.0,0.0,1.0
2000-09-06,47.25,48.5,47.25,48.31,28.9243,675100.0,0.0,1.0
2000-09-07,48.31,48.44,47.13,48.38,28.9662,904300.0,0.0,1.0
2000-09-08,48.38,49.5,48.38,49.31,29.523,2714000.0,0.0,1.0
2000-09-11,49.0,50.88,49.0,50.63,30.3133,858800.0,0.0,1.0
2000-09-12,50.13,50.63,49.44,49.75,29.7864,706700.0,0.0,1.0
2000-09-13,50.0,51.31,48.5,48.5,29.038,5712400.0,0.0,1.0
2000-09-14,48.69,50.94,48.25,49.44,29.6008,2134000.0,0.0,1.0
