date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,83.0,89.0,82.62,86.0,9.1213,2493300.0,0.0,1.0
2000-06-30,86.0,88.0,85.62,85.75,9.0947,1065500.0,0.0,1.0
2000-07-03,85.44,88.06,85.31,88.06,9.3397,519800.0,0.0,1.0
2000-07-05,88.31,89.94,87.5,89.0,9.4394,875600.0,0.0,1.0
2000-07-06,87.25,91.94,87.06,91.75,9.7311,1637800.0,0.0,1.0
2000-07-07,91.0,91.44,88.62,89.75,9.519,1593500.0,0.0,1.0
2000-07-10,89.0,89.19,86.25,87.38,9.2676,781600.0,0.0,1.0
2000-07-11,87.38,89.25,87.25,87.69,9.3005,1056500.0,0.0,1.0
2000-07-12,87.69,90.31,87.44,89.25,9.466,1698800.0,0.0,1.0
2000-07-13,88.25,89.12,85.25,85.75,9.0947,1125500.0,0.0,1.0
2000-07-14,85.75,86.5,83.25,84.5,8.9622,1437300.0,0.0,1.0
2000-07-17,84.5,87.56,83.88,86.94,9.221,1006700.0,0.0,1.0
2000-07-18,83.0,84.31,81.62,83.25,8.8296,2285500.0,0.0,1.0
2000-07-19,84.5,85.25,83.75,83.94,8.9028,713100.0,0.0,1.0
2000-07-20,84.0,85.31,82.62,84.88,9.0025,552900.0,0.0,1.0
2000-07-21,85.88,86.0,84.12,85.0,9.0152,466800.0,0.0,1.0
2000-07-24,84.5,85.06,81.81,82.31,8.7299,702400.0,0.0,1.0
2000-07-25,82.31,82.44,78.75,78.75,8.3523,1319300.0,0.0,1.0
2000-07-26,78.75,79.94,78.12,78.19,8.2929,1487600.0,0.0,1.0
2000-07-27,78.38,82.62,78.38,81.88,8.6843,1437300.0,0.0,1.0
2000-07-28,81.81,82.44,80.88,81.19,8.6111,592800.0,0.0,1.0
2000-07-31,81.56,83.5,81.19,81.81,8.6769,680000.0,0.0,1.0
2000-08-01,81.31,84.06,81.31,83.44,8.8497,486900.0,0.0,1.0
2000-08-02,82.5,84.75,81.81,83.62,8.8688,1188600.0,0.0,1.0
2000-08-03,82.75,85.0,81.88,84.94,9.0088,1564700.0,0.0,1.0
2000-08-04,85.5,88.0,85.5,87.69,9.3005,1148500.0,0.0,1.0
2000-08-07,88.25,89.5,87.94,87.94,9.327,777400.0,0.0,1.0
2000-08-08,88.5,88.69,86.88,87.0,9.2273,863200.0,0.0,1.0
2000-08-09,87.0,88.12,85.5,87.88,9.3207,778100.0,0.0,1.0
2000-08-10,87.75,88.69,86.81,88.38,9.3737,568200.0,0.0,1.0
2000-08-11,87.88,92.5,87.88,92.25,9.7841,1460200.0,0.0,1.0
2000-08-14,92.5,94.38,92.5,93.5,9.9167,975200.0,0.0,1.0
2000-08-15,92.62,93.25,92.06,93.06,9.8701,737300.0,0.0,1.0
2000-08-16,93.38,93.38,91.62,92.19,9.7778,468600.0,0.0,1.0
2000-08-17,91.69,94.62,91.69,92.81,9.8435,598300.0,0.0,1.0
2000-08-18,92.88,92.88,90.25,91.38,9.6919,1004800.0,0.0,1.0
