date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,52.63,52.94,51.38,51.5,18.6287,5729000.0,0.0,1.0
2000-06-30,51.63,51.69,49.5,50.81,18.3791,12598300.0,0.0,1.0
2000-07-03,50.63,55.13,50.63,55.0,20.0172,3678300.0,0.3385,1.0
2000-07-05,55.75,56.88,54.13,54.44,19.8133,6478400.0,0.0,1.0
2000-07-06,54.5,56.19,53.5,53.81,19.601,4175200.0,0.0465,1.0
2000-07-07,54.06,56.0,54.06,55.38,20.1729,4561200.0,0.0,1.0
2000-07-10,55.0,55.63,54.56,54.69,19.9215,4281200.0,0.0,1.0
2000-07-11,53.5,54.06,52.31,52.56,19.1457,5150200.0,0.0,1.0
2000-07-12,52.94,53.25,51.94,52.13,18.989,4965500.0,0.0,1.0
2000-07-13,52.0,52.38,51.0,51.5,18.7595,6625700.0,0.0,1.0
2000-07-14,49.25,50.13,49.0,49.5,18.031,9555600.0,0.0,1.0
2000-07-17,49.75,49.94,48.63,49.5,18.031,6375900.0,0.0,1.0
2000-07-18,48.63,49.0,48.25,48.81,17.7797,7755800.0,0.0,1.0
2000-07-19,48.38,48.81,46.94,47.0,17.1204,8176000.0,0.0,1.0
2000-07-20,46.25,46.63,43.25,44.25,16.1186,17728600.0,0.0,1.0
2000-07-21,45.88,48.5,45.88,48.0,17.4846,16942100.0,0.0,1.0
2000-07-24,48.5,49.19,48.25,48.75,17.7578,8015100.0,0.0,1.0
2000-07-25,49.25,49.25,48.38,48.56,17.6886,5652400.0,0.0,1.0
2000-07-26,49.13,49.13,47.0,47.0,17.1204,6466700.0,0.0,1.0
2000-07-27,47.38,48.5,46.63,47.0,17.1204,6432500.0,0.0,1.0
2000-07-28,47.5,47.81,46.63,47.0,17.1204,5584200.0,0.0,1.0
2000-07-31,47.0,47.69,46.75,46.75,17.0293,5132200.0,0.0,1.0
2000-08-01,47.5,48.13,47.06,47.94,17.4628,5166200.0,0.0,1.0
2000-08-02,47.88,48.94,47.5,47.88,17.4409,4283700.0,0.0,1.0
2000-08-03,47.63,48.25,47.0,48.0,17.4846,5081800.0,0.0,1.0
2000-08-04,47.0,47.13,45.69,46.94,17.0985,8272700.0,0.0,1.0
2000-08-07,47.19,48.31,46.56,47.88,17.4409,5941800.0,0.0,1.0
2000-08-08,44.88,44.88,41.25,42.5,15.4812,37191500.0,0.0,1.0
2000-08-09,42.25,42.5,39.06,40.38,14.7089,24668400.0,0.0,1.0
2000-08-10,40.38,42.13,39.69,42.13,15.3464,9989800.0,0.0,1.0
2000-08-11,41.38,42.5,40.75,41.5,15.1169,9234100.0,0.0,1.0
2000-08-14,41.0,43.25,41.0,42.5,15.4812,6881500.0,0.0,1.0
2000-08-15,41.56,42.31,41.5,42.0,15.299,6960700.0,0.0,1.0
2000-08-16,41.75,41.94,41.19,41.75,15.208,9271300.0,0.0,1.0
2000-08-17,41.19,41.44,40.0,40.75,14.8437,12344300.0,0.0,1.0
2000-08-18,40.06,42.75,40.06,42.44,15.4593,17813000.0,0.0,1.0
2000-08-21,43.5,43.81,42.75,42.81,15.5941,11642600.0,0.0,1.0
2000-08-22,43.06,43.25,41.13,41.75,15.208,8332800.0,0.0,1.0
2000-08-23,41.19,41.63,40.5,40.5,14.7527,8176200.0,0.0,1.0
2000-08-24,41.44,41.88,40.81,41.63,15.1643,7333200.0,0.0,1.0
2000-08-25,42.25,43.31,42.06,43.13,15.7107,7144900.0,0.0,1.0
2000-08-28,44.0,44.94,43.06,43.81,15.9584,9847200.0,0.0,1.0
2000-08-29,44.13,44.19,42.63,42.88,15.6196,6001300.0,0.0,1.0
2000-08-30,42.75,44.38,42.69,44.25,16.1186,6372100.0,0.0,1.0
2000-08-31,44.25,44.5,43.38,43.52,15.8527,4975000.0,0.0,1.0
2000-09-01,43.5,44.31,43.5,44.06,16.0494,4301000.0,0.0,1.0
2000-09-05,44.0,44.25,42.25,43.5,15.8454,4340300.0,0.0,1.0
2000-09-06,43.19,43.88,42.63,42.63,15.5285,3898100.0,0.0,1.0
2000-09-07,42.88,43.94,42.75,43.63,15.8928,3990900.0,0.0,1.0
2000-09-08,43.5,44.31,43.25,44.31,16.1405,4889100.0,0.0,1.0
2000-09-11,44.38,45.31,43.81,45.06,16.4137,4637900.0,0.0,1.0
2000-09-12,44.25,45.25,43.88,44.88,16.3481,4125800.0,0.0,1.0
2000-09-13,44.88,44.88,43.38,43.38,15.8017,3914100.0,0.0,1.0
2000-09-14,43.13,43.63,43.06,43.5,15.8454,2949800.0,0.0,1.0
2000-09-15,43.63,43.94,43.13,43.19,15.7325,6580800.0,0.0,1.0
2000-09-18,43.19,43.88,43.19,43.38,15.8017,4141100.0,0.0,1.0
2000-09-19,43.81,44.13,43.38,43.68,15.911,3705300.0,0.0,1.0
2000-09-20,44.0,44.19,42.0,42.0,15.299,6462000.0,0.0,1.0
2000-09-21,42.31,42.88,41.0,41.25,15.0258,6064400.0,0.0,1.0
2000-09-22,42.63,43.44,42.19,43.44,15.8236,4303800.0,0.0,1.0
2000-09-25,43.56,44.25,43.0,43.13,15.7107,4671800.0,0.0,1.0
2000-09-26,42.88,44.13,42.75,43.38,15.8017,4334600.0,0.0,1.0
2000-09-27,43.63,43.88,42.56,43.44,15.8236,3699700.0,0.0,1.0
2000-09-28,43.44,47.5,43.44,47.25,17.2114,8112700.0,0.0,1.0
2000-09-29,47.38,49.94,46.5,48.44,17.6449,8200600.0,0.0,1.0
2000-10-02,47.5,48.06,47.13,47.38,17.2588,4862700.0,0.0,1.0
2000-10-03,47.38,48.75,47.31,47.63,17.3498,4695900.0,0.0,1.0
2000-10-04,47.75,49.88,47.63,49.44,18.0092,6658600.0,0.0,1.0
2000-10-05,49.5,52.19,49.31,51.88,19.0382,8503600.0,0.385,1.0
2000-10-06,52.13,52.13,49.75,50.38,18.4878,7121700.0,0.0,1.0
2000-10-09,49.63,50.38,49.19,49.63,18.2125,5050300.0,0.0,1.0
2000-10-10,49.88,50.19,48.56,48.56,17.8199,4475000.0,0.0,1.0
2000-10-11,47.5,48.38,46.19,46.44,17.0419,5584300.0,0.0,1.0
2000-10-12,46.06,47.06,45.44,45.94,16.8584,5202800.0,0.0,1.0
2000-10-13,46.0,46.88,45.44,46.5,17.0639,5205400.0,0.0,1.0
2000-10-16,46.5,47.31,45.19,46.44,17.0419,4887400.0,0.0,1.0
2000-10-17,46.25,48.5,46.25,48.38,17.7538,5377500.0,0.0,1.0
2000-10-18,48.0,48.31,47.06,47.81,17.5447,5486800.0,0.0,1.0
2000-10-19,47.5,48.38,47.31,48.06,17.6364,4586800.0,0.0,1.0
2000-10-20,47.5,48.88,47.44,48.44,17.7758,3602500.0,0.0,1.0
2000-10-23,48.0,50.13,47.69,49.69,18.2345,3816600.0,0.0,1.0
2000-10-24,50.5,50.75,49.75,50.19,18.418,4616800.0,0.0,1.0
2000-10-25,50.5,50.63,49.56,49.88,18.3043,4491700.0,0.0,1.0
2000-10-26,49.38,51.25,49.13,51.0,18.7153,5604600.0,0.0,1.0
2000-10-27,51.0,53.19,50.94,53.06,19.4712,6175700.0,0.0,1.0
2000-10-30,53.06,56.25,52.5,55.38,20.3226,10256200.0,0.0,1.0
2000-10-31,55.44,57.88,55.38,57.81,21.2143,10253500.0,0.0,1.0
2000-11-01,56.5,57.19,54.63,55.75,20.4584,9507300.0,0.0,1.0
2000-11-02,56.25,57.75,54.5,57.75,21.1923,8141400.0,0.0,1.0
2000-11-03,57.63,57.75,56.63,57.0,20.9171,7484700.0,0.0,1.0
2000-11-06,56.88,56.88,55.31,55.56,20.3886,4764300.0,0.0,1.0
2000-11-07,55.31,55.44,54.63,54.94,20.1611,4499500.0,0.0,1.0
2000-11-08,55.44,55.44,54.25,55.06,20.2052,3667300.0,0.0,1.0
2000-11-09,55.25,56.44,55.0,56.0,20.5501,6373100.0,0.0,1.0
2000-11-10,56.44,57.0,56.06,56.44,20.7116,5182300.0,0.0,1.0
