date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,29.31,30.63,29.13,30.06,21.7716,2476600.0,0.0,1.0
2000-06-30,30.5,32.29,30.44,32.19,23.3143,3311400.0,0.0,1.0
2000-07-03,31.69,32.19,31.31,31.75,22.9956,1012700.0,0.0,1.0
2000-07-05,32.25,32.25,29.0,30.0,21.7281,4257000.0,0.0,1.0
2000-07-06,30.38,31.63,30.13,31.63,22.9087,2525100.0,0.0,1.0
2000-07-07,31.75,32.5,31.38,32.31,23.4012,2012000.0,0.0,1.0
2000-07-10,32.13,33.5,31.94,32.63,23.633,2224900.0,0.0,1.0
2000-07-11,33.13,33.5,32.94,33.38,24.1762,1727300.0,0.0,1.0
2000-07-12,33.25,33.38,31.75,32.63,23.633,1685400.0,0.0,1.0
2000-07-13,32.31,32.31,30.81,30.94,22.4089,2067500.0,0.0,1.0
2000-07-14,30.44,31.56,30.44,31.25,22.6335,1884000.0,0.0,1.0
2000-07-17,31.13,31.69,30.94,31.22,22.6117,1946900.0,0.0,1.0
2000-07-18,30.88,31.5,30.81,31.19,22.59,1306700.0,0.0,1.0
2000-07-19,31.13,31.38,31.0,31.31,22.6769,984400.0,0.0,1.0
2000-07-20,31.38,31.69,30.88,31.63,22.9087,1246700.0,0.0,1.0
2000-07-21,31.69,32.06,31.56,32.0,23.1767,1645200.0,0.0,1.0
2000-07-24,32.06,32.25,31.19,31.31,22.6769,1334000.0,0.0,1.0
2000-07-25,31.5,31.5,30.56,31.19,22.59,1071400.0,0.0,1.0
2000-07-26,31.0,31.25,30.63,30.81,22.3148,1683600.0,0.0,1.0
2000-07-27,31.5,31.94,31.38,31.81,23.0391,1264000.0,0.0,1.0
2000-07-28,32.0,32.0,31.25,31.63,22.9087,2421100.0,0.0,1.0
2000-07-31,31.38,31.69,30.88,31.19,22.59,2472300.0,0.0,1.0
2000-08-01,31.31,31.31,30.19,30.94,22.4089,2334300.0,0.0,1.0
2000-08-02,30.63,31.31,30.56,31.31,22.6769,1320200.0,0.0,1.0
2000-08-03,31.69,31.81,30.81,31.06,22.4959,1784000.0,0.0,1.0
2000-08-04,31.06,32.19,30.81,32.0,23.1767,1712200.0,0.0,1.0
2000-08-07,31.94,32.38,31.69,31.88,23.0898,1552800.0,0.0,1.0
2000-08-08,32.19,32.88,32.0,32.88,23.814,1621700.0,0.0,1.0
2000-08-09,32.56,32.69,31.81,32.25,23.3577,1410600.0,0.0,1.0
2000-08-10,32.19,32.38,32.06,32.13,23.2708,967000.0,0.0,1.0
2000-08-11,32.75,34.5,32.5,34.25,24.8063,3671900.0,0.0,1.0
2000-08-14,34.25,34.69,33.75,34.19,24.7628,2269200.0,0.0,1.0
2000-08-15,34.0,34.06,32.88,32.88,23.814,2338600.0,0.0,1.0
2000-08-16,32.94,33.25,32.88,33.25,24.1064,1932900.0,0.0337,1.0
2000-08-17,33.5,34.19,33.31,33.5,24.2877,2154900.0,0.0,1.0
2000-08-18,34.0,34.69,33.81,34.5,25.0127,1619000.0,0.0,1.0
2000-08-21,34.56,34.56,33.63,34.19,24.7879,1009000.0,0.0,1.0
2000-08-22,34.5,34.56,33.94,34.56,25.0562,970800.0,0.0,1.0
2000-08-23,34.25,35.81,33.81,35.19,25.5129,2455400.0,0.0,1.0
2000-08-24,35.0,36.0,33.75,36.0,26.1002,1340700.0,0.0,1.0
2000-08-25,35.25,35.25,34.13,34.69,25.1504,1294400.0,0.0,1.0
2000-08-28,34.31,34.44,33.69,33.69,24.4254,1325900.0,0.0,1.0
2000-08-29,33.63,34.19,33.13,33.88,24.5632,1804100.0,0.0,1.0
2000-08-30,33.94,34.0,33.56,33.56,24.3312,1232900.0,0.0,1.0
2000-08-31,33.0,33.75,32.69,32.89,23.8454,2274300.0,0.0,1.0
2000-09-01,32.94,33.63,32.75,33.44,24.2442,1524900.0,0.0,1.0
2000-09-05,33.81,34.13,33.38,33.94,24.6067,1610200.0,0.0,1.0
2000-09-06,34.19,34.25,33.5,33.56,24.3312,1600100.0,0.0,1.0
2000-09-07,33.63,34.13,33.44,33.63,24.3819,2294400.0,0.0,1.0
2000-09-08,34.13,35.25,33.94,35.19,25.5129,2104800.0,0.0,1.0
2000-09-11,35.19,36.0,35.13,35.75,25.9189,2055500.0,0.0,1.0
2000-09-12,36.0,37.88,36.0,37.88,27.4632,3447000.0,0.0,1.0
2000-09-13,37.31,39.0,37.0,37.88,27.4632,3875800.0,0.0,1.0
2000-09-14,38.19,38.69,37.44,38.38,27.8257,2151700.0,0.0,1.0
2000-09-15,38.38,38.38,37.69,38.19,27.6879,2144700.0,0.0,1.0
2000-09-18,38.44,38.44,37.88,38.0,27.5502,1795800.0,0.0,1.0
