date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,55.31,55.38,53.56,54.13,37.3428,5290900.0,0.0,1.0
2000-06-30,54.13,57.73,54.06,57.63,39.7574,7622200.0,0.0,1.0
2000-07-03,57.25,57.38,56.13,56.88,39.24,2577300.0,0.0,1.0
2000-07-05,57.31,57.94,56.56,57.0,39.3228,5139800.0,0.0,1.0
2000-07-06,57.94,58.44,56.81,57.5,39.6677,5757800.0,0.0,1.0
2000-07-07,57.94,62.06,57.31,61.56,42.4686,10513400.0,0.0,1.0
2000-07-10,61.38,62.94,60.69,61.25,42.2547,8233700.0,0.0,1.0
2000-07-11,61.06,62.75,60.81,62.0,42.7721,5897600.0,0.0,1.0
2000-07-12,62.06,62.19,60.63,61.0,42.0823,5833600.0,0.0,1.0
2000-07-13,60.5,61.19,59.13,59.13,40.7922,4302600.0,0.0,1.0
2000-07-14,59.81,60.94,59.38,59.5,41.0475,4184100.0,0.0,1.0
2000-07-17,60.31,61.25,59.63,60.72,41.8891,4610700.0,0.0,1.0
2000-07-18,60.94,61.13,59.75,60.06,41.4338,3592100.0,0.0,1.0
2000-07-19,60.19,60.5,59.38,60.0,41.3924,3736400.0,0.0,1.0
2000-07-20,59.94,60.81,59.56,60.0,41.3924,4986800.0,0.0,1.0
2000-07-21,60.31,60.5,59.25,59.69,41.1785,3911000.0,0.0,1.0
2000-07-24,59.0,59.19,57.19,57.44,39.6263,5045800.0,0.0,1.0
2000-07-25,57.5,59.31,57.31,59.19,40.8336,4122000.0,0.0,1.0
2000-07-26,58.19,60.13,58.19,58.75,40.5301,7322100.0,0.0,1.0
2000-07-27,59.38,60.31,59.0,60.06,41.4338,4744800.0,0.0,1.0
2000-07-28,59.81,59.94,57.25,58.69,40.4887,5247600.0,0.0,1.0
2000-07-31,58.88,58.88,54.25,55.25,38.1155,7534300.0,0.0,1.0
2000-08-01,54.0,54.94,53.0,54.5,37.5981,9055300.0,0.0,1.0
2000-08-02,54.5,55.06,53.81,54.06,37.2946,6734800.0,0.0,1.0
2000-08-03,56.5,56.5,53.44,53.88,37.1704,8229100.0,0.0,1.0
