date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,81.56,82.0,81.0,81.2,23.0737,4716500.0,0.0,1.0
2000-06-30,80.69,80.94,77.69,78.5,22.3064,9958700.0,0.0,1.0
2000-07-03,78.81,79.75,78.75,79.55,22.6048,4294400.0,0.0,1.0
2000-07-05,78.94,78.94,76.56,76.94,21.8631,6871100.0,0.0,1.0
2000-07-06,77.75,79.38,77.56,78.19,22.2183,5478700.0,0.0,1.0
2000-07-07,78.63,79.38,78.0,78.52,22.3121,4639100.0,0.0,1.0
2000-07-10,78.5,79.19,78.0,78.13,22.2013,3216500.0,0.0,1.0
2000-07-11,78.13,80.75,78.13,80.56,22.8918,4434900.0,0.0,1.0
2000-07-12,80.31,80.5,78.61,78.61,22.3377,3776200.0,0.0,1.0
2000-07-13,78.5,78.63,77.38,78.0,22.1643,3951900.0,0.0,1.0
2000-07-14,77.44,77.88,76.44,77.56,22.0393,4984200.0,0.0,1.0
2000-07-17,79.94,79.94,77.75,78.75,22.3775,5468900.0,0.0,1.0
2000-07-18,78.06,78.94,77.5,78.19,22.2183,6154400.0,0.0,1.0
2000-07-19,78.63,79.31,78.13,78.69,22.3604,4309800.0,0.0,1.0
2000-07-20,78.56,79.5,78.0,78.13,22.2013,3896300.0,0.0,1.0
2000-07-21,78.69,78.75,76.88,77.13,21.9171,4178200.0,0.0,1.0
2000-07-24,77.0,77.31,75.88,77.25,21.9512,4158000.0,0.0,1.0
2000-07-25,77.0,77.5,75.13,75.38,21.4199,5505700.0,0.0,1.0
2000-07-26,76.31,76.88,75.75,76.19,21.65,8628200.0,0.0,1.0
2000-07-27,77.0,81.0,77.0,80.5,22.8747,8393900.0,0.0,1.0
2000-07-28,80.06,80.94,79.63,80.0,22.7327,3993600.0,0.0,1.0
2000-07-31,80.06,81.13,79.19,80.19,22.7867,5820300.0,0.0,1.0
2000-08-01,80.94,81.56,79.75,80.0,22.7327,6177300.0,0.0,1.0
2000-08-02,81.44,83.13,81.25,82.88,23.551,8254400.0,0.0,1.0
2000-08-03,82.75,83.56,81.0,81.44,23.1419,4952900.0,0.0,1.0
2000-08-04,81.25,82.13,79.94,81.7,23.2157,4012700.0,0.0,1.0
2000-08-07,80.88,81.44,80.69,80.89,22.9856,3673300.0,0.0,1.0
2000-08-08,80.88,81.19,80.38,80.8,22.96,3136900.0,0.0,1.0
2000-08-09,81.63,82.25,81.06,81.06,23.0339,4738600.0,0.0,1.0
2000-08-10,81.0,82.06,81.0,81.0,23.1419,3521700.0,0.44,1.0
2000-08-11,82.44,82.44,81.13,81.38,23.2504,3057200.0,0.0,1.0
2000-08-14,82.19,83.0,81.56,82.56,23.5875,3271700.0,0.0,1.0
2000-08-15,83.0,83.38,81.25,81.31,23.2304,3582900.0,0.0,1.0
2000-08-16,81.69,82.56,81.63,82.38,23.5361,3647300.0,0.0,1.0
2000-08-17,82.75,84.0,82.75,83.81,23.9447,4175700.0,0.0,1.0
2000-08-18,83.19,83.69,82.25,82.94,23.6961,4148900.0,0.0,1.0
2000-08-21,83.0,83.75,82.75,83.5,23.8561,2576000.0,0.0,1.0
2000-08-22,83.81,84.0,83.0,83.13,23.7504,3233600.0,0.0,1.0
2000-08-23,83.75,84.75,83.75,84.5,24.1418,4645300.0,0.0,1.0
2000-08-24,83.38,83.38,82.5,82.94,23.6961,5602500.0,0.0,1.0
2000-08-25,83.0,83.69,82.44,82.94,23.6961,3200900.0,0.0,1.0
2000-08-28,82.69,83.81,82.56,82.81,23.659,2944000.0,0.0,1.0
2000-08-29,82.81,83.0,82.25,82.52,23.5761,3208400.0,0.0,1.0
2000-08-30,82.31,82.38,81.19,81.36,23.2447,3852000.0,0.0,1.0
2000-08-31,81.75,82.25,81.38,81.64,23.3247,3865400.0,0.0,1.0
2000-09-01,82.0,82.88,81.75,82.5,23.5704,4042400.0,0.0,1.0
2000-09-05,83.13,83.5,82.56,83.38,23.8218,5964100.0,0.0,1.0
2000-09-06,83.56,84.06,83.0,83.0,23.7133,5946600.0,0.0,1.0
2000-09-07,83.5,84.19,83.5,83.75,23.9275,3648700.0,0.0,1.0
