date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,47.75,49.5,47.5,49.5,1268667.0
2000-05-12,49.13,50.63,49.0,50.25,3613200.0
2000-05-15,50.5,52.38,50.19,52.19,3887300.0
2000-05-16,52.56,52.63,51.06,51.13,4043600.0
2000-05-17,51.0,51.75,50.25,50.94,3567800.0
2000-05-18,50.75,52.31,50.75,51.81,3115600.0
2000-05-19,50.81,51.13,49.75,50.31,3258000.0
2000-05-22,50.25,50.63,48.69,49.63,3427700.0
2000-05-23,49.25,50.88,49.25,50.75,3483300.0
2000-05-24,50.75,52.38,49.38,50.0,4939300.0
2000-05-25,50.0,51.19,48.5,48.88,4409100.0
2000-05-26,49.25,49.94,48.69,49.06,1971000.0
2000-05-30,49.63,50.75,49.63,50.63,1958000.0
2000-05-31,50.69,52.25,50.25,51.44,5440000.0
2000-06-01,53.81,54.88,53.0,53.88,4736400.0
2000-06-02,55.81,57.0,55.5,56.5,5285200.0
2000-06-05,56.25,56.25,54.81,55.63,3301400.0
2000-06-06,55.38,55.38,53.5,54.0,4159300.0
2000-06-07,54.25,56.94,54.19,56.44,3259900.0
2000-06-08,56.19,56.5,55.0,55.0,2928300.0
2000-06-09,55.5,56.31,53.5,53.81,2784300.0
2000-06-12,53.75,54.5,53.5,53.65,2644400.0
2000-06-13,53.75,54.69,52.81,54.5,2826500.0
2000-06-14,54.75,57.19,54.63,56.75,4399100.0
2000-06-15,56.38,56.88,53.94,55.5,4454100.0
2000-06-16,55.5,55.69,51.38,51.5,6841100.0
2000-06-19,52.19,55.06,51.94,53.5,4895500.0
2000-06-20,52.75,54.63,52.75,54.0,3512000.0
2000-06-21,54.06,54.06,52.13,52.63,2462400.0
2000-06-22,52.38,53.5,51.94,53.44,3638400.0
2000-06-23,53.44,54.31,52.75,53.63,3236400.0
2000-06-26,53.63,56.5,53.56,56.19,3620900.0
2000-06-27,56.0,56.31,53.75,54.19,3542200.0
2000-06-28,53.19,54.94,53.19,53.25,4753500.0
2000-06-29,52.81,53.19,52.0,52.5,3474000.0
2000-06-30,51.69,52.23,51.0,52.13,4835700.0
2000-07-03,50.88,52.63,50.88,52.38,1726700.0
2000-07-05,52.75,52.94,51.56,52.13,3549700.0
2000-07-06,51.31,52.06,50.69,51.94,4151200.0
2000-07-07,52.5,53.81,52.06,53.75,4055900.0
2000-07-10,53.63,55.06,52.81,54.88,4046400.0
2000-07-11,54.88,55.44,53.25,54.06,3928900.0
2000-07-12,54.25,55.56,53.69,55.0,3996900.0
2000-07-13,55.63,55.63,54.63,55.06,2042400.0
2000-07-14,55.19,57.13,54.94,56.56,3933000.0
2000-07-17,57.0,57.38,55.0,56.31,4145400.0
2000-07-18,56.0,56.06,54.25,55.19,3535700.0
2000-07-19,55.13,55.69,54.5,55.06,2607100.0
2000-07-20,55.13,57.75,55.13,56.88,3858400.0
2000-07-21,56.75,59.56,56.75,59.25,6136200.0
2000-07-24,59.25,59.75,56.19,57.06,4547800.0
2000-07-25,57.25,57.63,55.63,55.88,4227900.0
2000-07-26,55.19,56.88,55.13,55.63,4209000.0
2000-07-27,56.25,58.44,56.13,58.31,3773300.0
2000-07-28,58.75,58.75,55.06,56.0,4403800.0
2000-07-31,55.88,57.38,55.81,56.69,3560700.0
2000-08-01,57.0,57.5,56.5,56.94,2388200.0
2000-08-02,56.94,57.94,56.19,57.38,3158500.0
2000-08-03,55.88,58.56,55.88,58.0,3947900.0
2000-08-04,58.88,60.19,58.19,59.81,4312400.0
2000-08-07,59.25,59.81,58.19,58.31,4084700.0
2000-08-08,58.88,58.88,57.5,58.75,3250800.0
2000-08-09,58.13,60.13,58.13,59.63,3654200.0
2000-08-10,59.69,60.0,58.5,58.63,2657400.0
2000-08-11,58.75,60.44,58.44,59.75,3614000.0
2000-08-14,60.13,60.44,58.75,60.0,2806100.0
2000-08-15,59.94,59.94,58.69,59.19,3155400.0
2000-08-16,58.75,59.69,57.63,57.94,3070900.0
2000-08-17,57.44,59.0,57.31,58.5,2771200.0
2000-08-18,59.0,59.19,58.25,58.5,2375800.0
2000-08-21,59.0,60.06,58.75,59.13,2775800.0
2000-08-22,59.5,59.63,57.44,57.94,4134000.0
2000-08-23,58.31,58.31,57.0,57.31,3717100.0
2000-08-24,58.0,58.0,55.75,56.5,4558200.0
2000-08-25,56.63,57.19,56.56,56.56,2471900.0
2000-08-28,57.5,59.94,57.0,59.88,4912600.0
2000-08-29,59.13,59.69,58.31,59.25,3513500.0
2000-08-30,58.81,59.69,58.63,58.94,2291200.0
2000-08-31,59.0,60.38,59.0,59.02,3959800.0
2000-09-01,59.5,59.88,58.38,58.44,2118700.0
2000-09-05,58.44,59.94,58.38,59.75,2713400.0
2000-09-06,60.0,61.88,59.5,60.0,4184200.0
2000-09-07,60.0,60.0,58.5,59.31,1843000.0
2000-09-08,59.19,60.69,58.94,60.63,3522100.0
2000-09-11,60.0,61.94,60.0,61.81,3804500.0
2000-09-12,61.94,61.94,60.56,61.38,3488400.0
2000-09-13,61.88,62.25,60.31,61.31,3613000.0
2000-09-14,61.19,61.88,60.5,60.81,2419900.0
2000-09-15,60.56,61.19,58.75,59.31,4973700.0
2000-09-18,58.69,59.0,58.0,58.0,2965300.0
2000-09-19,58.0,59.88,58.0,59.81,3512800.0
2000-09-20,57.56,58.19,56.38,58.0,4064500.0
