date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,38.63,39.56,37.69,38.81,1308800.0
2000-05-12,38.69,39.88,38.63,39.38,963900.0
2000-05-15,39.69,40.75,39.56,40.56,1765500.0
2000-05-16,41.06,41.75,40.19,40.25,2033000.0
2000-05-17,40.5,40.69,39.88,40.0,763300.0
2000-05-18,39.94,40.0,38.5,38.81,1779600.0
2000-05-19,38.88,40.44,38.5,40.06,1971100.0
2000-05-22,40.13,40.69,39.63,40.19,1221500.0
2000-05-23,40.44,40.69,39.0,39.5,1002800.0
2000-05-24,38.75,40.5,38.75,39.69,1037500.0
2000-05-25,39.44,39.88,37.81,38.06,1381900.0
2000-05-26,38.5,38.81,37.88,38.13,954100.0
2000-05-30,38.44,38.81,38.13,38.31,807100.0
2000-05-31,37.88,38.38,37.88,38.06,1462700.0
2000-06-01,38.88,40.0,38.81,39.75,1417700.0
2000-06-02,41.38,42.5,40.25,41.06,2245700.0
2000-06-05,40.25,40.88,38.56,40.0,1935800.0
2000-06-06,39.5,39.56,38.19,39.06,1848700.0
2000-06-07,38.75,38.81,38.13,38.81,1508800.0
2000-06-08,38.44,38.44,37.69,38.13,1209400.0
2000-06-09,38.31,38.56,37.75,38.25,909800.0
2000-06-12,37.75,39.06,37.69,38.63,1317800.0
2000-06-13,38.56,38.56,37.0,37.25,1577400.0
2000-06-14,37.25,38.25,37.13,37.63,1646300.0
2000-06-15,37.38,38.0,36.81,37.0,1351700.0
2000-06-16,36.94,37.13,35.88,35.94,2755200.0
2000-06-19,36.31,36.5,35.13,35.13,1851600.0
2000-06-20,35.13,35.69,35.0,35.06,1606200.0
2000-06-21,35.06,35.5,34.94,35.13,1284500.0
2000-06-22,35.06,35.38,34.31,34.44,1745100.0
2000-06-23,34.63,35.13,34.44,34.63,893700.0
2000-06-26,34.75,35.69,34.69,34.81,979500.0
2000-06-27,34.69,36.5,34.69,35.69,1377400.0
2000-06-28,36.5,36.75,36.0,36.16,1263600.0
2000-06-29,35.5,35.5,34.75,35.0,1207700.0
2000-06-30,34.75,35.31,33.81,33.88,2336000.0
2000-07-03,34.25,36.06,34.19,36.0,851200.0
2000-07-05,34.88,35.44,34.31,35.19,1662300.0
2000-07-06,35.63,35.63,34.81,34.81,1216700.0
2000-07-07,34.88,34.94,33.94,33.94,1757200.0
2000-07-10,34.19,35.38,34.19,34.25,1542000.0
2000-07-11,34.5,36.69,34.5,36.13,2528400.0
2000-07-12,36.94,37.0,35.75,36.56,1618300.0
2000-07-13,36.5,36.63,35.88,35.94,1719000.0
2000-07-14,35.88,36.06,35.13,35.75,1499600.0
2000-07-17,35.5,36.19,35.0,35.72,1338600.0
2000-07-18,37.13,38.25,36.88,37.75,4223100.0
2000-07-19,38.56,38.56,37.69,37.94,3173100.0
2000-07-20,38.19,38.44,36.5,37.06,2520800.0
2000-07-21,37.0,37.19,36.38,36.5,1888800.0
2000-07-24,36.38,36.5,36.13,36.25,830100.0
2000-07-25,36.25,36.63,35.88,35.88,1181500.0
2000-07-26,35.56,35.75,34.75,34.75,1706600.0
2000-07-27,34.94,35.38,34.63,34.88,1321100.0
