date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,81.5,83.25,80.44,80.88,2276000.0
2000-05-12,80.25,84.88,80.25,83.77,1911200.0
2000-05-15,83.81,88.0,83.81,87.06,1668900.0
2000-05-16,88.0,89.25,84.0,85.5,2538400.0
2000-05-17,85.13,86.0,83.0,84.69,1231000.0
2000-05-18,83.88,87.5,83.88,85.25,1493000.0
2000-05-19,84.25,85.0,82.13,84.56,1537500.0
2000-05-22,83.5,83.88,80.63,82.0,1345600.0
2000-05-23,81.88,85.5,81.5,82.81,1203900.0
2000-05-24,82.63,83.63,79.5,80.0,1530200.0
2000-05-25,80.5,83.38,71.94,73.0,4030100.0
2000-05-26,73.13,73.38,69.38,69.81,2378100.0
2000-05-30,71.5,73.44,70.63,72.0,2205300.0
2000-05-31,72.0,74.88,71.13,73.56,1363800.0
2000-06-01,74.56,77.69,73.63,76.38,1684900.0
2000-06-02,84.5,87.25,83.5,86.88,3567900.0
2000-06-05,86.88,87.88,84.5,84.5,1576600.0
2000-06-06,84.0,85.13,81.75,83.13,1033200.0
2000-06-07,82.88,88.0,82.38,86.69,1319900.0
2000-06-08,86.88,87.63,85.06,85.06,1255000.0
2000-06-09,85.13,86.56,83.25,83.25,1006800.0
2000-06-12,83.31,84.31,81.75,83.31,732800.0
2000-06-13,83.5,85.75,82.63,85.13,773200.0
2000-06-14,85.19,90.38,84.81,89.94,1953600.0
2000-06-15,89.94,90.81,87.0,90.25,2120900.0
2000-06-16,90.25,91.44,87.63,89.94,1792300.0
2000-06-19,90.19,93.0,89.5,91.63,2092900.0
2000-06-20,91.5,93.44,87.38,89.0,2362600.0
2000-06-21,88.0,88.38,84.25,86.63,2875200.0
2000-06-22,86.63,86.63,82.0,84.25,1480100.0
2000-06-23,85.25,87.0,84.0,86.0,1616700.0
2000-06-26,86.75,88.0,85.75,87.75,1175700.0
2000-06-27,87.75,89.38,87.63,88.31,1175700.0
2000-06-28,88.0,90.94,88.0,89.88,1180400.0
2000-06-29,90.13,93.13,88.31,92.63,1385400.0
2000-06-30,93.0,95.94,92.56,94.77,2540600.0
2000-07-03,94.38,94.94,93.44,94.94,453100.0
2000-07-05,94.38,97.0,93.88,95.94,1077000.0
