date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,104.0,107.5,103.19,104.44,8106200.0
2000-05-12,103.75,105.75,103.25,104.44,5599700.0
2000-05-15,104.0,104.87,102.0,104.19,5907800.0
2000-05-16,105.12,109.25,105.0,109.0,7265800.0
2000-05-17,107.5,108.87,106.12,107.87,5524500.0
2000-05-18,106.12,107.31,104.69,106.06,4577200.0
2000-05-19,106.06,107.5,105.0,106.44,6419200.0
2000-05-22,106.0,109.25,103.44,109.25,6769400.0
2000-05-23,109.0,110.0,107.12,107.37,5978900.0
2000-05-24,106.5,110.0,104.19,109.62,8184200.0
2000-05-25,110.5,112.25,106.37,106.5,5967600.0
2000-05-26,105.5,107.19,104.56,106.94,4296900.0
2000-05-30,107.75,111.0,107.69,110.94,3617500.0
2000-05-31,110.5,110.75,107.19,107.31,3732500.0
2000-06-01,107.56,108.94,105.5,106.0,5712500.0
2000-06-02,109.0,109.75,107.62,108.81,5473300.0
2000-06-05,108.44,114.19,108.44,112.81,7281400.0
2000-06-06,112.25,114.62,111.25,112.37,5369400.0
2000-06-07,112.5,121.75,111.5,121.0,11115500.0
2000-06-08,119.37,122.31,117.5,119.75,9325600.0
2000-06-09,119.87,120.75,118.87,119.69,4739100.0
2000-06-12,119.12,120.44,118.84,118.84,3640300.0
2000-06-13,118.87,119.94,116.75,119.31,4008600.0
2000-06-14,118.87,120.0,115.5,116.0,5282600.0
2000-06-15,116.0,119.0,115.87,116.81,5386300.0
2000-06-16,116.31,117.69,113.25,113.25,8046200.0
2000-06-19,113.5,120.37,113.25,120.37,6059200.0
2000-06-20,120.0,120.69,115.37,116.37,7103800.0
2000-06-21,115.56,115.94,113.5,114.5,6487000.0
2000-06-22,114.12,114.31,111.25,111.81,4853100.0
2000-06-23,113.5,113.62,110.81,111.87,3360900.0
2000-06-26,113.0,115.75,112.87,114.41,3625900.0
2000-06-27,111.62,112.81,108.75,109.75,6607900.0
2000-06-28,110.0,115.19,109.87,113.78,6436600.0
2000-06-29,111.75,114.37,110.06,114.0,7688500.0
