date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,53.81,53.81,53.0,53.56,7959700.0
2000-05-12,53.0,53.0,51.5,52.25,3749100.0
2000-05-15,52.0,52.75,51.0,51.75,4028300.0
2000-05-16,50.75,50.75,48.63,48.94,8238300.0
2000-05-17,48.63,49.19,48.0,48.25,4224300.0
2000-05-18,48.25,49.88,48.19,49.44,4049300.0
2000-05-19,49.06,50.31,49.06,50.06,5026800.0
2000-05-22,50.06,50.69,49.44,50.69,4858200.0
2000-05-23,50.0,50.19,49.69,50.0,3605000.0
2000-05-24,50.25,53.06,50.19,52.69,5394000.0
2000-05-25,52.56,52.94,52.0,52.69,3865900.0
2000-05-26,53.25,55.0,53.25,54.56,6190100.0
2000-05-30,54.94,55.0,53.06,53.88,3725600.0
2000-05-31,53.56,53.88,52.75,53.38,2770500.0
2000-06-01,53.19,54.63,53.06,53.25,2996900.0
2000-06-02,53.25,53.25,52.13,52.56,3162400.0
2000-06-05,52.31,52.88,51.75,52.0,2418700.0
2000-06-06,51.13,51.94,51.06,51.81,3304600.0
2000-06-07,52.0,53.25,51.88,53.0,3432600.0
2000-06-08,52.13,53.0,51.88,52.81,3889500.0
2000-06-09,52.81,53.38,52.13,52.31,2483000.0
2000-06-12,52.31,53.44,52.25,52.63,2061300.0
2000-06-13,53.0,54.0,52.81,53.38,2813100.0
2000-06-14,53.56,54.13,52.38,53.0,5082900.0
2000-06-15,53.88,56.13,53.81,55.88,10336200.0
2000-06-16,56.13,56.19,55.13,55.5,7165200.0
2000-06-19,54.0,54.88,54.0,54.44,3494900.0
2000-06-20,53.31,53.63,52.69,52.94,3473900.0
2000-06-21,53.94,54.31,53.0,53.5,4390300.0
2000-06-22,53.25,56.5,53.0,56.13,5832300.0
2000-06-23,56.0,58.31,55.63,57.88,7673000.0
2000-06-26,57.94,59.25,57.5,59.0,4950200.0
2000-06-27,58.75,58.88,57.5,57.88,5214800.0
2000-06-28,58.5,60.88,58.38,60.05,9494500.0
2000-06-29,59.88,60.19,58.75,59.06,6371600.0
2000-06-30,58.13,58.81,56.25,57.44,9561400.0
2000-07-03,58.13,58.5,57.81,58.19,3853600.0
2000-07-05,59.13,59.19,58.25,58.75,3480200.0
2000-07-06,58.31,58.94,57.81,58.94,2520600.0
2000-07-07,58.69,59.25,58.38,58.75,2521600.0
2000-07-10,58.63,58.69,57.25,57.56,3223600.0
2000-07-11,56.88,57.5,55.81,56.19,4067100.0
2000-07-12,55.31,56.5,55.25,56.13,3576900.0
2000-07-13,56.5,58.13,56.44,57.94,4225300.0
2000-07-14,57.88,58.44,57.0,57.63,2324000.0
2000-07-17,57.56,57.63,56.56,57.34,3501500.0
2000-07-18,57.31,58.75,56.63,58.19,3797600.0
2000-07-19,58.94,60.63,58.75,60.5,8217700.0
2000-07-20,60.5,60.69,59.88,60.5,4612800.0
2000-07-21,60.56,61.25,60.36,60.86,4070600.0
2000-07-24,60.0,60.0,59.06,59.25,3404100.0
2000-07-25,59.19,59.31,58.81,59.25,2332200.0
2000-07-26,59.38,60.0,58.63,58.81,5081200.0
2000-07-27,59.81,61.19,59.69,60.44,4558600.0
2000-07-28,60.31,63.0,60.06,62.69,6809500.0
2000-07-31,62.06,62.38,61.25,61.31,4008500.0
2000-08-01,61.81,64.0,61.31,63.0,4660700.0
2000-08-02,63.0,63.06,62.25,62.94,3331200.0
2000-08-03,62.06,63.75,62.06,63.0,3326700.0
2000-08-04,62.63,62.63,61.13,62.13,3003300.0
2000-08-07,61.56,61.75,61.13,61.38,2131800.0
2000-08-08,62.38,62.38,60.5,60.94,3067900.0
2000-08-09,60.31,60.44,59.69,59.81,3555800.0
2000-08-10,60.38,61.75,60.06,61.0,3107400.0
2000-08-11,61.06,62.75,61.0,62.25,3082700.0
2000-08-14,62.25,63.25,62.25,63.06,2664700.0
2000-08-15,62.31,62.56,61.63,62.0,2201300.0
2000-08-16,61.38,61.38,59.5,60.69,5864600.0
2000-08-17,60.19,60.63,59.56,59.69,2917000.0
2000-08-18,59.5,60.31,59.5,60.31,2637300.0
2000-08-21,59.75,59.94,59.13,59.81,2867500.0
2000-08-22,59.81,59.94,58.0,58.0,2121700.0
2000-08-23,58.94,59.19,57.94,58.79,3503700.0
2000-08-24,58.31,59.0,57.88,57.94,2309600.0
2000-08-25,57.38,57.44,55.0,56.0,6951000.0
2000-08-28,57.25,57.75,56.69,57.0,6312900.0
2000-08-29,56.75,56.88,56.06,56.31,2967300.0
2000-08-30,55.5,56.0,53.81,54.25,4696400.0
2000-08-31,54.19,54.19,51.5,52.64,8061900.0
2000-09-01,54.0,54.5,53.38,54.25,5026500.0
2000-09-05,54.0,57.06,53.5,56.31,5611500.0
2000-09-06,54.88,54.94,54.06,54.31,4927000.0
2000-09-07,54.38,54.56,53.25,54.0,3729100.0
2000-09-08,54.25,55.19,53.81,54.56,2626800.0
2000-09-11,54.25,54.69,52.31,53.0,3923000.0
2000-09-12,52.75,53.88,52.19,53.5,4124000.0
2000-09-13,53.5,53.69,52.06,52.5,3493200.0
2000-09-14,51.81,51.88,49.94,51.0,5590800.0
2000-09-15,51.0,52.13,50.5,50.81,6186900.0
2000-09-18,51.0,53.5,50.75,53.13,4379900.0
2000-09-19,53.31,53.5,52.06,52.88,3815200.0
2000-09-20,52.63,52.69,49.44,50.25,7345100.0
2000-09-21,49.75,50.81,49.19,49.56,5123600.0
2000-09-22,51.0,52.94,50.88,52.88,8174500.0
2000-09-25,52.63,54.25,52.63,53.56,4039800.0
2000-09-26,53.63,55.13,53.25,54.94,5134700.0
2000-09-27,54.94,55.88,54.0,55.63,5207300.0
2000-09-28,55.44,55.63,54.13,55.44,4176600.0
2000-09-29,55.56,56.63,55.0,55.13,5981300.0
2000-10-02,55.5,57.0,55.25,57.0,4758000.0
2000-10-03,57.13,57.38,56.13,56.31,3690400.0
2000-10-04,56.56,57.25,56.0,57.25,4139500.0
2000-10-05,57.31,59.38,57.31,59.13,5298200.0
2000-10-06,58.94,59.19,57.75,58.44,4808700.0
2000-10-09,58.19,58.81,57.81,57.81,2036500.0
2000-10-10,57.81,59.31,57.06,58.19,3140300.0
