date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,86.31,86.88,85.56,85.94,1173700.0
2000-05-12,85.25,86.0,84.5,84.88,919200.0
2000-05-15,85.38,86.94,85.31,85.94,1317500.0
2000-05-16,86.19,91.31,85.56,90.06,2025700.0
2000-05-17,88.38,89.13,87.63,88.0,1096500.0
2000-05-18,88.19,88.63,87.0,87.06,799800.0
2000-05-19,86.19,86.63,83.75,84.5,1374700.0
2000-05-22,84.75,85.38,83.38,84.19,1284300.0
2000-05-23,84.19,84.69,83.25,84.13,764200.0
2000-05-24,85.0,88.75,85.0,88.19,1620500.0
2000-05-25,87.31,88.25,84.0,84.94,1256400.0
2000-05-26,85.19,86.38,84.0,84.0,892300.0
2000-05-30,84.63,86.56,84.44,85.13,786600.0
2000-05-31,86.13,87.31,86.0,86.56,1068500.0
2000-06-01,86.06,86.06,84.38,84.88,1017000.0
2000-06-02,86.5,86.75,84.0,84.31,1665800.0
2000-06-05,84.63,85.06,84.13,85.06,1352300.0
2000-06-06,85.0,85.0,82.06,82.31,1569600.0
2000-06-07,82.31,83.19,81.5,81.75,1588300.0
2000-06-08,81.94,82.0,80.44,81.75,1241600.0
2000-06-09,81.94,82.19,81.19,81.94,1073100.0
2000-06-12,82.0,83.81,81.88,81.96,1010700.0
2000-06-13,81.63,83.31,81.63,81.88,1075600.0
2000-06-14,84.0,84.94,83.5,84.19,1374300.0
2000-06-15,84.31,87.38,84.25,86.44,2085700.0
2000-06-16,86.44,86.44,84.44,84.44,1921400.0
2000-06-19,84.88,85.5,82.94,83.5,1211700.0
2000-06-20,83.63,85.0,81.06,82.19,1399700.0
2000-06-21,84.5,86.5,84.06,86.25,1636300.0
2000-06-22,86.31,87.75,84.94,86.06,1399100.0
2000-06-23,84.88,84.88,84.06,84.44,789800.0
2000-06-26,84.38,85.94,84.31,85.5,1112400.0
2000-06-27,86.5,87.88,86.19,86.63,1536400.0
2000-06-28,86.69,86.88,85.44,86.07,1055200.0
2000-06-29,84.5,86.81,84.19,85.56,1276400.0
2000-06-30,85.31,86.0,82.48,83.0,1801800.0
2000-07-03,83.0,84.38,83.0,84.06,814700.0
2000-07-05,85.94,89.38,84.88,88.5,1692700.0
2000-07-06,87.44,88.13,86.5,86.56,1277900.0
2000-07-07,86.63,87.75,86.0,86.13,1324600.0
2000-07-10,85.25,87.63,85.13,87.19,1306900.0
2000-07-11,87.19,89.94,86.75,88.94,1596800.0
2000-07-12,90.25,90.56,89.06,90.06,1561500.0
2000-07-13,90.88,90.88,89.5,89.56,831200.0
2000-07-14,89.31,89.31,86.63,87.88,1129500.0
2000-07-17,87.0,87.5,86.19,87.25,935700.0
2000-07-18,87.13,88.56,87.06,88.0,751000.0
2000-07-19,89.0,89.06,86.25,86.5,1549400.0
2000-07-20,86.75,86.88,86.0,86.5,1113300.0
2000-07-21,86.31,86.38,85.31,86.38,712900.0
2000-07-24,86.0,90.38,86.0,89.06,1294900.0
2000-07-25,88.5,89.69,88.19,88.31,1006900.0
2000-07-26,88.94,91.44,88.56,88.56,1980200.0
2000-07-27,89.75,90.38,88.56,89.0,1034700.0
2000-07-28,89.25,91.63,88.88,91.0,1197500.0
2000-07-31,90.94,91.31,90.06,90.06,1120200.0
2000-08-01,90.5,91.19,89.25,89.38,1355700.0
2000-08-02,89.56,90.63,88.88,90.25,1001700.0
2000-08-03,90.69,90.94,89.94,89.94,1046700.0
2000-08-04,89.94,90.69,89.63,90.0,1016400.0
2000-08-07,90.0,90.94,90.0,90.88,796700.0
2000-08-08,90.94,92.19,90.19,91.38,1431200.0
2000-08-09,92.25,93.44,91.63,92.5,1570300.0
2000-08-10,92.94,95.5,92.94,94.88,1931000.0
2000-08-11,94.94,97.44,94.94,96.75,1831900.0
2000-08-14,96.25,96.25,93.81,95.69,1146100.0
2000-08-15,95.81,95.88,94.25,94.88,815400.0
2000-08-16,95.0,95.0,94.06,94.19,935500.0
2000-08-17,94.81,95.63,94.31,95.25,864100.0
2000-08-18,95.5,95.5,94.75,95.13,756500.0
2000-08-21,95.38,95.81,94.56,94.94,528600.0
2000-08-22,94.88,97.0,94.75,96.31,749400.0
2000-08-23,96.19,96.81,95.31,95.94,873600.0
2000-08-24,95.69,95.88,94.5,94.81,828300.0
2000-08-25,95.06,95.75,95.06,95.75,786400.0
2000-08-28,96.0,97.44,95.13,95.13,804000.0
2000-08-29,95.38,95.63,94.63,94.63,950300.0
2000-08-30,94.63,95.13,93.25,93.38,892200.0
2000-08-31,93.19,95.56,93.0,93.02,1046600.0
2000-09-01,93.94,94.56,92.5,92.5,1602200.0
2000-09-05,92.44,92.88,91.56,92.25,1135800.0
2000-09-06,93.56,95.94,93.5,94.13,1368900.0
2000-09-07,93.0,93.25,91.63,91.63,1914900.0
2000-09-08,90.25,91.38,89.0,89.94,1863400.0
2000-09-11,90.5,90.56,88.38,88.94,1315400.0
2000-09-12,88.44,89.69,88.0,88.06,1268700.0
2000-09-13,88.63,89.94,86.19,86.5,1322000.0
2000-09-14,86.25,86.44,84.13,85.0,1973800.0
2000-09-15,86.25,86.25,84.13,85.13,2401000.0
2000-09-18,84.38,84.63,82.0,83.19,2110100.0
2000-09-19,84.19,84.69,83.06,83.88,1652700.0
2000-09-20,83.75,84.69,80.5,81.75,2260000.0
2000-09-21,84.63,87.81,84.5,86.44,2910100.0
2000-09-22,87.5,89.5,86.25,88.25,2546200.0
2000-09-25,88.0,90.06,87.75,90.0,2146900.0
2000-09-26,90.0,91.0,88.44,89.88,2932900.0
2000-09-27,89.94,91.25,89.19,89.94,2535800.0
2000-09-28,90.19,93.44,90.06,91.63,1653000.0
2000-09-29,91.38,93.38,91.0,91.13,1629100.0
2000-10-02,91.94,92.69,90.81,91.69,1246700.0
2000-10-03,91.5,94.94,91.5,94.0,1455800.0
2000-10-04,93.31,96.0,93.31,95.5,2022900.0
2000-10-05,95.0,95.0,93.06,93.25,1277600.0
2000-10-06,93.75,94.75,92.19,92.19,1396000.0
2000-10-09,92.31,94.31,91.75,91.75,894800.0
2000-10-10,92.19,94.88,92.19,93.13,1164400.0
2000-10-11,94.5,95.44,93.06,93.25,1183600.0
2000-10-12,93.13,93.19,90.5,90.88,2443400.0
2000-10-13,90.63,91.31,90.63,91.0,3113900.0
2000-10-16,91.63,94.88,91.63,92.19,1428500.0
2000-10-17,92.5,93.38,90.94,91.13,2000800.0
2000-10-18,90.25,91.38,90.25,91.13,2106700.0
2000-10-19,91.25,91.25,88.44,89.0,2387700.0
2000-10-20,88.0,88.88,83.94,87.25,5121500.0
2000-10-23,92.0,94.0,88.5,89.81,2847100.0
2000-10-24,90.88,92.0,89.56,90.06,1139700.0
2000-10-25,89.25,90.19,89.06,90.13,1441200.0
2000-10-26,89.94,93.13,89.81,92.19,1132500.0
2000-10-27,92.31,93.5,90.63,93.5,1070400.0
2000-10-30,93.25,95.75,92.06,95.0,1477600.0
2000-10-31,94.25,96.75,92.56,96.63,2084000.0
2000-11-01,96.25,97.94,94.81,95.13,1336600.0
2000-11-02,95.19,95.94,94.44,94.94,1392900.0
2000-11-03,94.69,95.06,93.81,94.88,1251500.0
2000-11-06,94.75,98.25,94.25,97.38,1684000.0
2000-11-07,98.25,98.25,96.0,96.94,906100.0
2000-11-08,97.56,99.75,95.75,97.31,1438200.0
2000-11-09,96.38,98.5,95.13,97.38,1102900.0
2000-11-10,97.63,98.44,94.63,95.0,980000.0
2000-11-13,94.13,95.75,94.06,94.81,1122700.0
2000-11-14,94.06,95.44,92.75,95.0,1327500.0
2000-11-15,94.06,96.69,94.06,95.38,1475300.0
2000-11-16,97.25,97.38,93.69,95.31,1533800.0
2000-11-17,96.0,97.0,95.19,96.0,1657200.0
2000-11-20,96.44,96.69,94.25,94.63,1527700.0
2000-11-21,94.25,95.88,94.25,95.69,1170200.0
2000-11-22,95.06,97.0,95.06,95.81,1078300.0
2000-11-24,95.81,96.06,95.13,95.81,495400.0
2000-11-27,96.06,100.0,95.13,99.25,2326900.0
2000-11-28,98.5,101.3,98.13,98.88,1867900.0
2000-11-29,99.13,100.1,99.06,100.1,1320600.0
2000-11-30,100.1,100.3,98.38,99.88,1468200.0
2000-12-01,99.25,100.3,99.25,99.63,1264300.0
2000-12-04,99.88,106.6,99.44,105.0,6105500.0
2000-12-05,107.3,119.0,107.3,116.6,14558000.0
2000-12-06,115.4,116.8,114.6,115.1,6257600.0
2000-12-07,114.3,114.8,112.5,114.7,3751200.0
2000-12-08,114.9,117.2,113.6,116.9,3179300.0
2000-12-11,115.8,116.3,114.5,115.3,1648300.0
2000-12-12,114.4,114.8,113.6,113.9,2058200.0
2000-12-13,114.0,115.0,112.5,113.8,1426300.0
2000-12-14,113.1,114.4,110.2,111.0,2040600.0
2000-12-15,113.3,113.8,111.3,112.2,2973200.0
2000-12-18,113.9,114.9,113.1,114.6,2010900.0
2000-12-19,114.6,116.0,112.6,113.8,2321000.0
2000-12-20,110.3,113.7,110.3,112.9,1919400.0
2000-12-21,111.5,113.9,109.5,112.7,2405300.0
2000-12-22,112.4,113.4,110.9,112.8,1830000.0
2000-12-26,113.38,115.0,112.19,115.0,999800.0
2000-12-27,115.9,119.4,114.4,119.2,1282800.0
2000-12-28,118.5,122.9,116.3,121.9,2143600.0
2000-12-29,121.9,122.9,119.6,120.5,1377100.0
2001-01-02,118.1,121.5,117.5,119.2,2325600.0
2001-01-03,118.0,119.9,116.4,117.8,2377200.0
2001-01-04,117.9,119.5,115.6,119.0,2030200.0
2001-01-05,117.0,117.0,110.6,114.6,4183500.0
2001-01-08,113.0,115.4,109.6,115.3,2743300.0
2001-01-09,114.9,115.2,112.1,113.4,1981400.0
2001-01-10,110.6,112.5,109.0,112.3,2172200.0
2001-01-11,112.4,113.9,109.6,112.1,2095300.0
2001-01-12,112.1,112.2,108.5,109.7,1827900.0
2001-01-16,110.6,113.5,110.1,113.5,2123700.0
2001-01-17,106.5,110.0,105.9,110.0,5776100.0
2001-01-18,110.0,110.0,107.8,109.0,2682900.0
2001-01-19,108.9,108.9,106.2,106.8,2030800.0
2001-01-22,106.6,109.0,105.4,108.9,2026200.0
2001-01-23,108.9,111.7,108.4,111.0,1764400.0
2001-01-24,109.5,110.6,105.8,107.1,1851500.0
2001-01-25,107.0,109.8,104.1,109.5,2112000.0
2001-01-26,109.6,110.6,106.9,107.3,1478000.0
2001-01-29,107.3,107.8,105.9,107.3,1537700.0
2001-01-30,106.8,112.0,106.5,111.4,2312600.0
2001-01-31,111.4,112.9,110.4,110.7,2038900.0
2001-02-01,110.9,113.5,109.5,111.6,1892300.0
2001-02-02,110.8,111.7,107.6,108.7,1662100.0
2001-02-05,108.3,111.6,108.3,109.8,1645300.0
2001-02-06,111.1,113.3,110.2,111.7,1540300.0
2001-02-07,111.1,114.2,111.1,111.9,1401800.0
2001-02-08,112.9,113.0,111.2,112.1,1051200.0
2001-02-09,112.3,112.3,110.4,110.7,870900.0
2001-02-12,110.5,112.5,110.4,112.5,1360900.0
2001-02-13,112.5,115.4,112.2,114.1,1688600.0
2001-02-14,114.1,114.1,109.0,111.0,2104000.0
2001-02-15,110.9,114.9,110.1,114.8,1402100.0
2001-02-16,114.8,115.0,111.5,113.2,1754800.0
2001-02-20,113.2,114.7,113.2,113.8,1729700.0
2001-02-21,113.0,114.2,111.3,111.3,1596900.0
2001-02-22,112.4,112.5,108.6,110.3,2174800.0
2001-02-23,111.0,111.4,109.9,110.4,2810200.0
2001-02-26,111.0,111.9,110.1,111.4,1684000.0
2001-02-27,112.3,113.5,110.7,113.0,1907900.0
2001-02-28,113.0,114.1,112.0,112.8,2091600.0
2001-03-01,112.8,112.9,109.3,109.6,2510900.0
2001-03-02,109.6,113.0,108.5,111.3,2667700.0
2001-03-05,112.2,113.1,111.5,112.2,1329500.0
2001-03-06,113.5,113.5,111.9,112.3,1586100.0
2001-03-07,112.3,113.2,112.2,112.9,1460400.0
2001-03-08,113.9,117.5,113.3,117.2,2428400.0
2001-03-09,116.9,119.8,115.1,116.4,3004100.0
2001-03-12,116.0,116.8,111.0,111.8,2749800.0
2001-03-13,112.9,112.9,106.5,107.7,4963000.0
2001-03-14,105.0,110.0,104.5,107.5,5657000.0
2001-03-15,109.4,109.9,108.0,109.2,2110800.0
2001-03-16,110.3,110.3,105.5,106.0,3378400.0
2001-03-19,106.0,108.7,105.2,108.0,2357200.0
2001-03-20,108.0,109.5,105.2,105.2,2752500.0
2001-03-21,105.2,105.8,102.0,103.6,4492800.0
2001-03-22,101.0,103.5,98.5,101.8,6737700.0
2001-03-23,102.3,103.5,99.5,101.8,3910200.0
2001-03-26,101.5,106.5,101.5,104.0,2723700.0
2001-03-27,104.0,106.3,102.8,105.4,3263200.0
2001-03-28,103.7,105.0,102.5,104.8,2235300.0
2001-03-29,104.0,104.0,100.6,102.8,2493500.0
2001-03-30,103.1,105.3,102.1,103.9,1848100.0
2001-04-02,103.6,106.1,101.5,102.1,2320300.0
2001-04-03,101.4,102.0,98.51,99.91,3259000.0
2001-04-04,99.9,102.0,97.16,98.62,4024900.0
2001-04-05,101.0,103.9,101.0,103.2,2960200.0
2001-04-06,102.4,102.9,100.8,102.0,1861300.0
2001-04-09,103.8,105.2,103.1,104.6,1977200.0
2001-04-10,105.5,111.8,105.3,108.6,3887200.0
2001-04-11,111.0,111.2,106.3,106.8,2287200.0
2001-04-12,106.0,108.2,105.4,107.7,1628800.0
2001-04-16,107.7,110.7,107.7,110.5,2045800.0
2001-04-17,109.5,110.7,108.2,108.9,1832200.0
2001-04-18,110.6,117.3,108.9,116.0,3419800.0
2001-04-19,115.8,116.5,114.0,116.5,1924700.0
2001-04-20,114.5,115.1,112.2,112.5,2173000.0
2001-04-23,112.6,116.7,111.0,116.3,2990100.0
2001-04-24,116.2,119.7,115.5,116.1,3150100.0
2001-04-25,116.1,117.4,114.6,117.0,1680100.0
