date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,66.62,68.12,65.75,67.87,29195400.0
2000-05-12,68.44,69.75,68.25,68.81,18943000.0
2000-05-15,69.0,69.44,68.0,69.37,16949800.0
2000-05-16,69.56,70.62,69.06,69.5,24205300.0
2000-05-17,68.87,69.12,67.25,67.69,26621000.0
2000-05-18,68.06,68.06,65.87,66.19,26820200.0
2000-05-19,65.37,65.94,64.5,65.06,33289000.0
2000-05-22,65.12,65.25,62.44,64.19,34977500.0
2000-05-23,63.88,65.56,63.06,63.19,28981600.0
2000-05-24,63.13,66.56,63.0,65.56,42741200.0
2000-05-25,64.56,64.75,61.13,61.5,47174400.0
2000-05-26,62.06,62.63,60.38,61.44,27911000.0
2000-05-30,62.44,64.12,62.0,63.38,34268200.0
2000-05-31,63.64,63.7,62.06,62.56,27484100.0
2000-06-01,64.37,66.0,63.81,64.56,47253600.0
2000-06-02,66.0,66.75,65.0,66.31,40231600.0
2000-06-05,66.02,68.37,66.0,66.87,32200000.0
2000-06-06,68.19,69.87,67.81,69.62,49509500.0
2000-06-07,69.25,70.75,67.12,70.5,38155300.0
2000-06-08,71.56,72.12,68.25,68.81,47382800.0
2000-06-09,69.62,69.69,68.31,68.81,17855100.0
2000-06-12,69.0,69.0,66.37,66.87,24630300.0
2000-06-13,66.75,68.0,66.12,67.87,22144600.0
2000-06-14,69.81,71.0,69.5,70.5,39996200.0
2000-06-15,70.81,72.69,70.62,72.37,32796300.0
2000-06-16,72.62,73.12,71.5,72.56,34355300.0
2000-06-19,72.56,73.81,72.0,73.69,23302400.0
2000-06-20,73.87,75.25,73.75,74.94,31137500.0
2000-06-21,77.0,82.19,76.94,80.69,80199800.0
2000-06-22,81.37,82.0,79.31,79.87,43657600.0
2000-06-23,79.94,80.06,77.0,77.69,24905800.0
2000-06-26,77.5,80.12,77.5,79.5,24143500.0
2000-06-27,79.25,80.12,78.37,78.81,15535600.0
2000-06-28,79.0,80.06,78.62,78.94,18729600.0
2000-06-29,78.25,78.94,77.06,77.19,19224500.0
2000-06-30,77.06,80.0,76.69,80.0,26178200.0
2000-07-03,79.69,80.06,79.37,80.0,7867400.0
2000-07-05,79.87,79.87,78.25,78.5,17412200.0
2000-07-06,78.87,81.69,78.5,80.94,23936600.0
2000-07-07,81.27,82.87,80.56,82.0,27076600.0
2000-07-10,80.69,81.31,79.37,79.44,26344900.0
2000-07-11,78.81,80.5,78.5,79.12,18582400.0
2000-07-12,78.25,81.0,77.19,80.31,29185100.0
2000-07-13,78.81,80.0,77.37,79.94,40421600.0
2000-07-14,79.5,79.75,78.44,78.94,25590300.0
2000-07-17,78.25,79.56,77.5,78.19,26996400.0
2000-07-18,77.62,79.5,77.44,78.5,35308600.0
2000-07-19,76.06,77.5,72.81,73.12,69962300.0
2000-07-20,73.44,75.25,73.12,74.81,27345300.0
2000-07-21,74.75,75.0,71.87,72.31,28050300.0
2000-07-24,72.06,72.12,70.0,70.56,28082800.0
2000-07-25,70.81,71.0,68.37,69.0,32094300.0
2000-07-26,69.06,69.5,67.25,67.81,42702300.0
2000-07-27,67.87,70.12,67.5,69.37,37168800.0
2000-07-28,70.94,71.81,69.62,69.69,37822800.0
2000-07-31,70.19,71.12,69.25,69.81,35141900.0
2000-08-01,69.94,70.06,68.19,68.69,23581800.0
2000-08-02,68.56,70.44,68.5,69.37,24134600.0
2000-08-03,68.19,70.37,68.12,70.25,27271700.0
2000-08-04,69.44,69.87,68.19,69.12,19053700.0
2000-08-07,70.19,71.12,69.75,70.0,26370900.0
2000-08-08,70.06,74.69,70.0,74.12,69019400.0
2000-08-09,73.75,74.87,73.12,74.25,31972800.0
2000-08-10,73.81,74.06,71.75,72.62,24493000.0
2000-08-11,72.44,72.69,71.62,72.44,17814800.0
2000-08-14,72.31,73.37,71.37,72.19,26713500.0
2000-08-15,72.0,73.0,71.5,71.62,20357100.0
2000-08-16,71.87,72.25,70.56,71.0,22488100.0
2000-08-17,71.12,72.0,70.56,71.56,18056400.0
2000-08-18,71.12,71.44,70.0,71.0,27219400.0
2000-08-21,70.69,70.81,70.06,70.62,17059800.0
2000-08-22,70.81,72.44,70.22,71.25,27214100.0
2000-08-23,70.81,71.12,70.37,70.75,18363400.0
2000-08-24,70.62,71.19,69.94,71.12,21202700.0
2000-08-25,70.69,71.69,70.56,70.62,26364700.0
2000-08-28,70.19,72.12,70.12,71.31,28210800.0
2000-08-29,71.19,72.75,70.87,70.94,29700100.0
2000-08-30,70.69,70.94,69.69,70.0,26749400.0
2000-08-31,70.87,72.0,69.69,69.81,36287700.0
2000-09-01,70.0,70.62,69.69,70.19,18814900.0
2000-09-05,70.0,70.69,69.81,70.12,25377600.0
2000-09-06,70.06,70.69,69.31,69.44,31480400.0
2000-09-07,70.0,72.06,69.44,70.06,55855600.0
2000-09-08,70.37,70.87,69.19,69.31,28354800.0
2000-09-11,69.12,69.69,68.06,68.81,24247600.0
2000-09-12,68.75,69.31,67.62,68.12,23390600.0
2000-09-13,67.56,68.75,67.19,68.25,20372400.0
2000-09-14,68.69,68.75,65.69,65.81,39251500.0
2000-09-15,65.44,65.62,63.31,64.19,49957600.0
2000-09-18,64.25,64.62,62.19,63.0,34518900.0
2000-09-19,63.63,65.75,63.38,65.0,39655600.0
2000-09-20,64.87,65.0,63.19,64.25,33895700.0
2000-09-21,64.0,65.12,63.56,64.19,24476100.0
2000-09-22,61.13,63.5,61.0,63.25,42238300.0
2000-09-25,63.25,63.5,60.44,61.25,26742100.0
2000-09-26,60.94,65.87,60.44,62.69,77852400.0
2000-09-27,63.44,63.56,59.81,60.63,53077800.0
2000-09-28,60.81,61.88,60.63,61.31,26180200.0
2000-09-29,61.0,61.31,58.63,60.31,37026800.0
2000-10-02,60.5,60.81,58.25,59.13,29281200.0
2000-10-03,59.56,59.81,56.5,56.56,42687000.0
2000-10-04,56.38,56.56,54.5,55.44,68226700.0
2000-10-05,55.5,57.25,55.25,55.38,40549700.0
2000-10-06,55.81,56.75,54.75,55.56,30897000.0
2000-10-09,55.63,55.75,53.0,54.19,29161800.0
2000-10-10,53.94,55.56,53.81,54.56,31033100.0
2000-10-11,54.0,56.94,54.0,55.75,50602900.0
2000-10-12,56.31,56.88,53.81,54.38,45109800.0
2000-10-13,53.88,54.88,52.13,53.75,52260600.0
2000-10-16,53.5,53.81,49.56,50.38,59879500.0
2000-10-17,51.88,52.44,50.25,50.44,40638300.0
2000-10-18,49.63,53.25,48.44,51.75,55268200.0
2000-10-19,58.44,62.19,58.0,61.88,128496600.0
2000-10-20,61.31,66.12,61.13,65.19,80189300.0
2000-10-23,64.62,66.25,60.69,62.13,92585200.0
2000-10-24,62.63,62.94,60.19,61.5,47213700.0
2000-10-25,61.94,63.44,60.44,61.25,83801900.0
