date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,43.56,43.63,42.31,42.7,9846200.0
2000-05-12,42.38,43.38,41.69,43.09,7795100.0
2000-05-15,42.81,44.25,42.69,44.0,8204100.0
2000-05-16,44.44,44.88,43.25,44.5,12376600.0
2000-05-17,44.5,45.31,44.19,45.0,14091000.0
2000-05-18,45.13,45.56,44.75,45.19,7234800.0
2000-05-19,44.69,44.75,43.81,44.19,7276100.0
2000-05-22,44.44,45.19,43.25,43.94,9069600.0
2000-05-23,43.81,44.5,43.19,44.19,6953200.0
2000-05-24,43.38,44.94,43.38,44.25,8318300.0
2000-05-25,44.56,45.75,44.44,45.66,10206700.0
2000-05-26,44.88,45.44,44.69,45.13,5971500.0
2000-05-30,44.06,44.44,43.69,44.19,8301200.0
2000-05-31,43.75,44.75,43.69,44.5,7012900.0
2000-06-01,45.69,46.13,44.88,45.0,9953800.0
2000-06-02,45.94,45.94,43.25,43.56,10402400.0
2000-06-05,43.81,43.94,42.25,42.75,9707400.0
2000-06-06,43.0,43.81,42.44,43.44,9478800.0
2000-06-07,43.44,44.19,43.25,43.5,5563800.0
2000-06-08,43.75,44.44,43.56,44.25,6412700.0
2000-06-09,44.38,46.0,44.13,46.0,6633600.0
2000-06-12,45.06,45.75,44.38,44.38,5685000.0
2000-06-13,45.38,46.38,45.06,45.84,11281600.0
2000-06-14,45.94,46.94,45.88,46.59,11057900.0
2000-06-15,46.38,47.0,46.13,47.0,8344800.0
2000-06-16,46.44,48.13,46.44,47.94,14399100.0
2000-06-19,47.81,47.81,46.75,46.75,8305600.0
2000-06-20,46.63,46.88,45.25,46.25,11017800.0
2000-06-21,47.0,47.19,46.38,46.88,16404300.0
2000-06-22,46.81,46.81,44.5,45.75,17013700.0
2000-06-23,46.0,46.5,45.25,45.88,14269300.0
2000-06-26,46.0,46.38,45.5,46.25,15928100.0
2000-06-27,46.5,47.11,45.94,47.0,11696500.0
2000-06-28,46.63,46.94,46.25,46.48,12762500.0
2000-06-29,46.69,46.69,45.63,46.23,16606300.0
2000-06-30,45.75,48.1,45.75,48.0,16150300.0
2000-07-03,47.81,47.81,47.06,47.69,5780900.0
2000-07-05,48.0,48.0,47.0,47.44,11266300.0
2000-07-06,47.63,47.63,46.19,46.56,9852300.0
2000-07-07,46.69,47.0,45.81,45.81,12721500.0
2000-07-10,46.5,47.94,45.94,47.81,10745500.0
2000-07-11,47.63,49.0,47.38,49.0,13656200.0
2000-07-12,49.25,49.25,47.97,47.97,9915800.0
2000-07-13,47.88,47.88,45.81,46.13,14427100.0
2000-07-14,45.5,46.0,44.25,45.06,11938300.0
2000-07-17,45.13,47.31,44.75,46.11,10666600.0
2000-07-18,46.63,47.0,44.19,44.88,13512500.0
2000-07-19,44.94,46.5,43.75,46.44,11466100.0
2000-07-20,46.5,46.56,44.31,45.0,14178900.0
2000-07-21,45.0,46.25,44.63,45.88,8951400.0
2000-07-24,45.44,48.19,45.44,47.56,14813200.0
2000-07-25,43.5,45.0,43.0,44.0,30772300.0
2000-07-26,44.69,45.0,42.75,43.5,25555100.0
2000-07-27,43.06,44.88,43.0,44.61,11483500.0
2000-07-28,44.13,44.5,43.5,43.88,7875000.0
2000-07-31,43.69,44.06,42.88,43.38,9475400.0
2000-08-01,43.63,45.94,43.38,45.75,13638500.0
2000-08-02,45.5,46.5,45.44,46.13,12231200.0
2000-08-03,46.63,46.69,44.75,44.75,8097300.0
2000-08-04,45.5,46.0,44.13,45.5,8094100.0
2000-08-07,46.0,46.0,44.31,44.92,7498300.0
2000-08-08,44.94,45.88,44.25,44.92,8872900.0
2000-08-09,44.75,45.56,42.0,42.75,15688500.0
2000-08-10,43.0,43.63,42.0,42.0,13180800.0
2000-08-11,42.88,43.25,42.5,42.88,7656700.0
2000-08-14,43.13,43.31,42.72,42.72,7294500.0
2000-08-15,43.0,43.31,42.44,42.59,7792500.0
2000-08-16,42.94,43.75,42.75,43.63,7821000.0
2000-08-17,43.94,44.63,43.13,44.0,11434200.0
2000-08-18,43.5,43.69,42.31,42.75,10898900.0
2000-08-21,42.94,43.69,42.0,43.0,6393100.0
2000-08-22,43.63,43.63,42.31,42.5,9062200.0
2000-08-23,42.38,43.38,42.38,43.03,6576500.0
2000-08-24,43.38,43.44,43.0,43.09,6095600.0
2000-08-25,43.56,43.94,43.06,43.81,5660100.0
2000-08-28,43.94,43.94,42.75,42.84,7402100.0
2000-08-29,42.13,43.31,42.0,42.56,9721700.0
2000-08-30,42.5,42.81,41.75,42.0,9389100.0
