date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,64.38,65.19,63.25,65.0,3333400.0
2000-05-12,65.0,65.56,63.63,64.13,2127900.0
2000-05-15,63.88,65.25,63.31,64.88,2324000.0
2000-05-16,64.88,65.31,63.88,64.5,3154400.0
2000-05-17,64.5,65.0,63.75,65.0,3022200.0
2000-05-18,64.75,65.31,64.5,64.75,2583200.0
2000-05-19,64.25,65.19,64.06,65.06,2981900.0
2000-05-22,65.19,65.38,64.31,64.88,3093100.0
2000-05-23,64.38,65.19,63.75,64.38,2647700.0
2000-05-24,64.56,66.25,64.38,65.88,4406800.0
2000-05-25,65.63,66.0,64.75,65.94,3308700.0
2000-05-26,65.75,66.44,65.63,66.25,2231700.0
2000-05-30,66.31,66.38,65.75,66.13,2185000.0
2000-05-31,66.0,66.88,65.56,66.5,2104400.0
2000-06-01,66.13,66.38,65.38,65.63,3850500.0
2000-06-02,65.38,65.38,63.5,64.0,5231300.0
2000-06-05,64.0,64.0,62.5,63.31,3793300.0
2000-06-06,62.88,63.69,62.63,63.25,2174100.0
2000-06-07,62.88,63.88,61.88,61.88,3139000.0
2000-06-08,58.63,60.0,55.88,57.5,22596700.0
2000-06-09,56.81,57.5,55.81,57.0,8989500.0
2000-06-12,57.0,57.19,56.06,56.38,4660900.0
2000-06-13,55.81,57.0,55.81,57.0,4633600.0
2000-06-14,56.75,57.13,56.06,57.0,4039400.0
2000-06-15,57.19,57.5,56.44,56.75,5728800.0
2000-06-16,57.0,57.19,55.5,55.5,5786700.0
2000-06-19,56.19,56.5,55.06,56.09,3356300.0
2000-06-20,55.88,56.0,54.94,55.25,4000000.0
2000-06-21,55.38,55.44,54.25,54.56,4099000.0
2000-06-22,54.63,54.81,54.06,54.13,3594800.0
2000-06-23,54.75,55.44,54.25,54.94,4208500.0
2000-06-26,55.0,55.81,54.94,55.63,3585600.0
2000-06-27,55.5,56.63,55.13,55.63,4258200.0
2000-06-28,55.5,56.0,55.13,55.55,3695600.0
2000-06-29,55.06,55.13,53.63,53.63,4877500.0
2000-06-30,53.56,57.35,53.25,56.75,11984500.0
2000-07-03,56.75,56.81,55.19,55.88,2797600.0
2000-07-05,56.25,56.31,55.25,55.63,3672000.0
2000-07-06,56.0,56.0,55.0,55.25,4064800.0
2000-07-07,55.69,55.69,54.19,54.88,4453700.0
2000-07-10,55.06,55.69,55.0,55.44,4685200.0
2000-07-11,55.5,55.63,54.5,55.13,3483300.0
2000-07-12,54.88,55.5,54.19,55.13,4266600.0
2000-07-13,55.25,55.44,54.31,54.56,3649500.0
2000-07-14,54.75,56.25,54.69,56.0,5047100.0
2000-07-17,56.25,57.25,56.06,56.13,3970600.0
2000-07-18,56.19,58.25,56.0,58.25,4492400.0
2000-07-19,57.94,59.13,57.56,59.13,4810400.0
2000-07-20,59.25,59.56,58.5,59.0,5135600.0
2000-07-21,59.25,59.44,58.81,59.13,3045800.0
2000-07-24,59.19,59.44,59.0,59.0,3940900.0
2000-07-25,59.5,60.81,59.44,60.63,4236500.0
2000-07-26,59.25,59.94,59.25,59.65,3704900.0
2000-07-27,59.56,60.75,59.31,59.56,3005200.0
2000-07-28,59.94,60.0,59.0,59.19,4137000.0
2000-07-31,58.75,59.0,56.5,57.0,5954400.0
2000-08-01,56.0,60.0,55.38,58.75,7966200.0
2000-08-02,59.38,59.63,57.63,58.19,4563500.0
2000-08-03,58.44,59.06,57.81,58.06,2502300.0
2000-08-04,58.06,58.06,57.13,57.38,2355100.0
2000-08-07,57.31,57.75,57.0,57.13,2041400.0
2000-08-08,57.0,57.0,56.25,56.5,2536200.0
