date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,61.63,64.5,61.38,63.5,1312700.0
2000-05-12,63.63,64.88,62.88,64.25,1210200.0
2000-05-15,63.5,65.0,63.5,64.06,1138900.0
2000-05-16,64.88,66.44,64.31,66.19,1089100.0
2000-05-17,65.75,65.75,64.63,65.19,1082600.0
2000-05-18,64.94,65.88,64.38,64.89,924000.0
2000-05-19,63.5,63.88,61.63,62.38,1080500.0
2000-05-22,63.0,63.0,61.63,61.94,1726800.0
2000-05-23,62.44,62.44,60.44,60.81,1615400.0
2000-05-24,61.88,61.88,59.0,59.88,2363400.0
2000-05-25,59.88,59.88,58.44,59.38,1858400.0
2000-05-26,60.13,60.13,58.38,58.94,839400.0
2000-05-30,58.69,59.56,57.75,59.0,1773500.0
2000-05-31,58.94,60.13,58.69,59.44,1418400.0
2000-06-01,59.0,61.88,58.06,61.69,1639300.0
2000-06-02,62.81,64.88,62.63,63.13,1564700.0
2000-06-05,61.13,61.56,59.75,60.75,1223900.0
2000-06-06,60.75,61.94,60.13,61.56,943500.0
2000-06-07,61.63,62.25,59.88,60.0,968100.0
2000-06-08,58.0,58.25,56.0,56.94,3592300.0
2000-06-09,57.5,59.31,57.38,58.69,1928000.0
2000-06-12,58.75,59.13,58.25,58.27,882400.0
2000-06-13,58.75,58.81,57.0,57.19,1342800.0
2000-06-14,58.0,60.25,58.0,59.75,1613600.0
2000-06-15,59.81,61.75,58.94,59.63,1087800.0
2000-06-16,59.13,60.25,58.19,58.88,1806400.0
2000-06-19,59.25,59.31,56.31,57.38,2140900.0
2000-06-20,57.0,57.13,55.13,55.63,2726100.0
2000-06-21,57.13,57.44,55.38,56.88,1393500.0
2000-06-22,58.0,58.0,55.63,56.5,1320100.0
2000-06-23,56.5,57.25,55.81,57.06,775900.0
2000-06-26,57.75,58.0,56.5,57.06,750000.0
2000-06-27,57.0,58.13,56.31,56.5,1517800.0
2000-06-28,56.5,57.69,56.19,56.73,1284100.0
2000-06-29,56.06,56.13,54.19,54.5,1736200.0
2000-06-30,54.94,58.98,54.0,58.88,2536100.0
2000-07-03,57.5,57.56,55.38,56.69,848300.0
2000-07-05,58.5,59.19,57.63,58.75,1413700.0
2000-07-06,58.75,59.13,57.63,57.69,1246800.0
2000-07-07,57.94,58.94,57.75,58.75,1429100.0
2000-07-10,58.81,59.56,58.25,59.31,1478900.0
2000-07-11,59.38,60.06,58.56,60.0,1700900.0
2000-07-12,59.19,60.38,58.25,60.25,1943000.0
2000-07-13,60.25,60.88,59.88,60.5,1587600.0
2000-07-14,61.0,61.75,60.38,61.13,847900.0
2000-07-17,60.88,60.94,60.25,60.53,732400.0
2000-07-18,60.25,60.25,58.38,59.0,1001100.0
2000-07-19,60.0,60.44,57.25,57.5,2065600.0
2000-07-20,57.5,58.0,56.88,57.38,2099100.0
2000-07-21,57.38,59.0,57.38,58.75,1763600.0
