date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,34.25,35.38,33.63,35.25,764000.0
2000-05-12,35.44,35.5,34.5,35.5,706000.0
2000-05-15,35.56,37.25,35.5,37.06,1472000.0
2000-05-16,37.13,38.13,36.75,37.75,1424900.0
2000-05-17,37.75,37.75,36.63,36.75,1012400.0
2000-05-18,36.75,37.69,36.75,37.19,761900.0
2000-05-19,37.25,37.38,35.88,36.38,687200.0
2000-05-22,36.63,37.75,36.19,37.63,941300.0
2000-05-23,37.5,37.88,36.81,37.81,919900.0
2000-05-24,37.63,38.75,37.63,38.5,1314600.0
2000-05-25,38.31,38.44,37.25,37.88,1094300.0
2000-05-26,37.63,37.63,36.88,37.13,669200.0
2000-05-30,37.0,38.19,36.94,37.81,626700.0
2000-05-31,37.88,37.88,37.06,37.13,860200.0
2000-06-01,37.25,38.56,36.94,38.38,1107800.0
2000-06-02,38.63,39.19,38.5,39.19,572100.0
2000-06-05,39.0,39.25,38.25,38.75,1033800.0
2000-06-06,38.38,38.75,37.94,38.63,930900.0
2000-06-07,38.63,39.38,38.63,38.88,914800.0
2000-06-08,38.0,38.63,37.13,37.88,1054300.0
2000-06-09,37.81,38.44,37.81,38.31,388100.0
2000-06-12,38.5,38.63,37.25,37.4,449200.0
2000-06-13,37.5,38.06,37.31,37.94,489900.0
2000-06-14,37.94,37.94,36.94,37.5,685200.0
2000-06-15,37.44,37.81,36.56,37.75,788700.0
2000-06-16,37.88,38.19,37.19,37.44,1792400.0
2000-06-19,36.88,38.69,36.5,37.94,902700.0
2000-06-20,37.69,37.69,35.38,35.38,855300.0
2000-06-21,35.88,36.06,34.75,34.94,683800.0
2000-06-22,35.06,35.13,33.75,34.19,1187300.0
2000-06-23,34.69,35.75,34.56,35.0,569500.0
2000-06-26,34.75,35.5,34.38,34.94,558200.0
2000-06-27,35.13,35.56,34.94,35.06,1018900.0
2000-06-28,35.0,36.19,34.88,35.59,1245100.0
2000-06-29,35.63,36.5,35.31,36.38,749300.0
2000-06-30,36.13,36.13,33.75,34.13,969700.0
2000-07-03,34.0,35.0,34.0,34.63,376800.0
2000-07-05,34.38,36.0,34.38,35.75,837800.0
2000-07-06,36.0,36.13,34.88,35.56,435600.0
2000-07-07,35.38,36.56,35.25,36.5,380900.0
2000-07-10,36.5,37.06,36.5,36.63,380600.0
2000-07-11,37.0,37.25,36.69,37.19,492600.0
2000-07-12,37.5,39.06,37.44,38.75,891600.0
2000-07-13,38.63,38.88,37.06,37.31,611000.0
2000-07-14,37.5,38.06,36.88,37.44,961900.0
2000-07-17,37.44,37.56,36.56,37.44,738800.0
2000-07-18,37.63,37.94,37.31,37.94,608900.0
2000-07-19,38.13,38.25,37.31,37.38,510700.0
2000-07-20,37.44,37.81,37.38,37.75,1209000.0
2000-07-21,37.75,37.81,37.06,37.44,386200.0
2000-07-24,37.19,37.56,36.94,37.5,324300.0
2000-07-25,37.5,40.5,37.5,40.13,1617000.0
2000-07-26,40.0,43.5,39.88,42.52,3500300.0
2000-07-27,42.5,44.88,42.5,44.63,2379100.0
2000-07-28,44.63,45.75,44.38,44.75,1823900.0
2000-07-31,44.75,45.31,44.19,44.44,1577600.0
2000-08-01,44.13,44.5,43.75,44.25,847800.0
2000-08-02,43.88,44.19,43.63,44.06,1154700.0
2000-08-03,44.0,45.31,43.63,45.06,1259100.0
2000-08-04,45.0,47.69,44.88,47.25,1594900.0
2000-08-07,46.75,49.56,46.75,48.25,1592200.0
2000-08-08,48.25,48.5,47.31,48.38,1416200.0
2000-08-09,48.0,48.13,46.13,47.5,1199100.0
2000-08-10,46.75,48.0,46.75,47.31,1155000.0
2000-08-11,47.56,47.81,47.0,47.75,581700.0
2000-08-14,47.5,47.94,47.06,47.69,1072700.0
2000-08-15,47.44,47.75,46.5,47.0,785900.0
2000-08-16,46.88,46.94,46.31,46.38,617100.0
2000-08-17,45.5,47.19,45.5,46.94,686000.0
2000-08-18,46.5,47.38,46.38,47.13,567900.0
2000-08-21,47.75,48.06,47.63,47.88,904800.0
2000-08-22,47.63,48.19,47.31,47.81,637100.0
2000-08-23,47.63,48.31,46.13,46.69,820400.0
2000-08-24,46.63,47.06,46.56,46.81,492000.0
2000-08-25,46.31,46.88,45.56,45.81,526600.0
2000-08-28,45.56,46.81,45.56,46.38,438400.0
2000-08-29,46.75,46.75,45.69,46.25,632000.0
2000-08-30,46.31,47.56,46.25,47.25,742900.0
2000-08-31,47.0,48.13,47.0,47.52,736500.0
2000-09-01,47.31,48.0,46.5,46.81,559600.0
2000-09-05,46.38,47.5,46.25,47.13,490200.0
2000-09-06,47.25,48.5,47.25,48.31,675100.0
2000-09-07,48.31,48.44,47.13,48.38,904300.0
2000-09-08,48.38,49.5,48.38,49.31,2714000.0
2000-09-11,49.0,50.88,49.0,50.63,858800.0
2000-09-12,50.13,50.63,49.44,49.75,706700.0
2000-09-13,50.0,51.31,48.5,48.5,5712400.0
2000-09-14,48.69,50.94,48.25,49.44,2134000.0
2000-09-15,49.69,50.06,48.31,48.81,1445300.0
2000-09-18,48.0,48.38,46.69,46.75,819800.0
2000-09-19,46.94,48.88,46.88,48.63,932200.0
2000-09-20,48.88,48.88,47.25,47.75,688100.0
2000-09-21,48.25,48.56,48.0,48.31,765800.0
2000-09-22,49.0,50.56,48.81,50.56,1032300.0
2000-09-25,50.75,50.88,49.38,49.5,677700.0
2000-09-26,49.0,49.94,49.0,49.44,602300.0
2000-09-27,49.25,49.75,49.25,49.69,442200.0
2000-09-28,49.25,50.5,49.0,50.44,1132000.0
2000-09-29,50.69,51.06,49.31,50.38,665500.0
2000-10-02,49.31,50.13,48.88,50.06,1136600.0
2000-10-03,50.0,50.0,48.69,48.94,628900.0
2000-10-04,49.19,49.69,48.0,48.19,671800.0
