date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,69.06,70.62,68.75,69.19,1582500.0
2000-05-12,70.06,71.69,69.19,71.38,1545500.0
2000-05-15,72.0,75.0,72.0,74.62,1737800.0
2000-05-16,77.5,77.5,74.56,75.62,1600800.0
2000-05-17,74.88,75.75,74.25,74.62,1106200.0
2000-05-18,74.75,78.56,74.69,77.5,1695900.0
2000-05-19,76.88,77.44,75.62,76.38,1072900.0
2000-05-22,76.88,77.56,74.56,76.31,903800.0
2000-05-23,76.0,76.69,75.12,75.44,844900.0
2000-05-24,76.5,79.25,76.5,77.88,2432500.0
2000-05-25,78.0,78.81,76.31,76.56,2791900.0
2000-05-26,76.0,77.56,75.19,75.88,803900.0
2000-05-30,76.62,78.44,75.88,75.94,887600.0
2000-05-31,76.06,76.5,74.5,74.56,967300.0
2000-06-01,74.44,77.06,74.12,76.0,1150800.0
2000-06-02,75.75,76.31,74.56,74.88,921600.0
2000-06-05,74.88,76.25,74.69,74.94,695100.0
2000-06-06,74.75,75.62,72.5,73.38,1095400.0
2000-06-07,73.38,74.69,73.12,73.62,921400.0
2000-06-08,73.94,75.12,73.81,74.0,836700.0
2000-06-09,74.12,77.75,74.12,76.94,555300.0
2000-06-12,76.94,80.38,76.0,79.91,1416000.0
2000-06-13,80.0,83.0,80.0,80.75,2327200.0
2000-06-14,80.75,83.31,80.25,82.0,1121500.0
2000-06-15,82.06,83.12,82.0,82.0,1254700.0
2000-06-16,81.88,82.38,80.25,80.75,1181500.0
2000-06-19,81.56,81.88,79.94,80.0,1112900.0
2000-06-20,80.25,81.88,80.06,80.19,653600.0
2000-06-21,79.88,81.5,79.38,81.06,486400.0
2000-06-22,80.81,82.88,79.94,80.38,1101100.0
2000-06-23,80.5,80.88,79.44,79.88,723800.0
2000-06-26,80.0,81.5,79.75,79.75,1043400.0
2000-06-27,80.5,80.69,79.25,80.19,1059000.0
2000-06-28,80.38,83.31,77.88,82.52,1092000.0
2000-06-29,83.0,89.0,82.62,86.0,2493300.0
2000-06-30,86.0,88.0,85.62,85.75,1065500.0
2000-07-03,85.44,88.06,85.31,88.06,519800.0
2000-07-05,88.31,89.94,87.5,89.0,875600.0
2000-07-06,87.25,91.94,87.06,91.75,1637800.0
2000-07-07,91.0,91.44,88.62,89.75,1593500.0
2000-07-10,89.0,89.19,86.25,87.38,781600.0
2000-07-11,87.38,89.25,87.25,87.69,1056500.0
2000-07-12,87.69,90.31,87.44,89.25,1698800.0
2000-07-13,88.25,89.12,85.25,85.75,1125500.0
2000-07-14,85.75,86.5,83.25,84.5,1437300.0
2000-07-17,84.5,87.56,83.88,86.94,1006700.0
2000-07-18,83.0,84.31,81.62,83.25,2285500.0
2000-07-19,84.5,85.25,83.75,83.94,713100.0
2000-07-20,84.0,85.31,82.62,84.88,552900.0
2000-07-21,85.88,86.0,84.12,85.0,466800.0
2000-07-24,84.5,85.06,81.81,82.31,702400.0
2000-07-25,82.31,82.44,78.75,78.75,1319300.0
2000-07-26,78.75,79.94,78.12,78.19,1487600.0
2000-07-27,78.38,82.62,78.38,81.88,1437300.0
2000-07-28,81.81,82.44,80.88,81.19,592800.0
2000-07-31,81.56,83.5,81.19,81.81,680000.0
2000-08-01,81.31,84.06,81.31,83.44,486900.0
2000-08-02,82.5,84.75,81.81,83.62,1188600.0
2000-08-03,82.75,85.0,81.88,84.94,1564700.0
2000-08-04,85.5,88.0,85.5,87.69,1148500.0
2000-08-07,88.25,89.5,87.94,87.94,777400.0
2000-08-08,88.5,88.69,86.88,87.0,863200.0
2000-08-09,87.0,88.12,85.5,87.88,778100.0
2000-08-10,87.75,88.69,86.81,88.38,568200.0
2000-08-11,87.88,92.5,87.88,92.25,1460200.0
2000-08-14,92.5,94.38,92.5,93.5,975200.0
2000-08-15,92.62,93.25,92.06,93.06,737300.0
2000-08-16,93.38,93.38,91.62,92.19,468600.0
2000-08-17,91.69,94.62,91.69,92.81,598300.0
2000-08-18,92.88,92.88,90.25,91.38,1004800.0
2000-08-21,91.38,92.44,91.12,91.81,565900.0
2000-08-22,91.75,94.12,91.75,93.5,540400.0
2000-08-23,93.38,93.44,90.81,91.38,710200.0
2000-08-24,91.62,92.31,91.0,91.25,555400.0
2000-08-25,91.06,91.25,89.25,89.75,1113800.0
2000-08-28,90.0,90.88,89.75,90.0,529500.0
2000-08-29,90.38,92.06,90.31,90.75,553500.0
2000-08-30,90.75,91.0,90.0,90.62,521600.0
2000-08-31,90.5,95.88,90.44,94.52,871400.0
2000-09-01,95.0,95.5,93.38,93.94,530300.0
2000-09-05,94.0,94.88,92.44,94.38,423900.0
2000-09-06,93.0,93.75,92.5,92.5,816300.0
2000-09-07,92.5,92.94,91.62,91.81,604100.0
2000-09-08,90.38,91.44,90.38,90.5,673800.0
2000-09-11,90.5,93.94,90.5,93.5,751200.0
2000-09-12,94.5,96.31,91.25,91.44,911000.0
2000-09-13,90.56,92.06,89.69,91.5,1062800.0
2000-09-14,93.44,95.62,93.25,94.5,910800.0
2000-09-15,94.38,95.62,91.69,92.69,967800.0
2000-09-18,92.62,93.38,91.06,91.19,920200.0
2000-09-19,92.69,95.75,92.12,94.31,949600.0
2000-09-20,93.69,94.0,91.56,92.31,631600.0
2000-09-21,93.62,95.19,93.56,94.44,700600.0
2000-09-22,94.44,98.25,93.88,97.81,1897600.0
2000-09-25,98.0,100.25,96.31,97.31,807600.0
2000-09-26,96.0,98.19,95.62,97.44,603800.0
2000-09-27,97.88,99.25,97.69,98.0,1246400.0
2000-09-28,98.5,99.94,98.12,99.44,1314900.0
2000-09-29,99.56,101.12,98.62,98.75,1031800.0
2000-10-02,99.0,106.25,97.25,105.94,1316600.0
2000-10-03,105.0,107.94,103.88,105.31,1094200.0
2000-10-04,103.88,106.75,102.25,102.56,924700.0
2000-10-05,102.06,106.0,101.81,104.81,1024400.0
2000-10-06,104.88,105.0,102.12,102.94,666000.0
2000-10-09,102.94,104.06,102.12,103.0,522000.0
2000-10-10,103.62,107.44,103.44,105.88,1562500.0
2000-10-11,104.62,107.06,103.44,105.5,1671200.0
2000-10-12,105.75,106.5,100.75,101.5,1347400.0
2000-10-13,101.62,104.62,101.62,103.88,813500.0
2000-10-16,105.38,109.0,105.38,108.94,1914500.0
2000-10-17,112.0,112.0,106.25,106.81,1376700.0
2000-10-18,106.06,106.12,104.69,104.81,2269000.0
2000-10-19,104.81,105.62,102.31,104.56,1319300.0
2000-10-20,104.12,105.81,103.5,105.31,1034900.0
2000-10-23,104.69,106.0,103.81,104.56,580300.0
2000-10-24,104.62,107.94,104.62,106.62,1032500.0
2000-10-25,105.0,107.62,103.31,104.5,2370700.0
2000-10-26,105.5,108.44,105.5,107.44,1701200.0
2000-10-27,109.25,111.25,108.5,109.69,1655500.0
2000-10-30,111.5,117.0,110.75,116.0,2077500.0
2000-10-31,114.62,115.12,108.81,109.38,1789600.0
2000-11-01,109.44,109.5,104.88,106.12,1928900.0
