date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,28.5,29.56,28.19,29.13,2864100.0
2000-05-12,29.0,29.06,28.06,28.15,1425100.0
2000-05-15,28.13,29.38,28.06,28.31,1987900.0
2000-05-16,28.19,28.75,27.88,28.44,1555300.0
2000-05-17,27.88,28.31,27.63,28.25,1547800.0
2000-05-18,28.0,28.31,27.94,28.13,1264000.0
2000-05-19,27.44,28.19,27.44,27.81,1260600.0
2000-05-22,27.94,28.0,26.94,27.5,1023900.0
2000-05-23,27.38,27.69,27.0,27.5,990400.0
2000-05-24,27.38,27.5,26.63,27.0,2055300.0
2000-05-25,27.75,28.25,27.5,27.94,1874800.0
2000-05-26,27.94,28.5,27.88,28.0,1500100.0
2000-05-30,28.0,28.06,27.63,27.94,1155000.0
2000-05-31,27.81,28.69,27.63,28.38,1701000.0
2000-06-01,28.38,29.13,28.31,29.0,1722800.0
2000-06-02,28.94,29.63,28.94,29.38,2130900.0
2000-06-05,29.38,29.5,28.38,28.69,983500.0
2000-06-06,28.63,28.69,27.81,28.25,1097500.0
2000-06-07,27.88,27.94,27.5,27.56,1023500.0
2000-06-08,27.5,28.0,26.75,28.0,1452100.0
2000-06-09,28.25,28.69,28.19,28.69,994200.0
2000-06-12,28.56,28.75,28.06,28.27,1085600.0
2000-06-13,28.38,28.56,28.0,28.38,1113900.0
2000-06-14,28.38,28.94,28.06,28.81,1233300.0
2000-06-15,28.88,29.44,28.69,29.19,1795000.0
2000-06-16,28.25,29.13,28.25,28.75,2117000.0
2000-06-19,28.75,29.19,28.31,29.13,944600.0
2000-06-20,28.31,28.5,27.81,28.0,1437400.0
2000-06-21,28.0,28.38,27.69,28.0,882400.0
2000-06-22,28.25,28.31,27.75,28.06,1197500.0
2000-06-23,28.19,28.5,27.88,28.5,1434100.0
2000-06-26,28.94,29.13,28.06,29.06,1526400.0
2000-06-27,29.38,30.06,29.25,30.0,4082100.0
2000-06-28,30.0,30.44,29.69,29.77,2443600.0
2000-06-29,29.31,30.63,29.13,30.06,2476600.0
2000-06-30,30.5,32.29,30.44,32.19,3311400.0
2000-07-03,31.69,32.19,31.31,31.75,1012700.0
2000-07-05,32.25,32.25,29.0,30.0,4257000.0
2000-07-06,30.38,31.63,30.13,31.63,2525100.0
2000-07-07,31.75,32.5,31.38,32.31,2012000.0
2000-07-10,32.13,33.5,31.94,32.63,2224900.0
2000-07-11,33.13,33.5,32.94,33.38,1727300.0
2000-07-12,33.25,33.38,31.75,32.63,1685400.0
2000-07-13,32.31,32.31,30.81,30.94,2067500.0
2000-07-14,30.44,31.56,30.44,31.25,1884000.0
2000-07-17,31.13,31.69,30.94,31.22,1946900.0
2000-07-18,30.88,31.5,30.81,31.19,1306700.0
2000-07-19,31.13,31.38,31.0,31.31,984400.0
2000-07-20,31.38,31.69,30.88,31.63,1246700.0
2000-07-21,31.69,32.06,31.56,32.0,1645200.0
2000-07-24,32.06,32.25,31.19,31.31,1334000.0
2000-07-25,31.5,31.5,30.56,31.19,1071400.0
2000-07-26,31.0,31.25,30.63,30.81,1683600.0
2000-07-27,31.5,31.94,31.38,31.81,1264000.0
2000-07-28,32.0,32.0,31.25,31.63,2421100.0
2000-07-31,31.38,31.69,30.88,31.19,2472300.0
2000-08-01,31.31,31.31,30.19,30.94,2334300.0
2000-08-02,30.63,31.31,30.56,31.31,1320200.0
2000-08-03,31.69,31.81,30.81,31.06,1784000.0
2000-08-04,31.06,32.19,30.81,32.0,1712200.0
2000-08-07,31.94,32.38,31.69,31.88,1552800.0
2000-08-08,32.19,32.88,32.0,32.88,1621700.0
2000-08-09,32.56,32.69,31.81,32.25,1410600.0
2000-08-10,32.19,32.38,32.06,32.13,967000.0
2000-08-11,32.75,34.5,32.5,34.25,3671900.0
2000-08-14,34.25,34.69,33.75,34.19,2269200.0
2000-08-15,34.0,34.06,32.88,32.88,2338600.0
2000-08-16,32.94,33.25,32.88,33.25,1932900.0
2000-08-17,33.5,34.19,33.31,33.5,2154900.0
2000-08-18,34.0,34.69,33.81,34.5,1619000.0
2000-08-21,34.56,34.56,33.63,34.19,1009000.0
2000-08-22,34.5,34.56,33.94,34.56,970800.0
2000-08-23,34.25,35.81,33.81,35.19,2455400.0
2000-08-24,35.0,36.0,33.75,36.0,1340700.0
2000-08-25,35.25,35.25,34.13,34.69,1294400.0
2000-08-28,34.31,34.44,33.69,33.69,1325900.0
2000-08-29,33.63,34.19,33.13,33.88,1804100.0
2000-08-30,33.94,34.0,33.56,33.56,1232900.0
2000-08-31,33.0,33.75,32.69,32.89,2274300.0
2000-09-01,32.94,33.63,32.75,33.44,1524900.0
2000-09-05,33.81,34.13,33.38,33.94,1610200.0
2000-09-06,34.19,34.25,33.5,33.56,1600100.0
2000-09-07,33.63,34.13,33.44,33.63,2294400.0
2000-09-08,34.13,35.25,33.94,35.19,2104800.0
2000-09-11,35.19,36.0,35.13,35.75,2055500.0
2000-09-12,36.0,37.88,36.0,37.88,3447000.0
2000-09-13,37.31,39.0,37.0,37.88,3875800.0
2000-09-14,38.19,38.69,37.44,38.38,2151700.0
2000-09-15,38.38,38.38,37.69,38.19,2144700.0
2000-09-18,38.44,38.44,37.88,38.0,1795800.0
2000-09-19,36.75,38.25,36.5,37.5,1612000.0
2000-09-20,37.75,38.06,37.38,38.0,1866100.0
2000-09-21,38.25,39.25,38.19,39.0,2732700.0
2000-09-22,39.19,39.56,38.94,39.56,2029800.0
2000-09-25,38.75,38.81,37.5,38.19,3493000.0
2000-09-26,37.5,37.94,37.19,37.69,1989100.0
2000-09-27,37.75,38.31,37.44,37.63,1618200.0
2000-09-28,37.63,38.5,37.63,38.0,1835100.0
2000-09-29,37.5,38.19,37.5,37.94,2509800.0
2000-10-02,37.44,37.75,36.75,37.13,1945100.0
2000-10-03,36.81,37.25,36.81,37.13,1757400.0
2000-10-04,37.25,37.94,37.19,37.75,2461100.0
2000-10-05,37.31,39.19,37.25,39.19,2201500.0
2000-10-06,38.75,39.0,37.63,37.88,1978200.0
2000-10-09,37.94,38.38,37.88,38.0,1234700.0
2000-10-10,38.75,39.13,38.13,39.13,1971400.0
2000-10-11,39.38,40.13,39.19,39.69,2721400.0
2000-10-12,39.69,40.0,39.31,39.63,2404300.0
2000-10-13,39.5,39.63,39.0,39.13,2732900.0
2000-10-16,39.38,40.25,39.25,40.13,1695500.0
2000-10-17,40.5,40.81,40.13,40.38,2053200.0
2000-10-18,40.5,41.75,40.0,41.63,2964400.0
2000-10-19,40.5,41.06,39.75,40.0,3179000.0
2000-10-20,40.0,40.25,39.0,39.31,2039100.0
2000-10-23,39.44,40.63,39.31,40.44,1922600.0
2000-10-24,41.0,42.0,40.81,42.0,3011700.0
2000-10-25,41.5,41.5,40.25,40.25,2285200.0
2000-10-26,40.63,42.19,40.63,41.75,2189800.0
2000-10-27,41.63,43.19,41.25,43.13,2949500.0
2000-10-30,43.19,45.06,42.5,44.38,3589800.0
2000-10-31,44.25,45.75,43.81,45.63,2650300.0
2000-11-01,44.06,44.44,43.56,43.94,3837700.0
2000-11-02,43.0,44.19,41.75,44.19,4616400.0
2000-11-03,43.5,44.0,42.06,44.0,3073800.0
2000-11-06,43.38,43.94,42.81,43.94,1800700.0
2000-11-07,43.75,43.75,42.75,43.25,2098400.0
2000-11-08,43.0,43.06,42.38,42.88,1606700.0
2000-11-09,42.94,43.38,42.5,43.06,2860500.0
2000-11-10,43.0,43.44,42.56,42.88,1813800.0
