date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,81.81,83.38,81.5,82.94,5487200.0
2000-05-12,82.44,82.69,81.69,82.02,3984300.0
2000-05-15,81.94,83.88,81.75,83.63,4452900.0
2000-05-16,83.25,83.69,82.25,83.25,4359500.0
2000-05-17,82.0,82.5,80.5,81.38,5548100.0
2000-05-18,81.5,82.38,80.94,81.45,3579500.0
2000-05-19,80.19,82.13,79.94,81.75,4216500.0
2000-05-22,82.38,83.94,82.25,83.31,4839000.0
2000-05-23,83.44,83.56,81.63,83.0,4288700.0
2000-05-24,82.81,83.44,82.06,82.94,4603900.0
2000-05-25,82.38,82.56,80.69,81.44,4308100.0
2000-05-26,81.69,83.13,81.56,82.38,2970100.0
2000-05-30,82.0,83.63,81.81,83.5,5101300.0
2000-05-31,83.0,83.88,82.31,83.31,4923700.0
2000-06-01,83.56,83.56,80.88,82.94,5944900.0
2000-06-02,81.06,81.94,78.63,79.19,9303700.0
2000-06-05,79.0,79.75,79.0,79.31,4327300.0
2000-06-06,79.0,82.5,78.75,82.31,6070500.0
2000-06-07,82.0,82.44,80.88,81.13,4778900.0
2000-06-08,80.13,80.63,79.94,80.06,5336300.0
2000-06-09,80.0,80.56,79.13,79.19,4694000.0
2000-06-12,79.88,81.69,79.88,80.75,5640600.0
2000-06-13,81.25,82.0,81.0,81.19,3786400.0
2000-06-14,81.94,83.75,81.75,82.63,5533200.0
2000-06-15,82.5,83.5,81.75,82.44,5658300.0
2000-06-16,82.63,84.38,82.63,84.38,9826100.0
2000-06-19,83.94,84.25,82.5,84.06,4514400.0
2000-06-20,82.5,83.38,81.75,83.25,4401200.0
2000-06-21,82.0,84.44,81.81,83.95,4690400.0
2000-06-22,84.38,84.75,82.0,82.69,4694400.0
2000-06-23,83.38,83.75,82.69,83.13,2883100.0
2000-06-26,83.25,84.19,82.75,83.36,3168200.0
2000-06-27,83.44,83.63,81.94,82.06,4078700.0
2000-06-28,82.06,82.63,81.56,82.13,3675000.0
2000-06-29,81.56,82.0,81.0,81.2,4716500.0
2000-06-30,80.69,80.94,77.69,78.5,9958700.0
2000-07-03,78.81,79.75,78.75,79.55,4294400.0
2000-07-05,78.94,78.94,76.56,76.94,6871100.0
2000-07-06,77.75,79.38,77.56,78.19,5478700.0
2000-07-07,78.63,79.38,78.0,78.52,4639100.0
2000-07-10,78.5,79.19,78.0,78.13,3216500.0
2000-07-11,78.13,80.75,78.13,80.56,4434900.0
2000-07-12,80.31,80.5,78.61,78.61,3776200.0
2000-07-13,78.5,78.63,77.38,78.0,3951900.0
2000-07-14,77.44,77.88,76.44,77.56,4984200.0
2000-07-17,79.94,79.94,77.75,78.75,5468900.0
2000-07-18,78.06,78.94,77.5,78.19,6154400.0
2000-07-19,78.63,79.31,78.13,78.69,4309800.0
2000-07-20,78.56,79.5,78.0,78.13,3896300.0
2000-07-21,78.69,78.75,76.88,77.13,4178200.0
2000-07-24,77.0,77.31,75.88,77.25,4158000.0
2000-07-25,77.0,77.5,75.13,75.38,5505700.0
2000-07-26,76.31,76.88,75.75,76.19,8628200.0
2000-07-27,77.0,81.0,77.0,80.5,8393900.0
2000-07-28,80.06,80.94,79.63,80.0,3993600.0
2000-07-31,80.06,81.13,79.19,80.19,5820300.0
2000-08-01,80.94,81.56,79.75,80.0,6177300.0
2000-08-02,81.44,83.13,81.25,82.88,8254400.0
2000-08-03,82.75,83.56,81.0,81.44,4952900.0
2000-08-04,81.25,82.13,79.94,81.7,4012700.0
2000-08-07,80.88,81.44,80.69,80.89,3673300.0
2000-08-08,80.88,81.19,80.38,80.8,3136900.0
2000-08-09,81.63,82.25,81.06,81.06,4738600.0
2000-08-10,81.0,82.06,81.0,81.0,3521700.0
2000-08-11,82.44,82.44,81.13,81.38,3057200.0
2000-08-14,82.19,83.0,81.56,82.56,3271700.0
2000-08-15,83.0,83.38,81.25,81.31,3582900.0
2000-08-16,81.69,82.56,81.63,82.38,3647300.0
2000-08-17,82.75,84.0,82.75,83.81,4175700.0
2000-08-18,83.19,83.69,82.25,82.94,4148900.0
2000-08-21,83.0,83.75,82.75,83.5,2576000.0
2000-08-22,83.81,84.0,83.0,83.13,3233600.0
2000-08-23,83.75,84.75,83.75,84.5,4645300.0
2000-08-24,83.38,83.38,82.5,82.94,5602500.0
2000-08-25,83.0,83.69,82.44,82.94,3200900.0
2000-08-28,82.69,83.81,82.56,82.81,2944000.0
2000-08-29,82.81,83.0,82.25,82.52,3208400.0
2000-08-30,82.31,82.38,81.19,81.36,3852000.0
2000-08-31,81.75,82.25,81.38,81.64,3865400.0
2000-09-01,82.0,82.88,81.75,82.5,4042400.0
2000-09-05,83.13,83.5,82.56,83.38,5964100.0
2000-09-06,83.56,84.06,83.0,83.0,5946600.0
2000-09-07,83.5,84.19,83.5,83.75,3648700.0
2000-09-08,83.06,83.5,82.25,83.5,4644900.0
2000-09-11,83.5,85.5,83.44,84.98,7149300.0
2000-09-12,85.75,86.44,84.75,85.75,7569700.0
2000-09-13,85.81,85.81,85.25,85.81,5218400.0
2000-09-14,85.56,85.69,84.81,85.27,4354400.0
2000-09-15,86.88,89.88,86.63,89.5,12420600.0
2000-09-18,89.13,90.75,89.0,89.64,8657300.0
2000-09-19,89.06,89.25,87.88,88.0,6140300.0
2000-09-20,88.19,89.44,86.44,86.5,8679400.0
2000-09-21,86.25,86.88,85.56,86.31,7963300.0
2000-09-22,86.31,86.75,84.88,86.5,9009800.0
2000-09-25,85.88,86.06,84.31,85.86,8472000.0
2000-09-26,86.0,87.81,86.0,86.63,5767500.0
2000-09-27,86.75,89.5,86.69,89.25,5964700.0
2000-09-28,89.31,89.88,88.56,89.14,8622200.0
2000-09-29,89.63,89.94,89.0,89.11,6480200.0
2000-10-02,89.38,91.69,89.38,91.44,6352500.0
2000-10-03,90.94,91.63,90.5,90.81,5022500.0
2000-10-04,90.19,90.31,88.75,89.25,6874300.0
2000-10-05,88.63,89.75,87.94,89.19,5581300.0
2000-10-06,89.94,91.31,89.06,89.44,5202800.0
2000-10-09,89.44,91.56,89.25,91.13,5331900.0
2000-10-10,91.69,93.81,91.5,93.31,7403900.0
2000-10-11,93.94,95.44,93.38,93.75,10362900.0
2000-10-12,93.0,94.88,92.94,94.13,9780500.0
2000-10-13,93.19,93.44,89.56,90.5,8505600.0
2000-10-16,90.5,90.5,87.44,87.81,6984700.0
2000-10-17,88.88,89.75,87.31,87.81,6466500.0
2000-10-18,89.0,89.69,86.44,86.56,6253600.0
2000-10-19,86.38,88.19,85.81,86.5,6273100.0
2000-10-20,86.31,88.44,86.31,88.44,5331400.0
2000-10-23,88.38,89.19,87.13,89.06,5578700.0
2000-10-24,90.0,90.25,86.5,86.75,6374900.0
2000-10-25,88.5,88.5,87.0,87.19,5415200.0
2000-10-26,88.19,88.94,87.56,87.75,5189000.0
2000-10-27,86.5,87.69,86.25,87.56,3971500.0
2000-10-30,87.56,89.81,87.56,89.44,5355000.0
2000-10-31,89.44,89.88,87.56,89.19,5035000.0
2000-11-01,89.94,92.06,89.94,92.06,7192500.0
2000-11-02,90.94,91.0,88.13,88.19,7484300.0
2000-11-03,88.0,88.94,87.38,87.5,5136100.0
2000-11-06,87.75,89.19,86.81,88.69,4675500.0
2000-11-07,88.94,90.38,88.63,89.0,4316300.0
2000-11-08,89.0,91.06,89.0,90.69,5037000.0
2000-11-09,90.88,91.25,88.19,89.88,5323200.0
2000-11-10,89.88,90.69,89.56,89.56,3999000.0
2000-11-13,89.63,91.19,88.31,89.94,4583700.0
2000-11-14,89.75,90.69,89.25,89.88,4185300.0
2000-11-15,90.75,91.38,89.88,90.38,4467400.0
2000-11-16,90.31,91.69,89.94,90.69,4485700.0
2000-11-17,90.69,91.0,89.81,90.31,4974000.0
2000-11-20,90.56,91.94,90.56,91.38,3904600.0
2000-11-21,91.19,94.38,91.19,93.13,6384000.0
2000-11-22,92.5,94.38,92.13,94.25,5771700.0
2000-11-24,94.06,94.69,93.94,94.44,2565900.0
2000-11-27,93.5,94.0,92.75,93.13,4533600.0
2000-11-28,92.56,94.31,92.31,93.06,5039100.0
2000-11-29,92.19,92.19,88.69,88.94,8153000.0
2000-11-30,89.5,90.0,86.56,88.0,7322800.0
2000-12-01,87.94,89.44,87.94,88.81,6025900.0
2000-12-04,88.81,91.0,88.75,90.69,4485700.0
2000-12-05,90.25,91.38,87.75,88.38,5812800.0
2000-12-06,87.13,88.0,85.69,86.25,8724500.0
2000-12-07,86.5,89.25,86.5,88.0,6412600.0
2000-12-08,88.06,89.31,86.81,88.5,5043000.0
2000-12-11,88.56,88.69,85.63,85.75,7327000.0
2000-12-12,87.19,87.38,85.94,86.56,5763900.0
2000-12-13,86.75,88.31,86.75,87.69,5986600.0
2000-12-14,86.75,87.19,85.13,85.5,7109200.0
2000-12-15,84.5,86.5,84.13,84.13,13015000.0
2000-12-18,84.25,86.88,84.06,86.38,6392100.0
2000-12-19,86.13,88.5,86.13,87.19,6339300.0
2000-12-20,87.25,87.5,85.13,85.19,5957600.0
2000-12-21,85.0,86.75,84.75,84.75,6347700.0
2000-12-22,84.88,86.94,84.63,86.81,4271600.0
2000-12-26,86.81,88.81,86.81,88.56,2790300.0
2000-12-27,88.81,89.31,87.19,87.75,5218900.0
2000-12-28,87.63,87.75,86.63,86.88,5427300.0
2000-12-29,87.0,88.0,86.0,86.94,4782000.0
2001-01-02,86.69,89.38,86.5,89.13,6550600.0
2001-01-03,89.13,89.75,85.25,85.25,10409000.0
2001-01-04,85.63,85.75,81.94,82.88,12283400.0
